Time,Tag,Flow,EIT
1625551815.1595757,,"12175000, 0.0167, 0.0333, 25.45, 25.94
",
1625551815.1670616,,"12180008, 0.0000, 0.0667, 25.43, 25.92
",
1625551815.1710606,,"12185004, -0.0667, 0.1167, 25.41, 25.92
",
1625551815.1740632,,"12190000, 0.0000, 0.0833, 25.41, 25.91
",
1625551815.1720612,,,"magnitudes: 1.6363, 0.6272, 0.4482, 0.5641, 0.4385, 0.4219, 0.3827, 0.5221, 0.3647, 0.4729, 0.3835, 0.4878, 1.3631, 1.2182, 0.7432, 0.5222, 0.4218, 0.3808, 0.5190, 0.3652, 0.4687, 0.3652, 0.4420, 1.3196, 1.9339, 1.5960, 0.7798, 0.4654, 0.4339, 0.5883, 0.4064, 0.5263, 0.4022, 0.4792, 0.7832, 1.0852, 1.8843, 1.4969, 0.5064, 0.4831, 0.6582, 0.4516, 0.5918, 0.4434, 0.5257, 0.6818, 0.6534, 0.8834, 1.9138, 0.4628, 0.4600, 0.6255, 0.4230, 0.5473, 0.4073, 0.4856, 0.5722, 0.5431, 0.4729, 1.0556, 1.5548, 1.2100, 0.9005, 0.4550, 0.5196, 0.4131, 0.4923, 0.5771, 0.4923, 0.4243, 0.6888, 1.7582, 1.9819, 1.7798, 0.5996, 0.6120, 0.4931, 0.5752, 0.5885, 0.5414, 0.4601, 0.6263, 0.8232, 1.4472, 1.7799, 1.3703, 0.6231, 0.5356, 0.5998, 0.5739, 0.5345, 0.4571, 0.5768, 0.6072, 0.6333, 1.0683, 1.9057, 0.6526, 0.5388, 0.5458, 0.4738, 0.4184, 0.3576, 0.4368, 0.4146, 0.4348, 0.4416, 0.6564, 1.7647, 0.8636, 0.6837, 0.5653, 0.4385, 0.3731, 0.4521, 0.4272, 0.4490, 0.4596, 0.6091, 1.7821, 1.8992, 1.0976, 0.7341, 0.4742, 0.4105, 0.5050, 0.4673, 0.4988, 0.5060, 0.6372, 0.9431, 1.2939, 1.4782, 1.3896, 0.4493, 0.3833, 0.4680, 0.4279, 0.4601, 0.4737, 0.5706, 0.6192, 0.4810, 1.4153, 1.5807, 0.4233, 0.3553, 0.4449, 0.4043, 0.4300, 0.4334, 0.5221, 0.4973, 0.4495, 0.5177, 1.1250, 1.0520, 0.7342, 0.6201, 0.5102, 0.4347, 0.4381, 0.5709, 0.5819, 0.4377, 0.4987, 0.9179, 0.9981, 1.9766, 1.2009, 0.6760, 0.4892, 0.4836, 0.6397, 0.5982, 0.4771, 0.4892, 0.8193, 0.6420, 0.9896, 1.4033, 1.1484, 0.5402, 0.5151, 0.6765, 0.5927, 0.4981, 0.4842, 0.7373, 0.5070, 0.6198, 1.2888, 
"
1625551815.178062,,"12195004, -0.0333, 0.0500, 25.42, 25.89
",
1625551815.1841376,,"12200004, 0.0333, 0.1167, 25.42, 25.92
",
1625551815.1871324,,"12205008, 0.0000, 0.1333, 25.43, 25.92
",
1625551815.1931326,,"12210004, -0.0500, -0.0167, 25.43, 25.92
",
1625551815.1991355,,"12215004, -0.0667, 0.0667, 25.43, 25.92
",
1625551815.2031324,,"12220004, -0.0500, 0.0500, 25.43, 25.92
",
1625551815.206131,,"12225000, -0.1000, 0.0333, 25.43, 25.95
",
1625551815.2101316,,"12230004, -0.1000, 0.0167, 25.42, 25.87
",
1625551815.213963,,"12235004, -0.0667, -0.0667, 25.45, 25.92
",
1625551815.2193363,,"12240004, -0.1167, -0.0833, 25.42, 25.92
",
1625551815.2225978,,"12245004, -0.0667, -0.0167, 25.42, 25.89
",
1625551815.2255974,,"12250008, -0.0833, 0.0000, 25.45, 25.94
",
1625551815.2285964,,"12255000, -0.0667, -0.0500, 25.43, 25.94
",
1625551815.2345905,,"12260004, -0.0333, -0.0667, 25.42, 25.92
",
1625551815.23859,,"12265008, -0.1500, -0.0667, 25.42, 25.93
",
1625551815.2425902,,"12270008, -0.0667, -0.1167, 25.43, 25.88
",
1625551815.2476094,,"12275008, -0.0667, -0.0167, 25.43, 25.88
",
1625551815.25259,,"12280000, 0.0167, -0.0500, 25.43, 25.90
",
1625551815.2565901,,"12285008, 0.0333, -0.0667, 25.43, 25.91
",
1625551815.2595897,,"12290000, -0.0167, 0.0000, 25.45, 25.91
",
1625551815.26559,,"12295000, -0.0167, -0.0333, 25.44, 25.95
",
1625551815.2659612,,"12300004, -0.0833, -0.0667, 25.44, 25.91
",
1625551815.2659612,,"12305008, -0.0500, -0.0333, 25.43, 25.89
",
1625551815.2659612,,"12310008, -0.0667, -0.0500, 25.42, 25.89
",
1625551815.2764382,,"12315000, -0.0333, -0.1167, 25.41, 25.90
",
1625551815.2764382,,"12320008, -0.0833, -0.0667, 25.41, 25.92
",
1625551815.2869632,,"12325008, 0.0500, -0.0667, 25.41, 25.92
",
1625551815.2869632,,"12330008, -0.0500, -0.0500, 25.43, 25.87
",
1625551815.2970192,,"12335008, -0.0667, -0.0500, 25.43, 25.93
",
1625551815.2970192,,"12340000, 0.0500, -0.0167, 25.45, 25.92
",
1625551815.3070178,,"12345000, -0.0833, 0.0167, 25.43, 25.92
",
1625551815.3070178,,"12350004, -0.0333, -0.0500, 25.41, 25.88
",
1625551815.3070178,,"12355000, -0.0500, 0.0000, 25.41, 25.90
",
1625551815.317342,,"12360000, -0.0667, -0.0333, 25.45, 25.90
",
1625551815.317342,,"12365008, -0.0333, -0.0333, 25.43, 25.91
",
1625551815.317342,,"12370000, -0.0333, 0.0000, 25.44, 25.88
",
1625551815.317342,,"12375000, 0.0333, -0.0667, 25.44, 25.88
",
1625551815.3280275,,"12380008, 0.0167, -0.0500, 25.43, 25.91
",
1625551815.3280275,,"12385000, -0.0333, -0.0667, 25.42, 25.89
",
1625551815.3280275,,"12390000, -0.0833, -0.0167, 25.42, 25.94
",
1625551815.3280275,,"12395004, -0.0167, -0.0667, 25.39, 25.94
",
1625551815.3381343,,"12400004, 0.0167, -0.0333, 25.38, 25.92
",
1625551815.3381343,,"12405004, 0.0000, 0.0000, 25.42, 25.89
",
1625551815.3381343,,"12410008, -0.0667, -0.0167, 25.42, 25.89
",
1625551815.3381343,,"12415000, -0.0167, -0.0667, 25.43, 25.90
",
1625551815.3480835,,"12420008, -0.0333, -0.0167, 25.42, 25.91
",
1625551815.3480835,,"12425000, 0.0000, -0.0833, 25.45, 25.87
",
1625551815.3480835,,,"magnitudes: 1.6457, 0.6366, 0.4509, 0.5628, 0.4353, 0.4231, 0.3834, 0.5275, 0.3640, 0.4678, 0.3887, 0.4837, 1.3581, 1.2130, 0.7456, 0.5227, 0.4192, 0.3859, 0.5173, 0.3602, 0.4757, 0.3641, 0.4444, 1.3196, 1.9337, 1.6028, 0.7774, 0.4692, 0.4362, 0.5877, 0.4065, 0.5347, 0.4001, 0.4820, 0.7831, 1.0886, 1.8793, 1.4944, 0.5108, 0.4826, 0.6618, 0.4499, 0.5927, 0.4383, 0.5243, 0.6796, 0.6510, 0.8839, 1.9171, 0.4644, 0.4619, 0.6340, 0.4189, 0.5534, 0.4011, 0.4874, 0.5721, 0.5410, 0.4833, 1.0577, 1.5558, 1.2107, 0.8973, 0.4573, 0.5232, 0.4198, 0.4884, 0.5765, 0.4919, 0.4173, 0.6882, 1.7585, 1.9792, 1.7831, 0.5927, 0.6150, 0.4936, 0.5744, 0.5874, 0.5366, 0.4629, 0.6241, 0.8198, 1.4512, 1.7924, 1.3779, 0.6224, 0.5377, 0.6001, 0.5684, 0.5310, 0.4621, 0.5853, 0.6054, 0.6327, 1.0689, 1.9078, 0.6524, 0.5339, 0.5550, 0.4666, 0.4185, 0.3573, 0.4354, 0.4135, 0.4300, 0.4489, 0.6525, 1.7692, 0.8669, 0.6866, 0.5672, 0.4323, 0.3749, 0.4576, 0.4221, 0.4525, 0.4577, 0.6103, 1.7871, 1.9058, 1.0986, 0.7337, 0.4776, 0.4090, 0.5036, 0.4659, 0.4992, 0.5049, 0.6390, 0.9408, 1.3022, 1.4817, 1.3934, 0.4445, 0.3835, 0.4662, 0.4284, 0.4588, 0.4719, 0.5753, 0.6205, 0.4776, 1.4157, 1.5767, 0.4259, 0.3555, 0.4419, 0.4007, 0.4257, 0.4337, 0.5244, 0.4967, 0.4450, 0.5209, 1.1271, 1.0535, 0.7338, 0.6190, 0.5120, 0.4337, 0.4454, 0.5785, 0.5836, 0.4371, 0.5021, 0.9207, 1.0056, 1.9762, 1.2043, 0.6787, 0.4904, 0.4838, 0.6374, 0.6000, 0.4735, 0.4926, 0.8232, 0.6455, 0.9889, 1.4094, 1.1494, 0.5313, 0.5104, 0.6750, 0.5915, 0.4938, 0.4827, 0.7370, 0.5077, 0.6158, 1.2869, 
"
1625551815.3480835,,"12430004, -0.0167, -0.0333, 25.45, 25.87
",
1625551818.2842464,Start Test 3,,
1625551815.5118446,,,"magnitudes: 1.6527, 0.6349, 0.4564, 0.5689, 0.4419, 0.4286, 0.3803, 0.5269, 0.3639, 0.4718, 0.3884, 0.4881, 1.3699, 1.2219, 0.7434, 0.5244, 0.4221, 0.3822, 0.5162, 0.3565, 0.4716, 0.3671, 0.4416, 1.3244, 1.9358, 1.6052, 0.7785, 0.4699, 0.4343, 0.5901, 0.4062, 0.5350, 0.4061, 0.4806, 0.7843, 1.0883, 1.8839, 1.4962, 0.5107, 0.4917, 0.6660, 0.4516, 0.5890, 0.4409, 0.5290, 0.6890, 0.6478, 0.8845, 1.9195, 0.4569, 0.4638, 0.6331, 0.4163, 0.5478, 0.4091, 0.4850, 0.5710, 0.5415, 0.4788, 1.0593, 1.5497, 1.2100, 0.8975, 0.4579, 0.5214, 0.4200, 0.4940, 0.5719, 0.4901, 0.4232, 0.6909, 1.7609, 1.9780, 1.7791, 0.5988, 0.6184, 0.4945, 0.5755, 0.5846, 0.5352, 0.4659, 0.6267, 0.8231, 1.4517, 1.7846, 1.3800, 0.6207, 0.5358, 0.5993, 0.5702, 0.5290, 0.4552, 0.5811, 0.6102, 0.6281, 1.0697, 1.9006, 0.6499, 0.5337, 0.5484, 0.4750, 0.4145, 0.3591, 0.4343, 0.4165, 0.4344, 0.4455, 0.6535, 1.7619, 0.8680, 0.6845, 0.5637, 0.4335, 0.3737, 0.4546, 0.4239, 0.4413, 0.4564, 0.6072, 1.7918, 1.8999, 1.0929, 0.7401, 0.4776, 0.4148, 0.5045, 0.4666, 0.4981, 0.5120, 0.6415, 0.9425, 1.3000, 1.4812, 1.3856, 0.4452, 0.3796, 0.4715, 0.4311, 0.4590, 0.4735, 0.5746, 0.6172, 0.4813, 1.4169, 1.5884, 0.4294, 0.3562, 0.4375, 0.4061, 0.4262, 0.4363, 0.5237, 0.4967, 0.4441, 0.5172, 1.1281, 1.0556, 0.7325, 0.6207, 0.5075, 0.4339, 0.4428, 0.5761, 0.5848, 0.4390, 0.4997, 0.9191, 0.9985, 1.9752, 1.2000, 0.6766, 0.4905, 0.4787, 0.6335, 0.5982, 0.4697, 0.4909, 0.8279, 0.6415, 0.9928, 1.4058, 1.1495, 0.5403, 0.5136, 0.6756, 0.5928, 0.4972, 0.4824, 0.7312, 0.5082, 0.6200, 1.2902, 
"
1625551815.3583663,,"12435004, -0.0167, -0.1667, 25.41, 25.89
",
1625551815.3583663,,"12440000, -0.1167, -0.0500, 25.42, 25.91
",
