Time,Tag,Flow,EIT
1625541306.8750834,,"70115004, -22.6833, 142.7333, 25.29, 25.56
",
1625541306.8820798,,"70120000, -24.9500, 136.0667, 25.29, 25.56
",
1625541306.8850796,,"70125004, -28.8333, 137.3833, 25.30, 25.52
",
1625541306.8920925,,"70130004, -21.0833, 138.3833, 25.29, 25.56
",
1625541306.8980887,,"70135004, -24.9667, 134.4833, 25.29, 25.60
",
1625541306.902091,,"70140000, -25.3333, 127.5000, 25.27, 25.60
",
1625541306.9120855,,"70145000, -26.6667, 130.7500, 25.29, 25.55
",
1625541306.9214978,,"70150004, -20.1167, 131.7500, 25.28, 25.51
",
1625541306.9287913,,"70155004, -23.1333, 133.3667, 25.28, 25.51
",
1625541306.9330497,,"70160004, -23.4000, 130.9833, 25.32, 25.54
",
1625541306.9400887,,"70165008, -20.1167, 130.2833, 25.29, 25.55
",
1625541306.944085,,"70170008, -22.0167, 130.4167, 25.32, 25.55
",
1625541306.9470854,,"70175000, -21.3167, 128.1000, 25.32, 25.55
",
1625541306.9500868,,"70180000, -17.9667, 125.5167, 25.31, 25.56
",
1625541306.9550884,,"70185008, -20.5500, 126.3833, 25.30, 25.56
",
1625541306.9599848,,"70190000, -22.5500, 129.8000, 25.30, 25.56
",
1625541306.9629953,,"70195000, -19.6167, 118.0667, 25.30, 25.53
",
1625541306.9659956,,"70200004, -18.4333, 114.8500, 25.27, 25.55
",
1625541306.9688628,,"70205000, -17.9333, 119.6833, 25.28, 25.53
",
1625541306.9688628,,"70210000, -17.4000, 111.0167, 25.28, 25.53
",
1625541306.978934,,"70215008, -19.2333, 120.8667, 25.31, 25.56
",
1625541306.979472,,"70220000, -16.7333, 111.1500, 25.29, 25.55
",
1625541306.979472,,"70225000, -15.0333, 104.8167, 25.27, 25.55
",
1625541306.9903982,,"70230004, -13.6167, 105.7667, 25.27, 25.56
",
1625541306.9903982,,"70235008, -16.4000, 105.0000, 25.34, 25.54
",
1625541307.0004332,,"70240000, -13.5000, 101.6333, 25.30, 25.54
",
1625541307.0004332,,"70245008, -14.2167, 97.8667, 25.30, 25.58
",
1625541307.0004332,,,"magnitudes: 1.3108, 0.7047, 0.2313, 0.1904, 0.1887, 0.1259, 0.1671, 0.1122, 0.2023, 0.1788, 0.1569, 0.2671, 1.2039, 0.5697, 0.2353, 0.1927, 0.1230, 0.1672, 0.1129, 0.2017, 0.1810, 0.1408, 0.2060, 0.7696, 1.3735, 0.5910, 0.2384, 0.1219, 0.1601, 0.1054, 0.1887, 0.1691, 0.1302, 0.1820, 0.3309, 0.7415, 1.2210, 0.7554, 0.1459, 0.1852, 0.1189, 0.2107, 0.1901, 0.1429, 0.2059, 0.2580, 0.3176, 0.8398, 1.3722, 0.1861, 0.1839, 0.1140, 0.2009, 0.1765, 0.1384, 0.1897, 0.2205, 0.2255, 0.2872, 0.6914, 0.6971, 0.7833, 0.1668, 0.2293, 0.1862, 0.1489, 0.2027, 0.2271, 0.2011, 0.2139, 0.2403, 0.6555, 1.7210, 0.4365, 0.2946, 0.1973, 0.1569, 0.2065, 0.2131, 0.1833, 0.1880, 0.1695, 0.2069, 0.6879, 0.6558, 0.9713, 0.2723, 0.1852, 0.2224, 0.2240, 0.1762, 0.1818, 0.1635, 0.1549, 0.2709, 0.7202, 1.7224, 0.5949, 0.2339, 0.2216, 0.1970, 0.1673, 0.1750, 0.1512, 0.1426, 0.1870, 0.1908, 0.2643, 1.0629, 0.7228, 0.2973, 0.2074, 0.1573, 0.1618, 0.1427, 0.1347, 0.1734, 0.1846, 0.1863, 0.9846, 1.6228, 0.7095, 0.2730, 0.1624, 0.1666, 0.1444, 0.1321, 0.1690, 0.1813, 0.1678, 0.2881, 0.5412, 1.2456, 0.6607, 0.1607, 0.1578, 0.1369, 0.1271, 0.1621, 0.1754, 0.1589, 0.2171, 0.2230, 1.0802, 1.2620, 0.2068, 0.1602, 0.1368, 0.1245, 0.1613, 0.1728, 0.1518, 0.1980, 0.1554, 0.3239, 0.6345, 0.9314, 0.5313, 0.2113, 0.1462, 0.1891, 0.1743, 0.1652, 0.2211, 0.1510, 0.2430, 0.2309, 0.8933, 1.5610, 0.6247, 0.2291, 0.2347, 0.1859, 0.1795, 0.2203, 0.1401, 0.2078, 0.1499, 0.3401, 0.7498, 0.8259, 0.7335, 0.3335, 0.2100, 0.1955, 0.2188, 0.1430, 0.1913, 0.1267, 0.2441, 0.2680, 0.6227, 
"
1625541307.010431,,"70250004, -12.6667, 99.7000, 25.30, 25.57
",
1625541307.0204308,,"70255008, -13.0667, 96.5167, 25.27, 25.55
",
1625541307.0217042,,"70260000, -14.0667, 94.1833, 25.28, 25.55
",
1625541307.0217042,,"70265008, -13.4500, 97.2000, 25.28, 25.57
",
1625541307.0217042,,"70270004, -13.6667, 88.3167, 25.27, 25.56
",
1625541307.0317743,,"70275008, -13.1000, 90.3833, 25.30, 25.56
",
1625541307.0317743,,"70280000, -12.8833, 92.0500, 25.27, 25.54
",
1625541307.0417764,,"70285004, -11.1667, 88.2000, 25.27, 25.58
",
1625541307.0417764,,"70290008, -11.4667, 87.9333, 25.27, 25.57
",
1625541307.0517728,,"70295000, -12.0667, 90.3500, 25.32, 25.57
",
1625541307.0517728,,"70300004, -11.8333, 86.9833, 25.32, 25.57
",
1625541307.063629,,"70305004, -10.8667, 86.7667, 25.27, 25.58
",
