Time,Flow1,Flow2
1614203715.8059516,-0.02,
1614203715.8083572,0.00,
1614203715.8113763,-0.05,
1614203715.8143413,-0.02,
1614203715.817333,-0.02,
1614203715.8203251,-0.02,
1614203715.823321,-0.02,
1614203715.8263092,0.00,
1614203715.829305,-0.05,
1614203715.8322968,0.02,
1614203715.8352888,-0.03,
1614203715.8382807,0.00,
1614203715.8412728,0.02,
1614203715.8442647,-0.05,
1614203715.847257,-0.05,
1614203715.850249,-0.05,
1614203715.8532412,-0.05,
1614203715.8572261,0.03,
1614203715.8602185,-0.02,
1614203715.8632107,-0.02,
1614203715.8662016,-0.02,
1614203715.8692079,-0.05,
1614203715.8721864,-0.07,
1614203715.8751786,-0.02,
1614203715.8781703,0.02,
1614203715.8811626,-0.07,
1614203715.8841548,0.05,
1614203715.88715,-0.08,
1614203715.8901386,0.00,
1614203715.8931305,0.02,
1614203715.8961232,-0.02,
1614203715.899115,-0.03,
1614203715.9021165,-0.03,
1614203715.9051006,0.00,
1614203715.9081,0.02,
1614203715.9104335,-0.05,
1614203715.9104335,0.00,
1614203715.9104335,-0.02,
1614203715.9174387,0.02,
1614203715.9174387,0.02,
1614203715.9174387,0.02,
1614203715.9274418,-0.07,
1614203715.9274418,0.00,
1614203715.9274418,-0.05,
1614203715.9374418,-0.08,
1614203715.9374418,-0.03,
1614203715.9374418,-0.05,
1614203715.9474423,-0.03,
1614203715.9474423,0.00,
1614203715.9474423,-0.02,
1614203715.9474423,-0.07,
1614203715.9574418,-0.02,
1614203715.9574418,0.00,
1614203715.9574418,0.00,
1614203715.9674416,-0.07,
1614203715.9674416,-0.03,
1614203715.9674416,-0.03,
1614203715.9774423,-0.05,
1614203715.9774423,0.05,
1614203715.9774423,-0.05,
1614203715.9774423,-0.08,
1614203715.9874413,0.00,
1614203715.9874413,0.02,
1614203715.9874413,0.00,
1614203715.997442,-0.08,
1614203715.997442,0.00,
1614203715.997442,-0.02,
1614203716.0074527,0.00,
1614203716.0074527,0.00,
1614203716.0074527,-0.05,
1614203716.0074527,0.03,
1614203716.017442,0.02,
1614203716.0214298,0.00,
1614203716.0214298,-0.08,
1614203716.0214298,-0.03,
1614203716.031459,-0.05,
1614203716.031459,0.00,
1614203716.031459,-0.02,
1614203716.0394833,0.02,
1614203716.0415256,-0.05,
1614203716.0415256,-0.07,
1614203716.0495517,-0.07,
1614203716.0515933,0.02,
1614203716.0515933,0.00,
1614203716.0515933,0.03,
1614203716.0616722,-0.07,
1614203716.0616722,0.02,
1614203716.0616722,-0.07,
1614203716.069859,0.02,
1614203716.069859,-0.02,
1614203716.069859,-0.05,
1614203716.0797946,-0.03,
1614203716.0797946,0.00,
1614203716.0797946,0.02,
1614203716.0797946,-0.08,
1614203716.0898936,0.00,
1614203716.0898936,-0.03,
1614203716.0898936,0.02,
1614203716.0997872,-0.02,
1614203716.0997872,-0.08,
1614203716.0997872,-0.02,
1614203716.1098695,0.00,
1614203716.1098695,-0.02,
1614203716.1098695,-0.02,
1614203716.1098695,0.00,
1614203716.1197894,0.02,
1614203716.1197894,0.00,
1614203716.1197894,-0.05,
1614203716.129962,-0.02,
1614203716.129962,0.00,
1614203716.129962,0.02,
1614203716.1397965,-0.08,
1614203716.1397965,-0.07,
1614203716.1397965,-0.07,
1614203716.1397965,-0.02,
1614203716.1497936,-0.02,
1614203716.1497936,-0.02,
1614203716.1497936,-0.05,
1614203716.1598716,-0.07,
1614203716.1598716,-0.05,
1614203716.1598716,-0.03,
1614203716.1698575,-0.02,
1614203716.1698575,-0.03,
1614203716.1698575,-0.02,
1614203716.1797829,-0.05,
1614203716.1797829,0.02,
1614203716.1797829,-0.08,
1614203716.1797829,0.08,
1614203716.1898413,-0.02,
1614203716.1898413,-0.03,
1614203716.1898413,0.00,
1614203716.1997828,-0.05,
1614203716.1997828,-0.08,
1614203716.1997828,-0.05,
1614203716.1997828,-0.05,
1614203716.2098105,-0.05,
1614203716.2098105,-0.03,
1614203716.2098105,-0.07,
1614203716.219918,0.02,
1614203716.219918,-0.03,
1614203716.229788,0.00,
1614203716.2398207,-0.02,
1614203716.2398207,-0.02,
1614203716.2398207,-0.02,
1614203716.2398207,-0.03,
1614203716.2398207,-0.05,
1614203716.2398207,-0.02,
1614203716.2398207,0.02,
1614203716.2598157,-0.05,
1614203716.2598157,-0.07,
1614203716.2598157,-0.08,
1614203716.2598157,-0.03,
1614203716.2698033,-0.02,
1614203716.2698033,0.05,
1614203716.2698033,-0.02,
1614203716.2698033,-0.10,
1614203716.2698033,-0.02,
1614203716.2698033,-0.02,
1614203716.2797847,-0.02,
1614203716.2797847,-0.03,
1614203716.2797847,0.03,
1614203716.2997847,-0.05,
1614203716.2997847,0.00,
1614203716.2997847,-0.05,
1614203716.2997847,0.05,
1614203716.2997847,-0.02,
1614203716.2997847,0.00,
1614203716.2997847,0.00,
1614203716.3097847,-0.03,
1614203716.3097847,-0.02,
1614203716.3097847,-0.07,
1614203716.3197987,-0.08,
1614203716.3197987,0.00,
1614203716.3197987,0.02,
1614203716.3300638,-0.02,
1614203716.333056,-0.02,
1614203716.3360481,0.05,
1614203716.3390446,-0.05,
1614203716.3411043,-0.05,
1614203716.3411043,0.00,
1614203716.3411043,0.00,
1614203716.351105,-0.05,
1614203716.351105,0.00,
1614203716.351105,-0.07,
1614203716.351105,0.00,
1614203716.3631232,0.00,
1614203716.3631232,-0.07,
1614203716.3631232,-0.05,
1614203716.3631232,-0.03,
1614203716.3731256,-0.03,
1614203716.3731256,0.02,
1614203716.3801308,0.02,
1614203716.3801308,-0.03,
1614203716.3801308,-0.07,
1614203716.390133,0.02,
1614203716.390133,0.02,
1614203716.390133,-0.03,
1614203716.390133,0.00,
1614203716.4001334,0.03,
1614203716.4001334,-0.03,
1614203716.4001334,-0.08,
1614203716.4101336,-0.02,
1614203716.4101336,0.02,
1614203716.4101336,-0.05,
1614203716.4201334,-0.08,
1614203716.4201334,0.00,
1614203716.4201334,-0.03,
1614203716.4201334,0.00,
1614203716.4301336,-0.02,
1614203716.4301336,-0.07,
1614203716.4301336,-0.05,
1614203716.4401333,-0.07,
1614203716.4401333,-0.03,
1614203716.4401333,-0.05,
1614203716.4501345,-0.03,
1614203716.4501345,-0.03,
1614203716.4501345,-0.03,
1614203716.4501345,-0.03,
1614203716.4601345,-0.03,
1614203716.4601345,-0.07,
1614203716.4601345,-0.08,
1614203716.470134,-0.03,
1614203716.470134,-0.05,
1614203716.470134,0.02,
1614203716.4801338,-0.02,
1614203716.4801338,-0.07,
1614203716.4801338,-0.05,
1614203716.490134,-0.10,
1614203716.490134,0.00,
1614203716.490134,-0.03,
1614203716.490134,0.00,
1614203716.5001636,0.02,
1614203716.5001636,0.02,
1614203716.5001636,-0.03,
1614203716.510155,-0.05,
1614203716.510155,-0.02,
1614203716.510155,0.00,
1614203716.5201366,0.03,
1614203716.5216382,0.03,
1614203716.5216382,0.00,
1614203716.5216382,-0.07,
1614203716.5316954,-0.03,
1614203716.5316954,-0.02,
1614203716.5316954,0.03,
1614203716.5316954,0.02,
1614203716.5416682,-0.07,
1614203716.5416682,-0.02,
1614203716.5416682,0.02,
1614203716.5517242,-0.02,
1614203716.5517242,0.00,
1614203716.5517242,-0.05,
1614203716.5617154,-0.03,
1614203716.5617154,-0.02,
1614203716.5617154,0.00,
1614203716.571716,-0.02,
1614203716.5728948,-0.02,
1614203716.5728948,-0.05,
1614203716.5804045,-0.03,
1614203716.5804045,0.02,
1614203716.5804045,-0.03,
1614203716.5804045,-0.03,
1614203716.5905344,0.03,
1614203716.5905344,-0.05,
1614203716.5905344,-0.05,
1614203716.6005206,-0.10,
1614203716.6005206,0.00,
1614203716.6005206,-0.02,
1614203716.610446,-0.02,
1614203716.610446,0.03,
1614203716.610446,-0.08,
1614203716.610446,-0.03,
1614203716.6205077,-0.10,
1614203716.6205077,-0.07,
1614203716.6205077,0.00,
1614203716.6305718,-0.03,
1614203716.6305718,-0.03,
1614203716.6305718,-0.05,
1614203716.640636,0.00,
1614203716.640636,-0.07,
1614203716.640636,-0.05,
1614203716.640636,-0.05,
1614203716.6504147,-0.03,
1614203716.6504147,0.03,
1614203716.6504147,0.02,
1614203716.6605086,-0.07,
1614203716.6605086,0.02,
1614203716.6605086,0.03,
1614203716.6706274,0.03,
1614203716.6706274,0.00,
1614203716.6706274,-0.03,
1614203716.6706274,-0.02,
1614203716.6804411,0.00,
1614203716.6804411,-0.02,
1614203716.6804411,-0.02,
1614203716.6905603,-0.05,
1614203716.6905603,0.00,
1614203716.6905603,-0.02,
1614203716.700524,-0.03,
1614203716.700524,-0.02,
1614203716.700524,-0.05,
1614203716.700524,0.00,
1614203716.7104416,0.02,
1614203716.7104416,-0.02,
1614203716.7104416,-0.03,
1614203716.720546,-0.05,
1614203716.7304115,0.02,
1614203716.7404106,-0.03,
1614203716.7404106,0.02,
1614203716.7404106,-0.05,
1614203716.7404106,-0.02,
1614203716.7404106,-0.02,
1614203716.7404106,0.03,
1614203716.7504115,0.07,
1614203716.7504115,-0.03,
1614203716.7504115,0.00,
1614203716.7504115,0.00,
1614203716.7504115,-0.03,
1614203716.7604117,-0.03,
1614203716.7604117,-0.03,
1614203716.7604117,-0.02,
1614203716.7804253,0.02,
1614203716.7804253,-0.02,
1614203716.7804253,-0.02,
1614203716.7804253,-0.05,
1614203716.7804253,-0.07,
1614203716.7804253,-0.08,
1614203716.7804253,-0.07,
1614203716.7904115,-0.02,
1614203716.7904115,-0.10,
1614203716.7904115,0.02,
1614203716.8004203,-0.03,
1614203716.8004203,-0.08,
1614203716.8004203,-0.03,
1614203716.8004203,-0.02,
1614203716.8104115,-0.02,
1614203716.8104115,-0.10,
1614203716.8104115,0.00,
1614203716.8204112,-0.02,
1614203716.8204112,0.03,
1614203716.8204112,-0.05,
1614203716.8304205,-0.03,
1614203716.8304205,0.02,
1614203716.8304205,-0.05,
1614203716.8304205,-0.10,
1614203716.840411,0.00,
1614203716.840411,0.02,
1614203716.840411,-0.02,
1614203716.8504128,0.02,
1614203716.8504128,0.00,
1614203716.8504128,-0.03,
1614203716.8605628,-0.12,
1614203716.8615675,-0.02,
1614203716.8615675,-0.02,
1614203716.8615675,-0.02,
1614203716.87157,-0.08,
1614203716.87157,-0.05,
1614203716.87157,0.02,
1614203716.8805752,-0.05,
1614203716.8805752,-0.02,
1614203716.8805752,-0.02,
1614203716.8905776,-0.03,
1614203716.8905776,-0.03,
1614203716.8905776,-0.07,
1614203716.8905776,-0.02,
1614203716.9005775,-0.07,
1614203716.9005775,-0.02,
1614203716.9005775,0.00,
1614203716.9105783,0.00,
1614203716.9105783,-0.05,
1614203716.9105783,-0.08,
1614203716.9205782,-0.02,
1614203716.9205782,-0.02,
1614203716.9205782,-0.02,
1614203716.9205782,-0.02,
1614203716.9305787,-0.05,
1614203716.9305787,-0.03,
1614203716.9305787,-0.07,
1614203716.940578,0.02,
1614203716.940578,-0.03,
1614203716.940578,-0.03,
1614203716.950579,-0.02,
1614203716.950579,0.03,
1614203716.950579,-0.05,
1614203716.950579,-0.02,
1614203716.9605865,-0.05,
1614203716.9605865,0.05,
1614203716.9605865,-0.10,
1614203716.9705782,-0.07,
1614203716.9705782,-0.02,
1614203716.9705782,-0.05,
1614203716.9805784,-0.03,
1614203716.9805784,0.05,
1614203716.9805784,-0.07,
1614203716.990615,0.05,
1614203716.990615,-0.07,
1614203716.990615,-0.12,
1614203716.990615,-0.07,
1614203717.000685,0.03,
1614203717.000685,-0.08,
1614203717.000685,0.02,
1614203717.0106826,-0.05,
1614203717.0106826,-0.02,
1614203717.0106826,0.00,
1614203717.020593,-0.02,
1614203717.020593,-0.03,
1614203717.020593,-0.12,
1614203717.020593,-0.03,
1614203717.0306654,-0.02,
1614203717.0306654,-0.02,
1614203717.0306654,-0.03,
1614203717.0407624,-0.08,
1614203717.0407624,-0.03,
1614203717.0407624,-0.02,
1614203717.0506387,0.00,
1614203717.0506387,0.02,
1614203717.0506387,-0.03,
1614203717.0506387,-0.08,
1614203717.0605812,0.03,
1614203717.0605812,-0.03,
1614203717.0605812,-0.03,
1614203717.0718133,0.02,
1614203717.0718133,-0.02,
1614203717.0718133,-0.05,
1614203717.0809555,-0.03,
1614203717.0809555,0.00,
1614203717.0809555,-0.10,
1614203717.0809555,0.00,
1614203717.090965,-0.02,
1614203717.090965,-0.03,
1614203717.090965,-0.02,
1614203717.1009648,-0.02,
1614203717.1009648,0.02,
1614203717.1009648,0.05,
1614203717.11098,-0.03,
1614203717.11098,-0.07,
1614203717.11098,-0.02,
1614203717.11098,0.02,
1614203717.1209602,-0.07,
1614203717.1209602,0.02,
1614203717.1209602,0.02,
1614203717.1311648,0.02,
1614203717.1311648,0.00,
1614203717.1311648,-0.02,
1614203717.1412055,-0.10,
1614203717.1412055,0.02,
