Time,Flow1,Flow2
1614205964.965593,,0.18
1614205964.9665904,-0.17,
1614205964.9685857,,0.15
1614205964.969583,-0.20,
1614205964.971577,,0.18
1614205964.9725747,-0.38,
1614205964.9745686,,0.23
1614205964.9755666,-0.30,
1614205964.9775648,,0.32
1614205964.9785585,-0.35,
1614205964.9805567,,0.25
1614205964.9815507,-0.43,
1614205964.983549,,0.23
1614205964.9845424,-0.45,
1614205964.9865403,,0.37
1614205964.9875345,-0.42,
1614205964.9895332,,0.37
1614205964.9905267,-0.37,
1614205964.992525,,0.38
1614205964.9935184,-0.25,
1614205964.9965103,,0.38
1614205964.9965103,-0.15,
1614205964.9995027,,0.37
1614205964.9995027,-0.08,
1614205965.0024948,,0.38
1614205965.0024948,0.10,
1614205965.0054865,,0.23
1614205965.0054865,0.20,
1614205965.0084786,,0.17
1614205965.0084786,0.23,
1614205965.0114698,,0.12
1614205965.0114698,0.28,
1614205965.0144627,,0.02
1614205965.0144627,0.27,
1614205965.017468,,-0.07
1614205965.017468,0.28,
1614205965.0204585,,-0.15
1614205965.0204585,0.30,
1614205965.023438,,-0.25
1614205965.023438,0.33,
1614205965.0264394,,-0.33
1614205965.0274277,0.30,
1614205965.0294225,,-0.38
1614205965.0304227,0.25,
1614205965.0334115,,-0.35
1614205965.0344095,0.27,
1614205965.036404,0.25,
1614205965.036404,,-0.37
1614205965.0383987,,-0.28
1614205965.0403936,0.15,
1614205965.042388,0.03,
1614205965.04538,,-0.20
1614205965.0464087,,-0.07
1614205965.0464087,-0.07,
1614205965.048372,-0.02,
1614205965.0493693,,-0.08
1614205965.052362,-0.12,
1614205965.0533862,,0.00
1614205965.0533862,,0.00
1614205965.0563645,-0.12,
1614205965.0593424,-0.23,
1614205965.0593424,,0.02
1614205965.0603406,,0.12
1614205965.0613372,-0.23,
1614205965.0633547,,0.07
1614205965.0633547,-0.08,
1614205965.0673213,,0.00
1614205965.0673213,-0.13,
1614205965.0703135,,0.08
1614205965.0703135,-0.12,
1614205965.0713108,,0.08
1614205965.0723073,-0.12,
1614205965.0743027,,0.07
1614205965.0762973,-0.23,
1614205965.0792887,-0.30,
1614205965.0792887,,0.18
1614205965.081284,-0.28,
1614205965.083279,,0.22
1614205965.083279,,0.13
1614205965.0872686,-0.23,
1614205965.0872686,,0.22
1614205965.0882654,-0.23,
1614205965.0892622,,0.13
1614205965.0902607,-0.22,
1614205965.0922794,,0.18
1614205965.094268,-0.20,
1614205965.0952468,,0.20
1614205965.0972416,-0.13,
1614205965.1032257,,0.15
1614205965.1032257,-0.02,
1614205965.1042228,,0.13
1614205965.1042228,0.05,
1614205965.1052198,,0.03
1614205965.1062171,0.08,
1614205965.108212,,0.03
1614205965.1092098,0.08,
1614205965.1096973,,-0.02
1614205965.1096973,0.07,
1614205965.1096973,,0.03
1614205965.1096973,0.10,
1614205965.1096973,,0.05
1614205965.1176996,0.02,
1614205965.1176996,,0.12
1614205965.1176996,-0.03,
1614205965.1176996,,0.20
1614205965.1176996,-0.12,
1614205965.1176996,,0.22
1614205965.1176996,-0.18,
1614205965.127702,,0.28
1614205965.127702,-0.15,
1614205965.127702,,0.23
1614205965.127702,-0.15,
1614205965.127702,,0.28
1614205965.127702,-0.08,
1614205965.1377325,,0.22
1614205965.1377325,-0.13,
1614205965.1377325,,0.27
1614205965.1377325,0.00,
1614205965.1377325,,0.10
1614205965.1377325,-0.02,
1614205965.1477177,,0.15
1614205965.148041,0.08,
1614205965.1490495,,0.10
1614205965.1490495,0.07,
1614205965.1490495,,0.18
1614205965.1490495,0.03,
1614205965.1490495,,0.13
1614205965.1490495,-0.02,
1614205965.159103,,0.18
1614205965.159103,0.05,
1614205965.159103,,0.05
1614205965.159103,0.00,
1614205965.159103,,0.17
1614205965.159103,-0.03,
1614205965.159103,,0.10
1614205965.169077,-0.05,
1614205965.169077,,0.12
1614205965.169077,-0.10,
1614205965.169077,,0.15
1614205965.169077,-0.08,
1614205965.169077,,0.18
1614205965.1790547,-0.07,
1614205965.1790547,,0.18
1614205965.1790547,-0.05,
1614205965.1790547,,0.18
1614205965.1790547,-0.10,
1614205965.1790547,,0.17
1614205965.1790547,-0.03,
1614205965.1890953,,0.22
1614205965.1890953,-0.05,
1614205965.1890953,,0.28
1614205965.1890953,-0.10,
1614205965.1890953,,0.33
1614205965.1890953,-0.03,
1614205965.1990833,,0.23
1614205965.1990833,0.03,
1614205965.1990833,,0.17
1614205965.1990833,-0.03,
1614205965.1990833,,0.13
1614205965.1990833,0.12,
1614205965.1990833,,0.07
1614205965.2090688,0.05,
1614205965.2090688,,-0.02
1614205965.2090688,0.12,
1614205965.2090688,,-0.08
1614205965.2090688,0.22,
1614205965.2090688,,-0.13
1614205965.2175817,0.27,
1614205965.2175817,,-0.18
1614205965.2175817,0.13,
1614205965.2175817,,-0.12
1614205965.2175817,0.20,
1614205965.2175817,,-0.18
1614205965.2275877,0.10,
1614205965.2275877,,-0.18
1614205965.2275877,0.12,
1614205965.2275877,,-0.05
1614205965.2275877,0.03,
1614205965.2275877,,-0.12
1614205965.2275877,-0.03,
1614205965.237622,,-0.07
1614205965.237622,-0.12,
1614205965.237622,,0.07
1614205965.237622,-0.18,
1614205965.237622,,0.17
1614205965.237622,-0.25,
1614205965.247608,,0.20
1614205965.247608,-0.23,
1614205965.247608,,0.20
1614205965.247608,-0.27,
1614205965.247608,,0.15
1614205965.247608,-0.22,
1614205965.247608,,0.10
1614205965.2575872,-0.10,
1614205965.2575872,,0.10
1614205965.2575872,,0.07
1614205965.2575872,,0.05
1614205965.2675872,-0.12,
1614205965.2675872,,-0.02
1614205965.2675872,,0.03
1614205965.2775877,,-0.07
1614205965.2775877,-0.08,
1614205965.2775877,-0.02,
1614205965.2775877,0.07,
1614205965.2775877,0.07,
1614205965.2775877,0.13,
1614205965.2775877,,-0.05
1614205965.2775877,,-0.05
1614205965.2775877,0.17,
1614205965.2775877,0.15,
1614205965.2775877,0.18,
1614205965.2875853,,-0.18
1614205965.2875853,0.15,
1614205965.2875853,0.15,
1614205965.2875853,0.15,
1614205965.2875853,,-0.23
1614205965.2975852,,-0.20
1614205965.2975852,,-0.18
1614205965.2975852,,-0.27
1614205965.2975852,0.20,
1614205965.2975852,,-0.12
1614205965.2975852,0.05,
1614205965.2975852,0.13,
1614205965.2975852,-0.02,
1614205965.3075857,,-0.12
1614205965.3075857,,-0.15
1614205965.3075857,,-0.05
1614205965.3075857,,-0.03
1614205965.3075857,-0.08,
1614205965.3075857,-0.08,
1614205965.3075857,,0.00
1614205965.3075857,-0.17,
1614205965.3075857,,0.13
1614205965.317586,-0.20,
1614205965.317586,,0.12
1614205965.317586,,0.18
1614205965.317586,,0.18
1614205965.3275857,-0.23,
1614205965.3275857,-0.28,
1614205965.3275857,-0.27,
1614205965.3275857,,0.23
1614205965.3275857,-0.30,
1614205965.3275857,,0.28
1614205965.3275857,-0.27,
1614205965.3275857,,0.27
1614205965.3275857,-0.15,
1614205965.3375857,,0.17
1614205965.3375857,-0.13,
1614205965.3375857,,0.20
1614205965.3375857,-0.05,
1614205965.3375857,,0.12
1614205965.3375857,-0.07,
1614205965.3375857,,0.18
1614205965.3482728,-0.02,
1614205965.3502982,,0.15
1614205965.3512988,-0.05,
1614205965.3534586,,0.20
1614205965.3548007,0.03,
1614205965.3564975,,0.08
1614205965.3580124,0.07,
