Time,Flow1,Flow2
1614206402.5275712,,-0.02
1614206402.5295336,-0.05,
1614206402.530559,,-0.05
1614206402.5325568,-0.07,
1614206402.533523,,-0.07
1614206402.5355196,-0.03,
1614206402.5365565,,-0.02
1614206402.5385103,-0.07,
1614206402.5395064,,0.02
1614206402.5415013,-0.05,
1614206402.542498,,-0.02
1614206402.5445056,-0.05,
1614206402.5454948,,-0.07
1614206402.5474887,-0.10,
1614206402.5484867,,-0.02
1614206402.5504806,0.00,
1614206402.551474,,-0.03
1614206402.5534728,-0.03,
1614206402.5554633,,-0.05
1614206402.5584555,,-0.05
1614206402.5584555,-0.03,
1614206402.559453,-0.03,
1614206402.5614476,,-0.07
1614206402.5644398,-0.02,
1614206402.5644398,,-0.03
1614206402.5674317,-0.05,
1614206402.5684292,-0.03,
1614206402.569426,,-0.02
1614206402.569426,,-0.08
1614206402.5734158,,-0.05
1614206402.577406,,-0.05
1614206402.5784023,,-0.07
1614206402.5793998,0.00,
1614206402.5813942,-0.13,
1614206402.5823917,0.02,
1614206402.5823917,,0.02
1614206402.5833886,-0.03,
1614206402.5833886,-0.05,
1614206402.5853841,,0.00
1614206402.5874012,0.00,
1614206402.589398,,0.00
1614206402.5913677,,-0.05
1614206402.5913677,-0.02,
1614206402.5933623,-0.03,
1614206402.5953572,,-0.05
1614206402.5953572,-0.07,
1614206402.5963542,,0.00
1614206402.599374,0.02,
1614206402.600381,,0.02
1614206402.6023424,0.00,
1614206402.6023424,,-0.07
1614206402.606356,-0.07,
1614206402.6073492,,-0.02
1614206402.6083233,-0.05,
1614206402.6123118,,0.03
1614206402.6123118,,-0.02
1614206402.6123118,-0.08,
1614206402.6143255,-0.07,
1614206402.6143255,,-0.13
1614206402.6173031,-0.08,
1614206402.6173031,,0.05
1614206402.6212878,,-0.03
1614206402.6212878,-0.03,
1614206402.6292977,-0.07,
1614206402.6292977,,-0.05
1614206402.6292977,,0.00
1614206402.6292977,,0.03
1614206402.6302936,-0.08,
1614206402.6302936,-0.05,
1614206402.6322827,0.03,
1614206402.6332781,,-0.03
1614206402.6352735,-0.08,
1614206402.6362793,,-0.02
1614206402.6371777,-0.08,
1614206402.6371777,,-0.02
1614206402.6371777,-0.03,
1614206402.6371777,,-0.08
1614206402.6371777,-0.05,
1614206402.6371777,,-0.02
1614206402.6471832,0.00,
1614206402.6471832,,-0.03
1614206402.6471832,-0.13,
1614206402.6471832,,-0.05
1614206402.6471832,-0.07,
1614206402.6471832,,-0.03
1614206402.6471832,-0.05,
1614206402.6571782,,-0.07
1614206402.6571782,-0.05,
1614206402.6571782,,-0.02
1614206402.6571782,-0.08,
1614206402.6571782,,-0.03
1614206402.6571782,-0.02,
1614206402.6571782,,-0.03
1614206402.667183,0.02,
1614206402.667183,,-0.07
1614206402.667183,-0.07,
1614206402.667183,,-0.05
1614206402.667183,-0.02,
1614206402.667183,,-0.02
1614206402.6771832,-0.05,
1614206402.6771832,,-0.02
1614206402.6771832,0.03,
1614206402.6771832,,-0.02
1614206402.6771832,-0.05,
1614206402.6771832,,-0.05
1614206402.6771832,-0.03,
1614206402.6872296,,-0.08
1614206402.6872296,0.00,
1614206402.6872296,,-0.03
1614206402.6872296,-0.02,
1614206402.6872296,,0.00
1614206402.6872296,-0.03,
1614206402.6872296,,-0.05
1614206402.697304,-0.08,
1614206402.697304,,-0.02
1614206402.697304,-0.03,
1614206402.697304,,-0.12
1614206402.697304,0.05,
1614206402.697304,,0.00
1614206402.7071857,0.02,
1614206402.7071857,,-0.05
1614206402.7071857,-0.05,
1614206402.7071857,,-0.07
1614206402.7071857,-0.05,
1614206402.7071857,,-0.03
1614206402.7071857,-0.03,
1614206402.7171812,,-0.02
1614206402.7171812,-0.03,
1614206402.7171812,,0.00
1614206402.7171812,-0.05,
1614206402.7171812,,-0.07
1614206402.7171812,-0.05,
1614206402.7171812,,-0.03
1614206402.727181,-0.07,
1614206402.727181,,-0.08
1614206402.727181,-0.02,
1614206402.727181,,-0.05
1614206402.7351959,-0.08,
1614206402.7351959,,-0.07
1614206402.7351959,-0.07,
1614206402.7351959,,-0.05
1614206402.7351959,-0.07,
1614206402.7351959,,-0.05
1614206402.7351959,-0.05,
1614206402.7351959,,-0.12
1614206402.745307,-0.03,
1614206402.745307,,-0.07
1614206402.745307,-0.02,
1614206402.745307,,-0.02
1614206402.745307,-0.03,
1614206402.745307,,-0.05
1614206402.7554162,,-0.03
1614206402.7554162,-0.05,
1614206402.7554162,-0.03,
1614206402.7554162,,-0.07
1614206402.7554162,-0.05,
1614206402.7554162,,0.00
1614206402.7653718,0.02,
1614206402.7653718,,0.02
1614206402.7653718,,-0.07
1614206402.7653718,-0.02,
1614206402.7653718,,0.00
1614206402.7653718,-0.02,
1614206402.7653718,,-0.07
1614206402.7653718,-0.07,
1614206402.7753499,0.00,
1614206402.7753499,,-0.08
1614206402.7753499,-0.03,
1614206402.7753499,,0.02
1614206402.7753499,,-0.03
1614206402.7753499,0.02,
1614206402.7853582,-0.02,
1614206402.7853582,,-0.10
1614206402.7853582,,0.00
1614206402.7853582,-0.08,
1614206402.7853582,,0.03
1614206402.7853582,-0.02,
1614206402.7954187,,-0.08
1614206402.7954187,-0.07,
1614206402.7954187,,-0.05
1614206402.7954187,-0.02,
1614206402.7954187,,-0.07
1614206402.7954187,-0.03,
1614206402.7954187,,-0.07
1614206402.7954187,0.00,
1614206402.8052068,,0.00
1614206402.8052068,-0.03,
1614206402.8052068,,-0.12
1614206402.8052068,-0.07,
1614206402.8052068,,-0.07
1614206402.8052068,0.00,
1614206402.8153703,,-0.05
1614206402.8153703,-0.02,
1614206402.8153703,,-0.05
1614206402.8153703,-0.02,
1614206402.8153703,,-0.02
1614206402.8153703,-0.05,
1614206402.8254204,,-0.03
1614206402.8254204,-0.03,
1614206402.8254204,,-0.02
1614206402.8254204,-0.02,
1614206402.8254204,,-0.05
1614206402.8254204,-0.05,
1614206402.8254204,,-0.02
1614206402.8254204,-0.02,
1614206402.835217,,-0.05
1614206402.835217,-0.05,
1614206402.835217,,-0.05
1614206402.835217,-0.03,
1614206402.835217,,-0.07
1614206402.835217,0.00,
1614206402.8453667,-0.03,
1614206402.8453667,,0.02
1614206402.8453667,-0.02,
1614206402.8552022,,0.02
1614206402.8552022,-0.10,
1614206402.8552022,0.00,
1614206402.8552022,,-0.03
1614206402.8552022,-0.05,
1614206402.8552022,,0.00
1614206402.8552022,,-0.05
1614206402.8552022,,-0.05
1614206402.8552022,-0.12,
1614206402.8552022,,-0.02
1614206402.865241,,-0.03
1614206402.865241,-0.03,
1614206402.865241,-0.05,
1614206402.865241,-0.08,
1614206402.865241,,-0.07
1614206402.8752332,,-0.03
1614206402.8752332,-0.03,
1614206402.8752332,,-0.05
1614206402.8752332,0.05,
1614206402.8752332,,-0.07
1614206402.8852232,-0.03,
1614206402.8852232,,-0.05
1614206402.8852232,,-0.07
1614206402.8852232,-0.07,
1614206402.8852232,0.02,
1614206402.8852232,,-0.08
1614206402.8852232,-0.10,
1614206402.8852232,,-0.08
1614206402.8852232,-0.10,
1614206402.8952336,,-0.05
1614206402.8952336,,-0.03
1614206402.8952336,-0.03,
1614206402.8952336,-0.13,
1614206402.8952336,,-0.08
1614206402.8952336,-0.03,
1614206402.8952336,,-0.10
1614206402.8952336,-0.07,
1614206402.905231,,-0.02
1614206402.905231,-0.10,
1614206402.915229,,-0.02
1614206402.915229,,0.02
1614206402.915229,,-0.05
1614206402.915229,-0.03,
1614206402.915229,-0.03,
1614206402.915229,0.02,
1614206402.915229,,0.00
1614206402.915229,-0.08,
1614206402.915229,,-0.05
1614206402.915229,-0.07,
1614206402.915229,,-0.05
1614206402.9252021,-0.02,
1614206402.9252021,,-0.07
1614206402.9252021,-0.05,
1614206402.9252021,,-0.03
1614206402.9252021,-0.03,
1614206402.9252021,,-0.07
1614206402.9252021,-0.07,
1614206402.9353018,,-0.05
1614206402.9353018,-0.07,
1614206402.9353018,,-0.03
1614206402.9353018,-0.12,
1614206402.9353018,,0.00
1614206402.9353018,-0.03,
