Time,Flow1,Flow2
1614215709.3064973,-0.05,
1614215709.3075092,,-0.02
1614215709.3085148,-0.08,
1614215709.310491,,-0.03
1614215709.311482,0.03,
1614215709.3134766,,0.00
1614215709.3144786,-0.02,
1614215709.3164713,,-0.02
1614215709.3174706,-0.02,
1614215709.3194647,,0.00
1614215709.3214555,-0.07,
1614215709.3244474,,-0.02
1614215709.3254447,,-0.05
1614215709.3254447,-0.07,
1614215709.3284361,0.00,
1614215709.3304355,-0.07,
1614215709.3304355,,-0.05
1614215709.3314278,,-0.05
1614215709.3354182,0.02,
1614215709.3364165,-0.02,
1614215709.3384242,,0.00
1614215709.3414025,0.03,
1614215709.3414025,,-0.02
1614215709.3414025,,-0.05
1614215709.3423998,-0.05,
1614215709.344394,,-0.12
1614215709.346403,-0.07,
1614215709.346403,,-0.08
1614215709.349381,,-0.05
1614215709.350378,-0.03,
1614215709.3513756,-0.02,
1614215709.352373,,-0.03
1614215709.3543682,-0.02,
1614215709.35736,0.00,
1614215709.359354,,-0.08
1614215709.359354,,-0.03
1614215709.3613486,,-0.08
1614215709.362346,-0.05,
1614215709.3633428,0.03,
1614215709.3643634,,-0.02
1614215709.366336,-0.07,
1614215709.3673553,,-0.02
1614215709.369328,0.00,
1614215709.3713226,,-0.07
1614215709.3723295,-0.03,
1614215709.375312,0.02,
1614215709.383289,,0.00
1614215709.383289,,-0.05
1614215709.383289,,-0.10
1614215709.383289,,-0.07
1614215709.3843,0.03,
1614215709.3843,0.02,
1614215709.3843,0.00,
1614215709.3852847,,-0.03
1614215709.387279,0.03,
1614215709.388277,,-0.02
1614215709.3902717,-0.02,
1614215709.3912692,,-0.03
1614215709.3942606,-0.07,
1614215709.3972526,,-0.02
1614215709.3972526,0.00,
1614215709.4012444,0.02,
1614215709.4012444,,0.00
1614215709.4022398,,0.00
1614215709.4032366,-0.03,
1614215709.4032366,,-0.05
1614215709.4072256,,-0.02
1614215709.4072256,-0.03,
1614215709.4112146,,-0.05
1614215709.4112146,-0.05,
1614215709.4122274,-0.05,
1614215709.415205,0.02,
1614215709.4201915,0.02,
1614215709.4201915,,-0.05
1614215709.421188,,0.00
1614215709.421188,0.02,
1614215709.4221866,,-0.02
1614215709.4221866,,0.02
1614215709.425178,0.02,
1614215709.425178,,-0.07
1614215709.4271722,0.02,
1614215709.431162,,-0.02
1614215709.431162,-0.07,
1614215709.4351516,,-0.08
1614215709.4351516,,-0.02
1614215709.436149,0.00,
1614215709.436149,-0.03,
1614215709.439141,0.07,
1614215709.439141,,0.00
1614215709.4401388,,-0.05
1614215709.4421556,-0.02,
1614215709.44313,,-0.07
1614215709.4451466,0.02,
1614215709.4461231,,-0.03
1614215709.448117,0.03,
1614215709.450112,,-0.07
1614215709.453131,-0.03,
1614215709.4541018,-0.02,
1614215709.4541018,,-0.02
1614215709.4600842,,-0.07
1614215709.4600842,,-0.05
1614215709.4620793,0.02,
1614215709.4620793,,0.00
1614215709.4620793,-0.02,
1614215709.4630775,0.03,
1614215709.464075,,-0.08
1614215709.4660695,-0.12,
1614215709.4670668,,0.03
1614215709.4690616,0.00,
1614215709.4700592,,-0.05
1614215709.472058,-0.03,
1614215709.4730508,,-0.02
1614215709.4750464,-0.07,
1614215709.476043,,-0.07
1614215709.4780645,-0.02,
1614215709.479035,,-0.05
1614215709.48103,0.03,
1614215709.4830544,,-0.10
1614215709.4880106,-0.03,
1614215709.4880106,,-0.07
1614215709.4880106,,-0.07
1614215709.4880106,0.02,
1614215709.4900055,-0.02,
1614215709.4910026,,-0.05
1614215709.4929976,-0.05,
1614215709.493995,,-0.03
1614215709.4959896,-0.08,
1614215709.4969866,,-0.02
1614215709.4989815,-0.03,
1614215709.4999804,,0.02
1614215709.502843,-0.02,
1614215709.5036488,,-0.03
1614215709.5055795,-0.05,
1614215709.5062006,,-0.05
1614215709.508197,-0.03,
1614215709.509194,,-0.08
1614215709.5111895,-0.03,
1614215709.5121858,,-0.10
1614215709.515027,0.00,
1614215709.515027,,-0.08
1614215709.5180345,0.00,
1614215709.5180345,,-0.02
1614215709.52058,-0.02,
1614215709.5215814,,-0.03
1614215709.5240104,0.02,
1614215709.524751,,-0.07
1614215709.5270221,0.00,
1614215709.527401,,0.00
1614215709.5299957,-0.07,
1614215709.5305853,,-0.02
1614215709.5329962,-0.07,
1614215709.5337174,,0.00
1614215709.5360277,0.00,
1614215709.5365627,,-0.08
1614215709.5385594,-0.02,
1614215709.5397284,,0.05
1614215709.5421348,-0.05,
1614215709.5427103,,0.00
1614215709.545183,-0.03,
1614215709.5457249,,0.02
1614215709.548074,-0.05,
1614215709.548074,,0.05
1614215709.550747,-0.03,
1614215709.5516317,,-0.07
1614215709.5540192,-0.07,
1614215709.5540192,,0.03
1614215709.5572517,0.00,
1614215709.5578518,,-0.02
1614215709.5603194,-0.05,
1614215709.5606039,,0.02
1614215709.563349,-0.03,
1614215709.5638642,,0.05
1614215709.566248,0.00,
1614215709.5669966,,-0.07
1614215709.5690484,-0.02,
1614215709.5690484,,-0.02
1614215709.5720441,0.02,
1614215709.573042,,0.02
1614215709.5754826,-0.03,
1614215709.576024,,-0.07
1614215709.5781116,0.00,
1614215709.5781116,,-0.05
1614215709.581635,-0.02,
1614215709.581955,,0.00
1614215709.5844748,0.00,
1614215709.5849245,,0.05
1614215709.5871575,-0.05,
1614215709.5880973,,-0.05
1614215709.590534,-0.02,
1614215709.590534,,-0.03
1614215709.593632,-0.05,
1614215709.5941916,,-0.03
1614215709.5965364,0.00,
1614215709.5969546,,-0.05
1614215709.5996385,0.03,
1614215709.6000626,,-0.05
1614215709.6026692,0.00,
1614215709.603005,,-0.03
1614215709.605106,0.03,
1614215709.6059256,,-0.03
1614215709.608317,0.00,
1614215709.609115,,-0.05
1614215709.6114035,-0.03,
1614215709.6114035,,-0.08
1614215709.614495,-0.05,
1614215709.6150465,,-0.02
1614215709.6176982,0.00,
1614215709.6180577,,-0.02
1614215709.620366,-0.03,
1614215709.6211417,,-0.03
1614215709.6233923,-0.07,
1614215709.6233923,,-0.05
1614215709.6265626,0.03,
1614215709.6272252,,-0.03
1614215709.6291735,0.03,
1614215709.6301749,,-0.05
1614215709.6327846,-0.07,
1614215709.6331544,,-0.05
1614215709.6355903,-0.03,
1614215709.6362813,,0.00
1614215709.6385202,0.00,
1614215709.6385202,,-0.02
1614215709.6418676,-0.02,
