Time,Flow1,Flow2
1614217337.8331633,-0.07,
1614217337.8361554,,0.03
1614217337.8361554,-0.10,
1614217337.8371527,,0.05
1614217337.839147,-0.05,
1614217337.8401432,,0.03
1614217337.8421388,-0.05,
1614217337.843137,,0.10
1614217337.8451304,-0.15,
1614217337.846134,,0.05
1614217337.8481224,-0.10,
1614217337.8491254,,0.03
1614217337.851133,-0.13,
1614217337.8521292,,0.08
1614217337.854115,-0.02,
1614217337.85511,,0.05
1614217337.8571043,-0.05,
1614217337.8581007,,0.05
1614217337.860097,-0.03,
1614217337.8610928,,0.10
1614217337.8630874,-0.08,
1614217337.8640847,,0.07
1614217337.8660796,-0.08,
1614217337.8670726,,0.05
1614217337.8690665,-0.02,
1614217337.870069,,0.07
1614217337.8720593,-0.05,
1614217337.8730614,,0.07
1614217337.8750553,-0.10,
1614217337.8760557,,0.10
1614217337.8780487,-0.13,
1614217337.87904,,0.10
1614217337.8810408,-0.10,
1614217337.882032,,0.08
1614217337.8840268,-0.08,
1614217337.8860214,,0.10
1614217337.8870246,-0.13,
1614217337.8890135,,0.15
1614217337.8900166,-0.15,
1614217337.8920054,,0.15
1614217337.893003,-0.07,
1614217337.8949986,,0.12
1614217337.8960006,-0.13,
1614217337.8979893,,0.18
1614217337.8999906,-0.05,
1614217337.9009817,,0.22
1614217337.9029763,-0.05,
1614217337.9039738,,0.20
1614217337.9059682,-0.08,
1614217337.9069657,,0.15
1614217337.9089606,-0.03,
1614217337.9099576,,0.13
1614217337.9119585,0.02,
1614217337.9129498,,0.05
1614217337.9149444,0.05,
1614217337.9159431,,0.03
1614217337.9179375,0.12,
1614217337.9189339,,-0.12
1614217337.9209392,0.12,
1614217337.9219255,,-0.08
1614217337.9239206,0.17,
1614217337.9249184,,-0.08
1614217337.926934,0.17,
1614217337.9279103,,-0.18
1614217337.9299057,0.18,
1614217337.9309025,,-0.22
1614217337.9328966,0.18,
1614217337.9339068,,-0.28
1614217337.935889,0.18,
1614217337.936924,,-0.28
1614217337.938884,0.18,
1614217337.9398777,,-0.32
1614217337.9418762,0.20,
1614217337.9428854,,-0.42
1614217337.9448683,0.22,
1614217337.9458616,,-0.35
1614217337.9478602,0.13,
