Time,Flow1,Flow2
1614290665.761375,"2.61",
1614290665.761375,"2.64",
1614290665.7623608,"2.67",
1614290665.7623608,"2.64",
1614290665.7633734,"2.63",
1614290665.7633734,"2.66",
1614290665.7643557,"2.62",
1614290665.7643557,"2.61",
1614290665.7653527,"2.62",
1614290665.7653527,"2.64",
1614290665.7663507,"2.64",
1614290665.7663507,"2.65",
1614290665.7673466,"2.63",
1614290665.7673466,"2.66",
1614290665.7683446,"2.63",
1614290665.7683446,"2.65",
1614290665.769343,"2.67",
1614290665.769343,"2.65",
1614290665.7703533,"2.68",
1614290665.7703533,"2.66",
1614290665.771337,"2.67",
1614290665.771337,"2.63",
1614290665.7723339,"2.68",
1614290665.7733364,"2.65",
1614290665.7733364,"2.64",
1614290665.7743278,"2.68",
1614290665.7743278,"2.68",
1614290665.7753263,"2.66",
1614290665.7753263,"2.66",
1614290665.776323,"2.64",
1614290665.776323,"2.67",
1614290665.7773337,"2.65",
1614290665.7773337,"2.68",
1614290665.7783182,"2.64",
1614290665.7783182,"2.68",
1614290665.7793155,"2.67",
1614290665.7793155,"2.66",
1614290665.7803133,"2.63",
1614290665.7803133,"2.64",
1614290665.7813094,"2.67",
1614290665.7813094,"2.67",
1614290665.7823074,"2.63",
1614290665.7823074,"2.65",
1614290665.783304,"2.68",
1614290665.7843037,"2.65",
1614290665.7843037,"2.65",
1614290665.7852998,"2.64",
1614290665.7852998,"2.63",
1614290665.7863083,"2.68",
1614290665.7863083,"2.64",
1614290665.7872932,"2.65",
1614290665.7872932,"2.67",
1614290665.7882922,"2.62",
1614290665.7882922,"2.68",
1614290665.7893014,"2.66",
1614290665.7893014,"2.62",
1614290665.7902863,"2.65",
1614290665.7902863,"2.63",
1614290665.7912836,"2.66",
1614290665.7912836,"2.63",
1614290665.792281,"2.66",
1614290665.792281,"2.66",
1614290665.7932782,"2.62",
1614290665.7932782,"2.64",
1614290665.794276,"2.65",
1614290665.794276,"2.63",
1614290665.795273,"2.66",
1614290665.795273,"2.63",
1614290665.796272,"2.66",
1614290665.7972715,"2.63",
1614290665.7972715,"2.62",
1614290665.798265,"2.63",
1614290665.798265,"2.67",
1614290665.7992623,"2.65",
1614290665.7992623,"2.64",
1614290665.8002596,"2.64",
1614290665.8002596,"2.66",
1614290665.8012564,"2.65",
1614290665.8012564,"2.66",
