Time,Flow1,Flow2
1615255293.5570972,"-0.10
",
1615255293.5600898,"0.00
",
1615255293.5630817,"0.05
",
1615255293.5660732,"0.05
",
1615255293.5690649,"0.02
",
1615255293.5720572,"-0.03
",
1615255293.576048,"-0.07
",
1615255293.5790386,"-0.03
",
1615255293.5820308,"0.00
",
1615255293.5850224,"-0.02
",
1615255293.588015,"-0.07
",
1615255293.5910058,"-0.05
",
1615255293.5940046,"-0.03
",
1615255293.59699,"-0.07
",
1615255293.5999818,"-0.03
",
1615255293.6029747,"0.03
",
1615255293.605966,"-0.05
",
1615255293.6089582,"-0.07
",
1615255293.6119502,"-0.02
",
1615255293.6149423,"-0.03
",
1615255293.617934,"-0.03
",
1615255293.6209264,"-0.02
",
1615255293.6239185,"0.00
",
1615255293.6269226,"-0.03
",
1615255293.6299098,"-0.03
",
1615255293.6328945,"0.00
",
1615255293.6358862,"-0.02
",
1615255293.6388788,"-0.05
",
1615255293.6418717,"0.00
",
1615255293.6448622,"-0.02
",
1615255293.6478543,"0.05
",
1615255293.6508462,"-0.02
",
1615255293.6538386,"-0.03
",
1615255293.6578286,"-0.02
",
1615255293.6598222,"-0.05
",
1615255293.6628141,"0.00
",
1615255293.6658175,"0.02
",
1615255293.6687982,"0.08
",
1615255293.671798,"0.00
",
1615255293.6747828,"0.03
",
1615255293.6777737,"-0.02
",
1615255293.6817634,"-0.07
",
1615255293.6837585,"0.03
",
1615255293.686763,"0.00
",
1615255293.6907399,"-0.03
",
1615255293.6927347,"0.00
",
1615255293.6967235,"-0.07
",
1615255293.699716,"-0.05
",
1615255293.7027082,"-0.07
",
1615255293.7057002,"0.00
",
1615255293.7076945,,"-0.02
"
1615255293.7076945,"-0.08
",
1615255293.710687,,"-0.02
"
1615255293.710687,"-0.05
",
1615255293.713679,,"-0.02
"
1615255293.714676,"-0.05
",
1615255293.7166715,,"-0.03
"
1615255293.7176676,"-0.03
",
1615255293.7196627,,"0.00
"
1615255293.7206607,"-0.02
",
1615255293.722655,,"-0.08
"
1615255293.7236528,"-0.03
",
1615255293.7256465,,"-0.07
"
1615255293.726644,"-0.03
",
1615255293.7286386,,"0.00
"
1615255293.7296371,"-0.02
",
1615255293.7316313,,"-0.02
"
1615255293.7326288,"-0.05
",
1615255293.7346234,,"-0.05
"
1615255293.7356205,"0.00
",
1615255293.7376144,,"-0.03
"
1615255293.7386117,"0.03
",
1615255293.7406056,,"0.03
"
1615255293.7416034,"-0.05
",
1615255293.743598,,"-0.02
"
1615255293.7445962,"-0.08
",
1615255293.7465904,,"0.02
"
1615255293.7475882,"-0.05
",
1615255293.749583,,"0.02
"
1615255293.75058,"-0.08
",
1615255293.7525742,,"0.03
"
1615255293.7535732,"-0.03
",
1615255293.7555664,,"-0.02
"
1615255293.7565644,"0.02
",
1615255293.7585588,,"0.00
"
1615255293.759557,"-0.02
",
1615255293.7615502,,"-0.02
"
1615255293.762548,"0.03
",
1615255293.7645428,,"-0.03
"
1615255293.7655394,"-0.05
",
1615255293.7675338,,"0.07
"
1615255293.7685323,"-0.02
",
1615255293.7705262,,"-0.08
"
1615255293.7715232,"-0.02
",
1615255293.773518,,"-0.07
"
1615255293.7745152,"0.03
",
1615255293.7765102,,"-0.03
"
1615255293.7775073,"-0.02
",
1615255293.7795024,,"0.03
"
1615255293.7804992,"-0.05
",
1615255293.782494,,"-0.08
"
1615255293.7834916,"-0.03
",
1615255293.7854857,,"0.00
"
1615255293.7864835,"-0.05
",
1615255293.788478,,"0.00
"
1615255293.7894757,"-0.07
",
1615255293.7924676,,"-0.02
"
1615255293.7924676,"0.03
",
1615255293.795459,,"0.02
"
1615255293.795459,"-0.03
",
1615255293.7984524,,"-0.03
"
1615255293.7984524,"-0.02
",
1615255293.8014433,,"0.05
"
1615255293.8014433,"-0.02
",
1615255293.8044362,,"-0.05
"
1615255293.8044362,"0.02
",
1615255293.8074284,,"-0.03
"
1615255293.8074284,"-0.03
",
1615255293.8104196,,"-0.02
"
1615255293.8104196,"-0.07
",
1615255293.8134127,,"0.00
"
1615255293.8134127,"-0.03
",
1615255293.8164046,,"-0.03
"
1615255293.8164046,"-0.03
",
1615255293.8193958,,"0.00
"
1615255293.8193958,"-0.03
",
1615255293.822389,,"-0.02
"
1615255293.8233848,"-0.03
",
1615255293.8253798,,"-0.03
"
1615255293.8253798,"0.00
",
1615255293.828372,,"-0.03
"
1615255293.828372,"0.00
",
1615255293.8313642,,"-0.03
"
1615255293.832361,"-0.03
",
1615255293.8343558,,"0.00
"
1615255293.8343558,"0.00
",
1615255293.837348,,"0.02
"
1615255293.837348,"0.00
",
1615255293.8403394,,"-0.02
"
1615255293.8413377,"-0.02
",
1615255293.8433318,,"-0.02
"
1615255293.8443294,"0.00
",
1615255293.8463235,,"0.05
"
1615255293.847321,"-0.02
",
1615255293.8493156,,"0.02
"
1615255293.8503132,"0.00
",
1615255293.852308,,"-0.03
"
1615255293.8533046,"0.07
",
1615255293.855299,,"0.02
"
1615255293.8562975,"0.00
",
1615255293.8582919,,"-0.08
"
1615255293.8592892,"0.00
",
1615255293.8612838,,"0.07
"
1615255293.8622813,"-0.03
",
1615255293.8642757,,"0.03
"
1615255293.8652732,"0.03
",
1615255293.8672674,,"0.05
"
1615255293.8682656,"0.03
",
1615255293.8702595,,"0.02
"
1615255293.8712566,"-0.05
",
1615255293.873251,,"-0.02
"
1615255293.8742492,"-0.02
",
1615255293.8762448,,"-0.05
"
1615255293.877241,"-0.02
",
1615255293.8792348,,"0.02
"
1615255293.8802335,"0.02
",
1615255293.8822289,,"0.02
"
1615255293.8832252,"-0.02
",
1615255293.8862166,"0.00
",
1615255293.8852189,,"0.03
"
1615255293.889209,"-0.03
",
1615255293.8882122,,"-0.07
"
1615255293.8922007,"-0.03
",
1615255293.8912039,,"-0.07
"
1615255293.895193,"0.00
",
1615255293.8941958,,"0.00
"
1615255293.8981853,"-0.05
",
1615255293.9011767,"-0.03
",
1615255293.897188,,"-0.05
"
1615255293.9041698,"-0.02
",
1615255293.9071612,"0.00
",
1615255293.9101522,"-0.03
",
1615255293.9131444,"-0.03
",
