Time,Tag,Flow1,EIT
1615261816.8074327,,"-0.03
",
1615261816.8104234,,"-0.03
",
1615261816.813415,,"-0.05
",
1615261816.8174193,,"-0.05
",
1615261816.8204117,,"-0.05
",
1615261816.8233893,,"-0.07
",
1615261816.8263817,,"-0.05
",
1615261816.8313818,,"-0.02
",
1615261816.8323677,,"-0.07
",
1615261816.8353603,,"-0.02
",
1615261816.8383493,,"-0.02
",
1615261816.841342,,"-0.02
",
1615261816.8443341,,"0.00
",
1615261816.8513165,,"-0.03
",
1615261816.852313,,"-0.08
",
1615261816.853311,,"-0.02
",
1615261816.8563063,,"0.00
",
1615261816.8592947,,"-0.07
",
1615261816.862287,,"-0.02
",
1615261816.8652785,,"-0.05
",
1615261816.8682718,,"-0.02
",
1615261816.8712635,,"0.03
",
1615261816.8742552,,"0.00
",
1615261816.877247,,"0.00
",
1615261816.8802402,,"-0.05
",
1615261816.8832333,,"-0.02
",
1615261816.886224,,"-0.05
",
1615261816.8892162,,"-0.10
",
1615261816.8922083,,"-0.05
",
1615261816.8952005,,"0.02
",
1615261816.8981926,,"-0.10
",
1615261816.901184,,"-0.03
",
1615261816.9041762,,"-0.02
",
1615261816.907169,,"-0.05
",
1615261816.9101603,,"-0.08
",
1615261816.913153,,"-0.08
",
1615261816.9161446,,"0.00
",
1615261816.919137,,"0.00
",
1615261816.922129,,"0.00
",
1615261816.9251218,,"-0.10
",
1615261816.9281137,,"-0.05
",
1615261816.931106,,"-0.03
",
1615261816.9340982,,"-0.07
",
1615261816.9370897,,"-0.02
",
1615261816.9400818,,"-0.07
",
1615261816.9430742,,"-0.02
",
1615261816.9460666,,"-0.02
",
1615261816.9490588,,"-0.02
",
1615261816.952052,,"-0.07
",
1615261816.9550436,,"-0.02
",
1615261816.9580348,,"-0.08
",
1615261816.961027,,"0.00
",
1615261816.964019,,"-0.03
",
1615261816.9670112,,"0.02
",
1615261816.970004,,"-0.03
",
1615261816.9729953,,"-0.03
",
1615261816.9759874,,"-0.07
",
1615261816.9789796,,"0.02
",
1615261816.9819715,,"0.02
",
1615261816.9849641,,"0.03
",
1615261816.9879563,,"-0.07
",
1615261816.9909484,,"-0.02
",
1615261816.9939399,,"-0.07
",
1615261816.9969325,,"-0.07
",
1615261816.9999242,,"-0.03
",
1615261817.0029173,,"-0.02
",
1615261817.005909,,"-0.07
",
1615261817.0089014,,"0.03
",
1615261817.0118926,,"-0.03
",
1615261817.014885,,"0.00
",
1615261817.0178766,,"-0.03
",
1615261817.0208733,,"-0.02
",
1615261817.023861,,"-0.07
",
1615261817.0268533,,"-0.05
",
1615261817.029845,,"-0.05
",
1615261817.0328376,,"-0.02
",
1615261817.0358298,,"-0.03
",
1615261817.0388212,,"-0.05
",
1615261817.0418139,,"-0.07
",
1615261817.0448053,,"-0.05
",
1615261817.0477982,,"0.00
",
1615261817.05079,,"-0.05
",
1615261817.0537822,,"-0.05
",
1615261817.0567741,,"0.00
",
1615261817.0597684,,"-0.08
",
1615261817.0627594,,"-0.02
",
1615261817.0657518,,"-0.02
",
1615261817.068745,,"-0.05
",
1615261817.0717359,,"-0.03
",
1615261817.074728,,"-0.02
",
1615261817.0777192,,"-0.05
",
1615261817.0807106,,"-0.10
",
1615261817.0837028,,"-0.05
",
1615261817.0866957,,"-0.05
",
1615261817.0896873,,"-0.07
",
1615261817.0926797,,"-0.08
",
1615261817.0956712,,"-0.03
",
1615261817.0986643,,"-0.03
",
1615261817.1016555,,"0.00
",
1615261817.1046476,,"-0.03
",
1615261817.1076403,,"-0.07
",
1615261817.1106327,,"-0.03
",
1615261817.1136246,,"-0.07
",
1615261817.1166167,,"0.00
",
1615261817.119609,,"-0.05
",
1615261817.1226008,,"-0.05
",
1615261817.1265907,,"-0.03
",
1615261817.1295822,,"0.02
",
1615261817.1325743,,"-0.02
",
1615261817.135567,,"-0.02
",
1615261817.1385589,,"-0.02
",
1615261817.141552,,"-0.08
",
1615261817.1445436,,"0.00
",
1615261817.147535,,"-0.02
",
1615261817.150527,,"-0.08
",
1615261817.1535196,,"-0.02
",
1615261817.1565118,,"-0.08
",
1615261817.1595037,,"-0.03
",
1615261817.162495,,"-0.03
",
1615261817.1654878,,"-0.03
",
1615261817.16848,,"-0.02
",
1615261817.1714725,,"-0.05
",
1615261817.174465,,"-0.03
",
1615261817.177456,,"-0.05
",
1615261817.1804488,,"-0.10
",
1615261817.1834412,,"-0.02
",
1615261817.1864333,,"-0.03
",
1615261817.189425,,"0.02
",
1615261817.1924167,,"-0.03
",
1615261817.19541,,"-0.05
",
1615261817.1984017,,"0.02
",
1615261817.2013938,,"-0.05
",
1615261817.2043855,,"-0.05
",
1615261817.207377,,"-0.10
",
1615261817.210369,,"-0.07
",
1615261817.2133608,,"-0.02
",
1615261817.2163532,,"-0.07
",
1615261817.2193475,,"0.03
",
1615261817.2223392,,"0.00
",
1615261817.2253306,,"-0.07
",
1615261817.228323,,"-0.10
",
1615261817.231315,,"-0.05
",
1615261817.2343068,,"-0.03
",
1615261817.2372987,,"-0.02
",
1615261817.2402909,,"-0.02
",
1615261817.243283,,"0.00
",
1615261817.2462745,,"-0.07
",
1615261817.2492664,,"-0.08
",
1615261817.2522588,,"-0.07
",
1615261817.255252,,"-0.07
",
1615261817.2582436,,"0.00
",
1615261817.261236,,"-0.03
",
1615261817.264229,,"-0.03
",
1615261817.2672205,,"0.02
",
1615261817.270212,,"-0.02
",
1615261817.2732043,,"-0.07
",
1615261817.2761955,,"-0.02
",
1615261817.2791877,,"-0.02
",
1615261817.2821796,,"0.00
",
1615261817.2851725,,"-0.05
",
1615261817.288164,,"0.00
",
1615261817.2911563,,"0.02
",
1615261817.2941484,,"-0.02
",
1615261817.2971406,,"-0.02
",
1615261817.3001325,,"-0.08
",
1615261817.3031247,,"-0.02
",
1615261817.3061168,,"-0.03
",
1615261817.3091085,,"-0.02
",
1615261817.3121023,,"-0.02
",
1615261817.315094,,"-0.02
",
1615261817.3180864,,"-0.02
",
1615261817.3210778,,"-0.03
",
1615261817.32407,,"-0.03
",
1615261817.3270621,,"-0.02
",
1615261817.3300555,,"0.00
",
1615261817.3330488,,"0.02
",
1615261817.3360388,,"0.00
",
1615261817.3390312,,"-0.07
",
1615261817.342023,,"-0.12
",
1615261817.3450146,,"0.00
",
1615261817.348007,,"-0.02
",
1615261817.3509986,,"0.08
",
1615261817.3549893,,"-0.05
",
1615261817.357981,,"0.02
",
1615261817.3609731,,"-0.02
",
1615261817.363965,,"-0.03
",
1615261817.3669577,,"-0.03
",
1615261817.3699496,,"-0.03
",
1615261817.372941,,"-0.05
",
1615261817.3759336,,"0.02
",
1615261817.3789258,,"0.00
",
1615261817.381918,,"-0.05
",
1615261817.3849099,,"-0.02
",
1615261817.3879025,,"-0.05
",
1615261817.390894,,"0.02
",
1615261817.3938866,,"-0.12
",
1615261817.3968854,,"-0.05
",
1615261817.3998709,,"0.00
",
1615261817.402862,,"0.00
",
1615261817.405854,,"-0.05
",
1615261817.408847,,"0.00
",
1615261817.411839,,"0.00
",
1615261817.4148312,,"-0.05
",
1615261817.417823,,"-0.07
",
1615261817.4208171,,"0.02
",
1615261817.4238067,,"-0.03
",
1615261817.4268,,"-0.07
",
1615261817.429797,,"-0.05
",
1615261817.4327838,,"0.02
",
1615261817.435776,,"-0.02
",
1615261817.438768,,"0.00
",
1615261817.4417608,,"-0.07
",
1615261817.444752,,"0.00
",
1615261817.447744,,"-0.02
",
1615261817.4507363,,"-0.05
",
1615261817.4537284,,"-0.07
",
1615261817.4567208,,"0.00
",
1615261817.4597123,,"-0.03
",
1615261817.4627044,,"-0.05
",
1615261817.4656963,,"-0.02
",
1615261817.468689,,"-0.05
",
1615261817.4716804,,"-0.05
",
1615261817.4746723,,"0.00
",
1615261817.4776652,,"-0.05
",
1615261817.4806583,,"-0.07
",
1615261817.4836493,,"-0.05
",
1615261817.4866414,,"-0.08
",
1615261817.4896328,,"-0.03
",
1615261817.4926262,,"-0.05
",
1615261817.4956183,,"0.02
",
