Time,Tag,Flow,EIT
1616711917.3302069,,"179959020, -0.03, -0.13
",
1616711917.3332002,,"179962012, 0.00, -0.07
",
1616711917.336216,,"179964960, -0.02, -0.08
",
1616711917.3391867,,"179967932, 0.00, -0.05
",
1616711917.3421743,,"179970880, -0.02, -0.05
",
1616711917.3451664,,"179973856, 0.00, -0.12
",
1616711917.3481722,,"179976812, 0.00, -0.05
",
1616711917.3511503,,"179979760, -0.02, -0.10
",
1616711917.3541422,,"179982748, 0.00, -0.03
",
1616711917.3571525,,"179985696, 0.00, -0.05
",
1616711917.3601265,,"179988640, 0.02, -0.07
",
1616711917.3631184,,"179991616, -0.03, -0.07
",
1616711917.3661098,,"179994596, -0.03, -0.08
",
1616711917.369102,,"179997568, -0.02, -0.05
",
1616711917.372094,,"180000548, 0.00, -0.07
",
1616711917.375086,,"180003484, 0.00, -0.02
",
1616711917.3780794,,"180006424, -0.03, -0.03
",
1616711917.3800735,,"180009404, 0.00, -0.07
",
1616711917.3830657,,"180012352, 0.00, -0.05
",
1616711917.3860583,,"180015300, 0.00, -0.02
",
1616711917.3890495,,"180018248, 0.00, -0.07
",
1616711917.3920414,,"180021188, -0.02, -0.07
",
1616711917.3950338,,"180024160, -0.02, -0.07
",
1616711917.3980253,,"180027136, 0.00, -0.10
",
1616711917.4010165,,"180030084, 0.02, -0.08
",
1616711917.404029,,"180033052, 0.03, -0.05
",
1616711917.4070203,,"180036028, 0.02, -0.10
",
1616711917.4099941,,"180039016, -0.02, 0.00
",
1616711917.412987,,"180041960, -0.03, -0.08
",
1616711917.4159784,,"180044944, -0.02, -0.07
",
1616711917.4189703,,"180047924, -0.02, -0.03
",
1616711917.4219837,,"180050896, -0.02, -0.05
",
1616711917.424954,,"180053868, 0.00, -0.10
",
1616711917.427946,,"180056820, -0.02, -0.08
",
1616711917.430938,,"180059792, 0.00, -0.08
",
1616711917.433931,,"180062740, 0.03, -0.08
",
1616711917.4369218,,"180065720, 0.02, -0.07
",
1616711917.439914,,"180068696, -0.02, -0.07
",
1616711917.4429066,,"180071680, -0.02, -0.08
",
1616711917.4458978,,"180074660, 0.00, -0.05
",
1616711917.4488895,,"180077604, 0.00, -0.12
",
1616711917.4508846,,"180080552, -0.02, -0.08
",
1616711917.453877,,"180083528, 0.00, -0.10
",
1616711917.4578662,,"180086472, -0.02, -0.10
",
1616711917.4598591,,"180089460, 0.00, -0.07
",
1616711917.4628513,,"180092408, -0.03, -0.03
",
1616711917.4658432,,"180095392, 0.00, -0.08
",
1616711917.4688354,,"180098340, 0.00, -0.02
",
1616711917.4718273,,"180101288, -0.02, -0.10
",
1616711917.4748197,,"180104276, 0.00, -0.12
",
1616711917.477812,,"180107224, 0.00, -0.05
",
1616711917.4808044,,"180110164, 0.00, -0.03
",
1616711917.4837954,,"180113104, -0.02, -0.07
",
1616711917.4867876,,"180116088, 0.00, -0.02
",
1616711917.489781,,"180119036, -0.02, -0.05
",
1616711917.492773,,"180122020, -0.03, -0.07
",
1616711917.4957647,,"180125004, 0.02, -0.05
",
1616711917.4987566,,"180127980, -0.03, -0.07
",
1616711917.5017488,,"180130964, -0.03, -0.10
",
1616711917.5047412,,"180133956, 0.02, -0.07
",
1616711917.5077333,,"180136924, 0.00, -0.07
",
1616711917.510725,,"180139868, 0.00, -0.07
",
1616711917.5137148,,"180142808, -0.02, -0.03
",
1616711917.516709,,"180145788, 0.00, -0.08
",
1616711917.5197005,,"180148732, 0.02, -0.02
",
1616711917.5226924,,"180151712, -0.02, -0.05
",
1616711917.5256846,,"180154696, 0.00, -0.10
",
1616711917.5286772,,"180157648, -0.02, -0.08
",
1616711917.5306714,,"180160632, 0.02, -0.07
",
1616711917.5336635,,"180163608, 0.00, 0.00
",
1616711917.536654,,"180166512, -0.05, -0.07
",
1616711917.5396607,,"180169488, -0.02, -0.07
",
1616711917.5426393,,"180172464, 0.00, -0.10
",
1616711917.5456316,,"180175412, 0.00, -0.03
",
1616711917.5486224,,"180178360, -0.02, -0.08
",
1616711917.5516152,,"180181340, -0.02, -0.08
",
1616711917.5546064,,"180184324, -0.02, -0.03
",
1616711917.557598,,"180187308, -0.02, -0.05
",
1616711917.5605905,,"180190292, -0.02, -0.05
",
1616711917.563583,,"180193268, 0.00, -0.03
",
1616711917.5666335,,"180196216, 0.03, -0.05
",
1616711917.569568,,"180199188, 0.00, -0.08
",
1616711917.5725584,,"180202128, 0.00, -0.03
",
1616711917.5755508,,"180205076, -0.02, -0.05
",
1616711917.578543,,"180208060, 0.02, -0.08
",
1616711917.5815346,,"180211036, -0.03, -0.08
",
1616711917.5845265,,"180214024, -0.07, -0.03
",
1616711917.5875282,,"180217008, -0.02, -0.08
",
1616711917.5905323,,"180219992, 0.00, -0.12
",
1616711917.5935159,,"180222940, 0.00, -0.03
",
1616711917.5965097,,"180225884, 0.00, -0.07
",
1616711917.5994864,,"180228820, -0.02, -0.10
",
1616711917.6014807,,"180231808, 0.00, -0.05
",
1616711917.6044726,,"180234752, 0.00, -0.07
",
1616711917.6074648,,"180237700, 0.00, -0.07
",
1616711917.6104562,,"180240644, -0.03, -0.05
",
1616711917.6134486,,"180243624, -0.02, -0.12
",
1616711917.6164403,,"180246612, -0.03, -0.10
",
1616711917.6194324,,"180249592, 0.00, -0.08
",
1616711917.6224244,,"180252540, -0.02, -0.03
",
1616711917.6254165,,"180255512, -0.02, -0.07
",
1616711917.6284087,,"180258492, -0.02, -0.10
",
1616711917.631401,,"180261480, 0.00, -0.07
",
1616711917.6343923,,"180264424, 0.00, -0.10
",
1616711917.6373844,,"180267380, -0.02, -0.08
",
1616711917.6403763,,"180270360, -0.02, -0.08
",
1616711917.6433685,,"180273340, 0.02, -0.07
",
1616711917.646361,,"180276316, 0.02, -0.07
",
1616711917.6493526,,"180279284, 0.02, -0.05
",
1616711917.6523442,,"180282260, 0.02, -0.05
",
1616711917.6553361,,"180285228, 0.00, -0.15
",
1616711917.6583283,,"180288172, 0.00, -0.05
",
1616711917.66132,,"180291108, 0.00, -0.05
",
1616711917.6643128,,"180294052, -0.02, -0.02
",
1616711917.6673045,,"180297036, -0.02, -0.03
",
1616711917.6702967,,"180300016, 0.00, -0.08
",
1616711917.672291,,"180302964, -0.02, -0.07
",
1616711917.675283,,"180305948, 0.00, -0.12
",
1616711917.6782753,,"180308892, -0.02, -0.07
",
1616711917.6812673,,"180311868, -0.03, -0.05
",
1616711917.6842587,,"180314844, 0.00, -0.05
",
1616711917.6872509,,"180317788, -0.03, -0.03
",
1616711917.690243,,"180320772, 0.02, -0.08
",
1616711917.693235,,"180323748, -0.03, -0.02
",
1616711917.6962268,,"180326728, -0.02, -0.07
",
1616711917.6992192,,"180329708, 0.00, -0.05
",
1616711917.702211,,"180332656, 0.03, -0.08
",
1616711917.7052033,,"180335632, -0.02, -0.03
",
1616711917.7081957,,"180338608, -0.03, -0.07
",
1616711917.711187,,"180341580, 0.00, -0.10
",
1616711917.714179,,"180344524, -0.02, -0.05
",
1616711917.717171,,"180347504, 0.02, -0.07
",
1616711917.720163,,"180350484, -0.02, -0.12
",
1616711917.723155,,"180353472, -0.02, -0.02
",
1616711917.7261488,,"180356452, 0.00, -0.07
",
1616711917.7291398,,"180359400, 0.02, -0.07
",
1616711917.7321684,,"180362376, 0.00, -0.07
",
1616711917.7351604,,"180365324, -0.02, -0.08
",
1616711917.7381456,,"180368296, 0.02, -0.07
",
1616711917.7411072,,"180371264, 0.02, -0.03
",
1616711917.7440987,,"180374228, -0.02, -0.03
",
1616711917.7470906,,"180377212, 0.00, -0.07
",
1616711917.7500834,,"180380160, 0.02, -0.07
",
1616711917.753075,,"180383136, -0.02, -0.07
",
1616711917.7560673,,"180386120, -0.02, -0.08
",
1616711917.7580616,,"180389100, 0.00, -0.07
",
1616711917.7610538,,"180392048, 0.02, -0.07
",
1616711917.764047,,"180395024, 0.00, -0.08
",
1616711917.7670374,,"180397964, -0.02, -0.08
",
1616711917.7700295,,"180400940, -0.05, -0.07
",
1616711917.7730215,,"180403912, -0.02, -0.05
",
1616711917.7760143,,"180406896, -0.02, -0.05
",
1616711917.7790062,,"180409876, -0.03, -0.07
",
1616711917.7819982,,"180412860, 0.00, -0.08
",
1616711917.7849894,,"180415804, 0.00, -0.10
",
1616711917.7879822,,"180418760, 0.00, -0.12
",
1616711917.790973,,"180421716, -0.03, -0.03
",
1616711917.7939658,,"180424692, 0.00, -0.10
",
1616711917.7969577,,"180427644, 0.00, -0.10
",
1616711917.79995,,"180430588, 0.02, -0.07
",
1616711917.8029428,,"180433564, 0.07, 0.00
",
1616711917.8059342,,"180436496, 0.00, -0.07
",
1616711917.808926,,"180439440, 0.02, -0.08
",
1616711917.811918,,"180442416, -0.03, -0.03
",
1616711917.8149102,,"180445400, 0.02, -0.10
",
1616711917.8179018,,"180448384, -0.02, -0.07
",
1616711917.8209066,,"180451364, -0.03, -0.03
",
1616711917.8238862,,"180454340, 0.00, -0.07
",
1616711917.8258803,,"180457280, -0.02, -0.02
",
1616711917.8288722,,"180460252, -0.02, -0.02
",
1616711917.831865,,"180463232, 0.00, -0.08
",
1616711917.8348567,,"180466176, -0.05, -0.08
",
1616711917.8378484,,"180469164, 0.00, -0.10
",
1616711917.84084,,"180472116, -0.02, -0.07
",
1616711917.8438325,,"180475100, -0.05, -0.03
",
1616711917.8468242,,"180478080, -0.02, -0.07
",
1616711917.8498163,,"180481064, -0.02, -0.05
",
1616711917.8528082,,"180484036, 0.00, -0.08
",
1616711917.8558004,,"180486972, -0.02, -0.08
",
1616711917.8587923,,"180489944, 0.00, -0.08
",
1616711917.861839,,"180492888, 0.00, -0.08
",
1616711917.8647764,,"180495836, 0.00, -0.07
",
1616711917.8677683,,"180498780, -0.02, -0.10
",
1616711917.8707602,,"180501768, 0.00, -0.05
",
1616711917.8737524,,"180504716, 0.00, -0.02
",
1616711917.8767443,,"180507660, 0.00, -0.07
",
1616711917.8797405,,"180510600, -0.02, -0.07
",
1616711917.882728,,"180513580, 0.00, -0.07
",
1616711917.8857203,,"180516516, 0.02, -0.12
",
1616711917.8887131,,"180519500, -0.03, -0.12
",
1616711917.8917055,,"180522492, 0.00, -0.02
",
1616711917.8946967,,"180525436, 0.02, -0.07
",
1616711917.8966916,,"180528416, -0.02, -0.05
",
1616711917.8996828,,"180531396, -0.02, -0.07
",
1616711917.902675,,"180534376, 0.02, -0.07
",
1616711917.9056668,,"180537356, -0.02, -0.07
",
1616711917.9086592,,"180540332, 0.00, -0.03
",
1616711917.9116511,,"180543268, 0.03, -0.05
",
1616711917.914643,,"180546240, 0.02, -0.10
",
1616711917.9176357,,"180549224, 0.00, -0.07
",
1616711917.9206274,,"180552172, 0.00, -0.07
",
1616711917.9236188,,"180555116, -0.03, -0.03
",
1616711917.9266117,,"180558100, 0.03, -0.10
",
1616711917.9296033,,"180561080, 0.00, -0.05
",
1616711917.932595,,"180564028, 0.00, -0.12
",
1616711917.935587,,"180566972, 0.02, -0.03
",
1616711917.938585,,"180569948, -0.02, -0.03
",
1616711917.9415708,,"180572920, 0.02, -0.07
",
1616711917.9445632,,"180575888, 0.00, -0.05
",
1616711917.9475574,,"180578836, 0.02, -0.10
",
1616711917.950547,,"180581820, -0.02, -0.07
",
1616711917.9535394,,"180584804, -0.02, -0.05
",
1616711917.956531,,"180587780, -0.02, -0.07
",
1616711917.9595506,,"180590760, 0.02, -0.03
",
1616711917.9625146,,"180593736, 0.00, -0.15
",
1616711917.965507,,"180596684, -0.03, -0.03
",
1616711917.9684997,,"180599660, 0.00, -0.03
",
1616711917.971491,,"180602604, -0.05, -0.12
",
1616711917.9734864,,"180605588, -0.02, -0.03
",
1616711917.9764774,,"180608560, 0.00, 0.00
",
1616711917.9794695,,"180611472, -0.03, -0.05
",
1616711917.9824636,,"180614456, 0.00, -0.05
",
1616711917.9854546,,"180617400, 0.00, -0.08
",
1616711917.9884462,,"180620344, 0.02, -0.07
",
1616711917.9914384,,"180623312, -0.02, -0.07
",
1616711917.994431,,"180626284, 0.00, -0.08
",
1616711917.9974222,,"180629228, -0.02, -0.03
",
1616711918.0004141,,"180632200, 0.00, -0.10
",
1616711918.003406,,"180635156, 0.00, -0.10
",
1616711918.006399,,"180638108, -0.03, -0.07
",
1616711918.00939,,"180641092, 0.00, -0.10
",
1616711918.0123835,,"180644044, 0.00, -0.05
",
1616711918.0153742,,"180646988, -0.03, -0.08
",
1616711918.0183666,,"180649964, -0.02, -0.07
",
1616711918.021358,,"180652936, 0.00, -0.12
",
1616711918.0243502,,"180655888, -0.02, -0.05
",
1616711918.0273423,,"180658860, -0.02, -0.08
",
1616711918.0303342,,"180661844, -0.03, -0.08
",
1616711918.0333264,,"180664824, -0.03, -0.13
",
1616711918.036318,,"180667812, -0.05, -0.10
",
1616711918.0393102,,"180670804, 0.00, -0.05
",
1616711918.0423052,,"180673748, -0.02, -0.05
",
1616711918.044297,,"180676732, 0.00, -0.08
",
1616711918.0472891,,"180679668, 0.00, -0.02
",
1616711918.0502815,,"180682616, -0.03, -0.10
",
1616711918.0532727,,"180685596, -0.03, -0.07
",
1616711918.056265,,"180688572, -0.02, -0.07
",
1616711918.0592577,,"180691556, -0.02, -0.05
",
1616711918.0622501,,"180694536, 0.02, -0.03
",
1616711918.065242,,"180697516, -0.02, -0.07
",
1616711918.0682337,,"180700500, 0.00, -0.07
",
1616711918.0712261,,"180703448, 0.02, -0.07
",
1616711918.0742176,,"180706424, 0.03, -0.07
",
1616711918.0772092,,"180709404, 0.00, -0.08
",
1616711918.079814,,"180712344, -0.05, -0.05
",
1616711918.0828075,,"180715320, 0.02, -0.03
",
1616711918.085814,,"180718292, 0.00, -0.10
",
1616711918.0888362,,"180721248, 0.03, -0.05
",
1616711918.0918117,,"180724224, -0.02, -0.07
",
1616711918.0947762,,"180727208, -0.03, -0.05
",
1616711918.0977683,,"180730192, 0.00, -0.08
",
1616711918.1007593,,"180733140, 0.00, -0.05
",
1616711918.1037524,,"180736088, -0.03, -0.10
",
1616711918.106772,,"180739068, 0.02, -0.05
",
1616711918.1097362,,"180742044, 0.02, -0.03
",
1616711918.112758,,"180745012, 0.02, -0.08
",
1616711918.1157193,,"180747988, 0.00, -0.05
",
1616711918.1187112,,"180750936, 0.02, -0.02
",
1616711918.1217039,,"180753912, -0.02, -0.05
",
1616711918.1246963,,"180756896, 0.00, -0.03
",
1616711918.127688,,"180759840, -0.02, -0.05
",
1616711918.1306798,,"180762824, 0.00, -0.03
",
1616711918.1336715,,"180765772, 0.00, -0.03
",
1616711918.1366642,,"180768708, -0.05, -0.07
",
1616711918.1396554,,"180771684, 0.00, -0.08
",
1616711918.1426473,,"180774624, 0.02, -0.07
",
1616711918.14564,,"180777600, -0.03, -0.03
",
1616711918.1476345,,"180780576, 0.02, -0.05
",
1616711918.1506264,,"180783552, 0.00, -0.08
",
1616711918.1536186,,"180786500, -0.03, -0.03
",
1616711918.1566103,,"180789484, 0.00, -0.07
",
1616711918.159602,,"180792432, 0.00, -0.03
",
1616711918.1625943,,"180795368, -0.02, -0.07
",
1616711918.1655877,,"180798344, 0.00, -0.03
",
1616711918.1685798,,"180801288, -0.02, -0.03
",
1616711918.1715715,,"180804260, -0.02, -0.10
",
1616711918.1745634,,"180807248, 0.00, -0.08
",
1616711918.1775548,,"180810196, -0.02, -0.03
",
1616711918.1805587,,"180813180, 0.00, -0.05
",
1616711918.1835392,,"180816124, 0.00, -0.07
",
1616711918.186531,,"180819068, -0.03, 0.00
",
1616711918.1895232,,"180822004, 0.02, -0.05
",
1616711918.1925151,,"180824984, -0.03, 0.00
",
1616711918.1955073,,"180827920, -0.02, -0.08
",
1616711918.1984994,,"180830896, -0.02, -0.03
",
1616711918.201491,,"180833876, 0.00, -0.07
",
1616711918.204483,,"180836824, 0.02, -0.10
",
1616711918.2074745,,"180839808, 0.00, -0.08
",
1616711918.21048,,"180842752, 0.03, -0.03
",
1616711918.213459,,"180845732, -0.02, -0.02
",
1616711918.2164571,,"180848712, -0.02, -0.02
",
1616711918.2184465,,"180851688, -0.05, -0.03
",
1616711918.221439,,"180854660, -0.02, -0.05
",
1616711918.2244303,,"180857632, -0.02, -0.07
",
1616711918.2274225,,"180860608, 0.00, -0.13
",
1616711918.230418,,"180863564, -0.03, -0.08
",
1616711918.2334065,,"180866548, -0.03, -0.05
",
1616711918.2363982,,"180869528, -0.02, -0.07
",
1616711918.2393906,,"180872508, -0.03, -0.08
",
1616711918.2423823,,"180875492, 0.00, -0.05
",
1616711918.2453747,,"180878436, 0.02, -0.07
",
1616711918.2483668,,"180881404, 0.00, -0.03
",
1616711918.2513587,,"180884348, 0.00, -0.03
",
1616711918.254351,,"180887288, -0.02, -0.07
",
