Time,Tag,Flow,EIT
1616712939.7784355,,"14968672, -0.03, -0.03
",
1616712939.781422,,"14971600, 0.02, -0.07
",
1616712939.7843866,,"14974524, -0.03, -0.08
",
1616712939.787402,,"14977460, -0.05, -0.07
",
1616712939.790394,,"14980400, -0.02, -0.02
",
1616712939.7933683,,"14983336, 0.00, -0.07
",
1616712939.7963533,,"14986232, -0.02, -0.02
",
1616712939.799346,,"14989168, -0.02, -0.05
",
1616712939.8023376,,"14992096, 0.00, -0.13
",
1616712939.80533,,"14994992, -0.02, -0.02
",
1616712939.8073308,,"14997928, 0.00, -0.07
",
1616712939.8103163,,"15000828, -0.02, -0.10
",
1616712939.8133368,,"15003768, -0.02, -0.05
",
1616712939.8163276,,"15006700, 0.00, -0.05
",
1616712939.8193202,,"15009604, 0.00, -0.05
",
1616712939.822308,,"15012500, -0.03, -0.02
",
1616712939.8252766,,"15015436, -0.03, -0.07
",
1616712939.8282678,,"15018372, -0.03, -0.08
",
1616712939.83126,,"15021312, -0.02, -0.07
",
1616712939.8342519,,"15024252, -0.03, -0.02
",
1616712939.8372438,,"15027180, -0.02, -0.05
",
1616712939.8392386,,"15030120, 0.00, -0.07
",
1616712939.8422308,,"15033016, -0.03, -0.03
",
1616712939.8452091,,"15035944, -0.03, -0.03
",
1616712939.8482027,,"15038884, -0.05, -0.05
",
1616712939.8511953,,"15041824, 0.00, -0.12
",
1616712939.8541868,,"15044736, -0.02, -0.07
",
1616712939.857179,,"15047664, 0.00, -0.07
",
1616712939.8601708,,"15050568, -0.02, -0.03
",
1616712939.8631632,,"15053500, 0.00, -0.07
",
1616712939.8661547,,"15056392, -0.02, -0.10
",
1616712939.8691845,,"15059340, -0.02, -0.02
",
1616712939.872167,,"15062276, -0.02, -0.05
",
1616712939.8741643,,"15065216, 0.00, -0.05
",
1616712939.8771276,,"15068108, 0.00, -0.03
",
1616712939.8801198,,"15071004, 0.00, -0.05
",
1616712939.8831115,,"15073904, 0.00, -0.02
",
1616712939.8861034,,"15076804, -0.02, -0.03
",
1616712939.8890953,,"15079740, -0.02, -0.05
",
1616712939.892095,,"15082680, -0.02, -0.03
",
1616712939.8950794,,"15085616, -0.02, -0.07
",
1616712939.898071,,"15088544, -0.02, -0.07
",
1616712939.898874,,"15091480, -0.02, -0.02
",
1616712939.898874,,"15094416, -0.02, -0.05
",
1616712939.898874,,"15097352, -0.02, -0.08
",
1616712939.9088752,,"15100292, 0.00, -0.02
",
1616712939.9088752,,"15103192, -0.05, -0.08
",
1616712939.9088752,,"15106136, 0.00, -0.07
",
1616712939.9088752,,"15109028, 0.00, -0.10
",
1616712939.918874,,"15111932, -0.02, -0.07
",
1616712939.918874,,"15114872, 0.00, -0.03
",
1616712939.918874,,"15117772, -0.02, -0.05
",
1616712939.928874,,"15120712, 0.02, -0.05
",
1616712939.928874,,"15123644, 0.02, -0.07
",
1616712939.928874,,"15126576, -0.02, -0.03
",
1616712939.9388745,,"15129504, -0.03, -0.03
",
1616712939.9412067,,"15132444, 0.02, -0.05
",
1616712939.9442298,,"15135372, 0.00, 0.00
",
1616712939.9472225,,"15138236, -0.03, -0.02
",
1616712939.9502134,,"15141176, 0.02, -0.03
",
1616712939.9532106,,"15144108, -0.05, -0.02
",
