Time,Tag,Flow,EIT
1616978113.5690718,,"109526688, -0.07, -0.05
",
1616978113.5710623,,"109529084, -0.05, -0.02
",
1616978113.5740545,,"109531488, -0.05, 0.00
",
1616978113.5760767,,"109533852, -0.05, -0.03
",
1616978113.5790708,,"109536248, -0.05, -0.05
",
1616978113.5810657,,"109538656, -0.05, -0.02
",
1616978113.5830615,,"109541052, -0.05, 0.02
",
1616978113.5860507,,"109543452, -0.02, 0.00
",
1616978113.5880485,,"109545812, -0.03, 0.03
",
1616978113.591011,,"109548208, -0.02, 0.03
",
1616978113.5930326,,"109550608, -0.05, 0.00
",
1616978113.595028,,"109552968, -0.07, -0.05
",
1616978113.5980196,,"109555368, -0.03, -0.02
",
1616978113.600015,,"109557772, -0.03, -0.03
",
1616978113.6030025,,"109560168, -0.05, -0.05
",
1616978113.6050024,,"109562568, -0.08, -0.02
",
1616978113.6069987,,"109564972, -0.05, -0.02
",
1616978113.6099892,,"109567372, -0.08, -0.02
",
1616978113.6119838,,"109569772, -0.05, 0.02
",
1616978113.6139784,,"109572168, -0.07, -0.07
",
1616978113.616976,,"109574568, -0.02, -0.02
",
1616978113.6189654,,"109576960, -0.07, 0.02
",
1616978113.6219287,,"109579360, -0.03, -0.03
",
1616978113.6239233,,"109581756, -0.03, -0.03
",
1616978113.6259177,,"109584156, -0.03, 0.00
",
1616978113.6289098,,"109586524, -0.03, 0.05
",
1616978113.6309047,,"109588916, 0.00, 0.02
",
1616978113.6339126,,"109591272, -0.03, 0.00
",
1616978113.6358917,,"109593644, -0.02, 0.00
",
1616978113.6378865,,"109596004, -0.02, -0.02
",
1616978113.640879,,"109598400, -0.05, -0.03
",
1616978113.6428735,,"109600808, -0.02, -0.03
",
1616978113.6458657,,"109603200, -0.05, -0.05
",
1616978113.6478603,,"109605600, -0.02, 0.02
",
1616978113.649855,,"109607996, -0.05, -0.05
",
1616978113.6528475,,"109610396, -0.05, -0.02
",
1616978113.6548426,,"109612792, -0.03, -0.03
",
1616978113.6568365,,"109615200, -0.07, -0.05
",
1616978113.6598299,,"109617596, -0.02, -0.02
",
1616978113.6618235,,"109619992, -0.07, -0.02
",
1616978113.664816,,"109622396, -0.03, -0.03
",
1616978113.6668117,,"109624796, -0.03, -0.05
",
1616978113.6698132,,"109627192, -0.03, -0.08
",
1616978113.671798,,"109629600, -0.07, -0.03
",
1616978113.6737928,,"109631996, -0.02, 0.00
",
1616978113.6767852,,"109634356, -0.03, 0.00
",
1616978113.6787796,,"109636728, -0.05, -0.02
",
1616978113.6807745,,"109639124, -0.02, -0.02
",
1616978113.6837668,,"109641520, -0.02, -0.03
",
1616978113.685761,,"109643924, -0.07, 0.00
",
1616978113.6887534,,"109646288, -0.08, -0.08
",
1616978113.6907482,,"109648684, -0.05, 0.00
",
1616978113.6927428,,"109651052, -0.03, -0.02
",
1616978113.6957345,,"109653452, -0.05, -0.12
",
1616978113.6977298,,"109655856, -0.02, -0.02
",
1616978113.700722,,"109658260, -0.07, -0.05
",
1616978113.7027164,,"109660660, -0.03, 0.03
",
1616978113.7047114,,"109663052, -0.07, -0.02
",
1616978113.7077034,,"109665456, -0.07, -0.05
",
1616978113.7096982,,"109667856, -0.05, 0.02
",
1616978113.7116928,,"109670244, -0.07, -0.08
",
1616978113.7146854,,"109672652, -0.05, 0.02
",
1616978113.7166803,,"109675036, -0.07, 0.02
",
1616978113.7196722,,"109677428, -0.03, -0.03
",
1616978113.721667,,"109679836, -0.07, -0.03
",
1616978113.723663,,"109682224, -0.05, 0.00
",
1616978113.7266543,,"109684588, -0.03, -0.02
",
1616978113.728649,,"109686992, -0.02, -0.08
",
1616978113.7316406,,"109689380, -0.07, -0.02
",
1616978113.733636,,"109691776, -0.07, 0.00
",
1616978113.7356308,,"109694148, -0.05, -0.03
",
1616978113.7386227,,"109696536, 0.00, -0.03
",
1616978113.740617,,"109698896, -0.02, 0.00
",
1616978113.7426121,,"109701268, -0.02, 0.00
",
1616978113.7456038,,"109703628, -0.07, 0.02
",
1616978113.747599,,"109706020, -0.07, 0.00
",
1616978113.7505915,,"109708392, -0.05, -0.03
",
1616978113.7525923,,"109710788, -0.05, -0.03
",
1616978113.7545807,,"109713188, -0.03, 0.03
",
1616978113.7575731,,"109715588, -0.02, 0.00
",
1616978113.7595673,,"109717952, -0.07, -0.05
",
1616978113.7625647,,"109720348, -0.03, -0.02
",
1616978113.7645545,,"109722752, -0.03, -0.03
",
1616978113.766549,,"109725152, -0.07, -0.03
",
1616978113.7695417,,"109727548, -0.07, -0.05
",
1616978113.7715364,,"109729956, -0.07, -0.05
",
1616978113.7745287,,"109732352, -0.02, -0.02
",
1616978113.7765305,,"109734748, -0.03, 0.00
",
1616978113.7785184,,"109737120, -0.03, -0.05
",
1616978113.7815104,,"109739516, -0.05, -0.05
",
1616978113.7835047,,"109741916, -0.05, -0.02
",
1616978113.7864974,,"109744324, -0.03, -0.05
",
1616978113.788492,,"109746712, -0.05, -0.08
",
1616978113.7904868,,"109749112, -0.07, 0.00
",
1616978113.7934785,,"109751484, -0.05, 0.00
",
1616978113.7954733,,"109753848, -0.07, -0.02
",
1616978113.7974682,,"109756244, -0.05, -0.02
",
1616978113.8004603,,"109758652, -0.02, -0.03
",
1616978113.8024566,,"109761048, -0.03, -0.03
",
1616978113.8054478,,"109763448, -0.05, -0.05
",
1616978113.8074422,,"109765852, -0.03, -0.03
",
1616978113.8094375,,"109768240, -0.07, -0.10
",
1616978113.8124287,,"109770644, 0.00, -0.03
",
1616978113.814424,,"109773016, -0.08, -0.05
",
1616978113.8174162,,"109775404, -0.05, -0.02
",
1616978113.8194115,,"109777796, -0.05, -0.02
",
1616978113.8214061,,"109780200, 0.00, 0.05
",
1616978113.8243983,,"109782548, -0.05, -0.02
",
1616978113.8263931,,"109784944, 0.00, -0.03
",
1616978113.8283873,,"109787312, -0.03, 0.02
",
1616978113.83138,,"109789704, -0.02, -0.03
",
1616978113.8333743,,"109792100, -0.02, -0.07
",
1616978113.8363664,,"109794504, -0.05, -0.03
",
1616978113.8383615,,"109796892, -0.02, -0.05
",
1616978113.840356,,"109799288, -0.02, -0.05
",
1616978113.8433485,,"109801692, -0.05, -0.05
",
1616978113.845343,,"109804080, -0.05, -0.02
",
1616978113.8483353,,"109806476, -0.05, 0.00
",
1616978113.8503306,,"109808848, -0.03, 0.02
",
1616978113.8523247,,"109811228, -0.03, 0.02
",
1616978113.8553169,,"109813620, -0.02, -0.05
",
1616978113.8573117,,"109816024, -0.03, -0.03
",
1616978113.8603039,,"109818412, -0.07, -0.02
",
1616978113.8622987,,"109820808, -0.05, -0.05
",
1616978113.8642936,,"109823216, -0.05, -0.05
",
1616978113.8672855,,"109825616, -0.02, -0.02
",
1616978113.8692803,,"109828008, -0.05, -0.03
",
1616978113.8722727,,"109830416, -0.08, -0.05
",
1616978113.8742673,,"109832812, 0.00, -0.02
",
1616978113.876262,,"109835172, -0.05, -0.07
",
1616978113.8792543,,"109837576, -0.03, 0.00
",
1616978113.881249,,"109839940, -0.03, -0.05
",
1616978113.8842409,,"109842336, -0.05, -0.05
",
1616978113.886236,,"109844744, -0.02, 0.00
",
1616978113.8882308,,"109847104, -0.05, -0.05
",
1616978113.891223,,"109849504, -0.03, 0.03
",
1616978113.8932247,,"109851904, -0.05, 0.00
",
1616978113.8952127,,"109854256, -0.03, 0.02
",
1616978113.8982046,,"109856652, -0.02, 0.00
",
1616978113.9001997,,"109859020, -0.03, -0.02
",
1616978113.9031918,,"109861404, -0.03, -0.08
",
1616978113.905187,,"109863804, -0.03, -0.02
",
1616978113.9071946,,"109866208, -0.03, -0.05
",
1616978113.9101734,,"109868596, -0.05, -0.02
",
1616978113.9121683,,"109870996, -0.03, -0.05
",
1616978113.9151604,,"109873400, -0.05, 0.03
",
1616978113.9171548,,"109875796, -0.05, -0.05
",
1616978113.91915,,"109878192, -0.05, -0.05
",
1616978113.922142,,"109880600, -0.02, -0.05
",
1616978113.9241366,,"109882996, -0.03, -0.05
",
1616978113.9261315,,"109885392, -0.05, 0.02
",
1616978113.9291239,,"109887792, -0.03, -0.03
",
1616978113.931119,,"109890192, -0.03, -0.03
",
1616978113.9341106,,"109892588, -0.05, -0.07
",
1616978113.9361055,,"109894996, -0.05, -0.10
",
1616978113.9381003,,"109897400, -0.02, -0.07
",
1616978113.941092,,"109899804, -0.05, -0.03
",
1616978113.9430866,,"109902204, -0.05, -0.02
",
1616978113.9460793,,"109904600, -0.02, -0.03
",
1616978113.948074,,"109907004, -0.02, 0.02
",
1616978113.9500692,,"109909396, 0.00, 0.02
",
1616978113.9530609,,"109911756, -0.07, -0.03
",
1616978113.9550562,,"109914164, -0.03, -0.02
",
1616978113.9580574,,"109916560, -0.03, -0.07
",
1616978113.9600425,,"109918960, 0.00, 0.00
",
1616978113.962037,,"109921292, -0.02, -0.03
",
1616978113.9650295,,"109923688, 0.00, 0.00
",
1616978113.967024,,"109926016, -0.02, -0.07
",
1616978113.9690192,,"109928416, -0.02, 0.00
",
1616978113.972011,,"109930784, -0.02, -0.02
",
1616978113.9740062,,"109933180, -0.03, -0.03
",
1616978113.9769979,,"109935576, -0.07, -0.07
",
1616978113.9789925,,"109937980, -0.03, 0.00
",
1616978113.980989,,"109940340, -0.02, -0.02
",
1616978113.98398,,"109942732, -0.02, -0.03
",
1616978113.9859798,,"109945136, -0.02, 0.00
",
1616978113.9889677,,"109947496, -0.02, -0.07
",
1616978113.990961,,"109949892, -0.02, -0.08
",
1616978113.992957,,"109952300, -0.03, -0.02
",
1616978113.9959486,,"109954696, -0.02, 0.02
",
1616978113.9979427,,"109957088, -0.03, 0.00
",
1616978113.9999375,,"109959456, -0.05, -0.03
",
1616978114.00293,,"109961856, -0.07, -0.03
",
1616978114.004925,,"109964252, -0.03, -0.03
",
1616978114.0079167,,"109966660, -0.03, -0.03
",
1616978114.009912,,"109969060, -0.05, -0.02
",
1616978114.0119066,,"109971464, -0.05, -0.03
",
1616978114.0148985,,"109973864, -0.03, -0.02
",
1616978114.0168936,,"109976260, -0.05, 0.02
",
1616978114.0198858,,"109978660, -0.02, -0.05
",
1616978114.0218806,,"109981056, -0.03, -0.02
",
1616978114.0238752,,"109983456, -0.03, 0.00
",
1616978114.0268686,,"109985824, 0.02, -0.02
",
1616978114.0288913,,"109988216, -0.02, -0.03
",
1616978114.031878,,"109990612, -0.02, 0.00
",
1616978114.0338776,,"109992980, -0.03, 0.00
",
1616978114.0358725,,"109995344, -0.08, 0.00
",
1616978114.0388641,,"109997704, -0.05, 0.00
",
1616978114.0408628,,"110000068, -0.02, -0.02
",
1616978114.0428565,,"110002472, -0.05, -0.03
",
1616978114.0458455,,"110004872, -0.02, 0.00
",
1616978114.047841,,"110007232, -0.02, -0.05
",
1616978114.0508327,,"110009636, -0.07, 0.00
",
1616978114.0528283,,"110012000, -0.02, -0.02
",
1616978114.0548232,,"110014396, -0.05, -0.07
",
1616978114.0578148,,"110016804, -0.02, -0.02
",
1616978114.0598142,,"110019200, -0.03, -0.07
",
1616978114.0627987,,"110021596, -0.05, -0.03
",
1616978114.0648024,,"110024004, -0.08, 0.00
",
1616978114.0667984,,"110026368, -0.05, -0.03
",
1616978114.069788,,"110028764, -0.05, 0.00
",
1616978114.0721014,,"110031136, -0.03, -0.05
",
1616978114.0737739,,"110033536, -0.03, -0.02
",
1616978114.0767689,,"110035932, 0.00, -0.10
",
1616978114.078732,,"110038312, -0.05, -0.03
",
1616978114.0817554,,"110040712, -0.07, 0.03
",
1616978114.0837505,,"110043104, -0.05, 0.00
",
1616978114.0857463,,"110045476, -0.03, -0.02
",
1616978114.088738,,"110047872, -0.05, -0.02
",
1616978114.0907283,,"110050272, -0.07, -0.03
",
1616978114.0937228,,"110052680, -0.02, -0.05
",
1616978114.0957155,,"110055076, -0.05, -0.07
",
1616978114.0977118,,"110057484, -0.03, -0.03
",
1616978114.1007028,,"110059880, -0.05, -0.05
",
