Time,Tag,Flow,EIT
1616978757.006693,,"755366752, -0.05, -0.02
",
1616978757.0096722,,"755369156, -0.03, -0.03
",
1616978757.0116584,,"755371544, -0.05, -0.02
",
1616978757.0136545,,"755373944, -0.07, -0.03
",
1616978757.0166485,,"755376352, -0.07, 0.00
",
1616978757.018641,,"755378708, -0.05, -0.02
",
1616978757.0216327,,"755381104, -0.05, -0.02
",
1616978757.0236275,,"755383512, 0.00, -0.02
",
1616978757.0256221,,"755385876, -0.07, -0.07
",
1616978757.028615,,"755388272, -0.07, -0.03
",
1616978757.0306096,,"755390680, -0.03, 0.00
",
1616978757.032604,,"755393044, -0.03, -0.03
",
1616978757.0355961,,"755395444, -0.05, 0.00
",
1616978757.0375907,,"755397816, -0.05, 0.00
",
1616978757.0405834,,"755400176, -0.05, -0.02
",
1616978757.0425792,,"755402576, -0.08, -0.02
",
1616978757.0445735,,"755404980, -0.07, -0.02
",
1616978757.047566,,"755407376, -0.05, -0.03
",
1616978757.0495596,,"755409776, -0.05, 0.00
",
1616978757.0525522,,"755412148, -0.03, -0.07
",
1616978757.0545466,,"755414548, -0.05, 0.02
",
1616978757.0565414,,"755416940, -0.03, -0.03
",
1616978757.0595613,,"755419348, -0.03, 0.02
",
1616978757.061561,,"755421732, 0.02, 0.02
",
1616978757.0645316,,"755424120, -0.03, -0.02
",
1616978757.0665152,,"755426528, -0.05, 0.02
",
1616978757.0685103,,"755428912, -0.03, -0.03
",
1616978757.0715017,,"755431312, -0.05, -0.03
",
1616978757.0734966,,"755433720, -0.03, 0.00
",
1616978757.0754917,,"755436072, -0.03, -0.02
",
1616978757.0784833,,"755438472, -0.08, 0.02
",
1616978757.0804787,,"755440872, -0.03, -0.02
",
1616978757.0834713,,"755443260, -0.05, -0.02
",
1616978757.0854652,,"755445660, 0.00, -0.08
",
1616978757.0874944,,"755448032, -0.03, -0.03
",
1616978757.0904844,,"755450420, -0.08, 0.00
",
1616978757.0924792,,"755452784, -0.05, 0.00
",
1616978757.095438,,"755455156, -0.07, 0.02
",
1616978757.0974555,,"755457552, -0.05, 0.02
",
1616978757.0994499,,"755459944, 0.00, 0.02
",
1616978757.1024432,,"755462308, -0.03, -0.05
",
1616978757.1044376,,"755464708, -0.03, 0.00
",
1616978757.106432,,"755467068, -0.05, -0.03
",
1616978757.1094248,,"755469476, -0.05, -0.02
",
1616978757.1114185,,"755471876, -0.02, 0.02
",
1616978757.1144166,,"755474268, -0.03, -0.03
",
1616978757.116412,,"755476676, -0.07, 0.00
",
1616978757.1184027,,"755479036, -0.03, -0.05
",
1616978757.1213696,,"755481436, -0.02, 0.00
",
1616978757.1233888,,"755483808, -0.03, -0.02
",
1616978757.1253889,,"755486208, -0.03, 0.00
",
1616978757.1283998,,"755488572, -0.05, 0.02
",
1616978757.1303465,,"755490972, -0.03, 0.00
",
1616978757.1333387,,"755493336, -0.03, -0.05
",
1616978757.1353333,,"755495736, 0.00, -0.07
",
1616978757.1373281,,"755498108, -0.07, 0.02
",
1616978757.1403203,,"755500500, -0.05, -0.07
",
1616978757.1423159,,"755502904, -0.05, -0.07
",
1616978757.145308,,"755505312, -0.03, 0.00
",
1616978757.1473308,,"755507676, -0.05, 0.00
",
1616978757.1492975,,"755510040, -0.03, -0.03
",
1616978757.1523106,,"755512448, -0.05, 0.00
",
1616978757.1543036,,"755514812, -0.05, -0.05
",
1616978757.1562982,,"755517212, -0.07, -0.03
",
1616978757.1592896,,"755519620, -0.07, -0.02
",
1616978757.161285,,"755522020, -0.03, -0.02
",
1616978757.1642578,,"755524416, -0.03, -0.03
",
1616978757.1662529,,"755526824, -0.03, 0.00
",
1616978757.1682482,,"755529188, -0.05, 0.00
",
1616978757.1712394,,"755531548, -0.03, -0.03
",
1616978757.1732342,,"755533956, -0.05, -0.03
",
1616978757.1762264,,"755536356, -0.03, -0.03
",
1616978757.178221,,"755538756, -0.02, -0.05
",
1616978757.180216,,"755541160, -0.02, 0.00
",
1616978757.183208,,"755543520, -0.05, -0.03
",
1616978757.1852033,,"755545920, -0.03, 0.03
",
1616978757.1881948,,"755548320, -0.07, -0.05
",
1616978757.19019,,"755550720, -0.03, 0.02
",
1616978757.1921847,,"755553112, 0.02, -0.02
",
1616978757.1951761,,"755555516, -0.02, -0.05
",
1616978757.1971717,,"755557916, -0.02, -0.05
",
1616978757.2001636,,"755560316, -0.05, 0.00
",
1616978757.202159,,"755562688, 0.02, -0.02
",
1616978757.204153,,"755565072, -0.03, -0.03
",
1616978757.2071452,,"755567472, -0.05, 0.03
",
1616978757.2091417,,"755569872, -0.05, -0.07
",
1616978757.2111347,,"755572264, -0.08, -0.03
",
1616978757.214127,,"755574664, -0.05, 0.00
",
1616978757.2161217,,"755577036, -0.05, 0.00
",
1616978757.2191136,,"755579400, -0.05, 0.00
",
1616978757.2211082,,"755581764, -0.05, 0.03
",
1616978757.2231154,,"755584168, -0.08, 0.03
",
1616978757.2260952,,"755586564, -0.05, -0.02
",
1616978757.2280898,,"755588960, -0.02, 0.00
",
1616978757.2300851,,"755591332, -0.08, 0.00
",
1616978757.2330768,,"755593696, -0.03, -0.03
",
1616978757.2350714,,"755596096, -0.05, -0.03
",
1616978757.2380638,,"755598504, -0.07, 0.02
",
1616978757.240059,,"755600896, -0.05, 0.00
",
1616978757.2420533,,"755603260, -0.02, -0.03
",
1616978757.245077,,"755605664, -0.03, -0.03
",
1616978757.2470427,,"755608064, -0.05, -0.02
",
1616978757.2500603,,"755610460, -0.07, -0.05
",
1616978757.2520554,,"755612868, -0.05, -0.03
",
1616978757.254051,,"755615256, -0.07, -0.03
",
1616978757.257043,,"755617656, -0.07, 0.02
",
1616978757.2590375,,"755620056, -0.08, -0.05
",
1616978757.2620327,,"755622448, -0.05, -0.05
",
1616978757.2640283,,"755624844, -0.05, -0.02
",
1616978757.2660208,,"755627252, -0.05, 0.00
",
1616978757.269011,,"755629608, -0.03, -0.02
",
1616978757.2710085,,"755632004, -0.05, 0.00
",
1616978757.2739694,,"755634376, -0.05, -0.02
",
