Time,Tag,Flow,EIT
1617051735.14207,,"9386968, 0.00, -0.05, 25.04, 26.75
",
1617051735.1450622,,"9389892, 0.02, -0.07, 25.04, 26.75
",
1617051735.1480563,,"9392844, -0.02, -0.05, 25.01, 26.75
",
1617051735.1510482,,"9395812, 0.02, -0.02, 25.01, 26.87
",
1617051735.1540406,,"9398764, 0.00, -0.05, 25.01, 26.87
",
1617051735.1570323,,"9401688, 0.02, -0.03, 25.01, 26.87
",
1617051735.1600251,,"9404640, -0.02, -0.03, 25.01, 26.72
",
1617051735.163017,,"9407612, -0.02, -0.03, 25.01, 26.72
",
1617051735.1660085,,"9410584, 0.00, -0.05, 25.03, 26.72
",
1617051735.1690016,,"9413500, 0.02, -0.05, 25.03, 26.89
",
1617051735.171993,,"9416456, 0.02, -0.02, 25.03, 26.89
",
1617051735.1749847,,"9419408, 0.00, -0.03, 25.03, 26.89
",
1617051735.1779768,,"9422332, -0.03, -0.07, 25.03, 26.78
",
1617051735.1809695,,"9425300, -0.03, -0.02, 25.03, 26.78
",
1617051735.183961,,"9428268, -0.02, -0.05, 25.02, 26.78
",
1617051735.1869524,,"9431228, -0.03, -0.05, 25.02, 26.81
",
1617051735.1889477,,"9434200, 0.00, -0.05, 25.02, 26.81
",
1617051735.1919699,,"9437116, 0.00, -0.05, 25.04, 26.81
",
1617051735.1949613,,"9440044, -0.02, -0.07, 25.04, 26.88
",
1617051735.1979532,,"9443008, 0.00, -0.05, 25.04, 26.88
",
1617051735.2009425,,"9445928, -0.03, -0.03, 25.05, 26.88
",
1617051735.203936,,"9448896, 0.00, -0.05, 25.05, 26.82
",
1617051735.2069216,,"9451820, -0.03, -0.05, 25.05, 26.82
",
1617051735.2099133,,"9454784, -0.03, 0.00, 25.00, 26.82
",
1617051735.2129085,,"9457716, 0.00, -0.02, 25.00, 26.81
",
1617051735.2159011,,"9460632, -0.02, -0.02, 25.00, 26.81
",
1617051735.2188916,,"9463600, -0.03, -0.02, 25.03, 26.81
",
1617051735.2218897,,"9466568, 0.00, -0.03, 25.03, 26.83
",
1617051735.2248769,,"9469496, -0.02, -0.05, 25.03, 26.83
",
1617051735.2278714,,"9472464, 0.02, -0.05, 25.03, 26.83
",
1617051735.2308655,,"9475420, 0.00, -0.02, 25.03, 26.75
",
1617051735.233855,,"9478344, 0.02, -0.07, 25.03, 26.75
",
1617051735.2368512,,"9481296, -0.03, -0.05, 24.98, 26.75
",
1617051735.239813,,"9484264, -0.03, -0.03, 24.98, 26.83
",
1617051735.2418363,,"9487236, -0.03, -0.03, 24.98, 26.83
",
1617051735.2448256,,"9490208, 0.00, 0.00, 25.05, 26.83
",
1617051735.2478182,,"9493096, 0.00, -0.08, 25.05, 26.78
",
1617051735.2508109,,"9496016, -0.02, -0.03, 25.05, 26.78
",
1617051735.2538023,,"9498984, -0.03, -0.05, 25.06, 26.78
",
1617051735.2567656,,"9501952, 0.02, -0.03, 25.06, 26.87
",
1617051735.2597868,,"9504908, -0.03, -0.02, 25.06, 26.87
",
1617051735.2623405,,"9507876, -0.03, -0.05, 25.04, 26.87
",
1617051735.2623405,,"9510836, 0.02, -0.03, 25.04, 26.81
",
1617051735.2623405,,"9513792, -0.02, -0.03, 25.04, 26.81
",
1617051735.2623405,,"9516760, -0.02, -0.05, 25.01, 26.81
",
1617051735.2749445,,"9519732, 0.02, -0.02, 25.01, 26.81
",
1617051735.2779336,,"9522688, 0.00, -0.07, 25.01, 26.81
",
1617051735.2809267,,"9525616, -0.02, -0.02, 25.01, 26.80
",
1617051735.2839167,,"9528584, 0.00, -0.03, 25.01, 26.80
",
1617051735.2869172,,"9531508, 0.00, -0.05, 25.01, 26.80
",
1617051735.2889051,,"9534424, 0.00, -0.05, 25.01, 26.85
",
1617051735.2918966,,"9537348, 0.03, -0.03, 25.01, 26.85
",
1617051735.2948923,,"9540304, 0.02, -0.03, 25.01, 26.85
",
1617051735.2978535,,"9543260, -0.02, -0.03, 25.04, 26.96
",
1617051735.3008454,,"9546228, -0.02, -0.03, 25.04, 26.96
",
1617051735.302904,,"9549196, 0.02, -0.03, 25.04, 26.96
",
1617051735.302904,,"9552148, 0.00, -0.07, 25.01, 26.92
",
1617051735.302904,,"9555076, -0.05, -0.03, 25.01, 26.92
",
1617051735.312906,,"9558048, -0.02, -0.05, 25.01, 26.92
",
1617051735.312906,,"9561008, -0.05, -0.05, 25.01, 26.76
",
1617051735.312906,,"9563980, -0.03, -0.07, 25.01, 26.76
",
1617051735.312906,,"9566952, 0.00, -0.02, 25.01, 26.76
",
1617051735.3229175,,"9569880, -0.03, -0.03, 25.05, 26.80
",
1617051735.3229175,,"9572848, -0.02, -0.03, 25.05, 26.80
",
1617051735.3229175,,"9575812, -0.03, 0.00, 25.05, 26.80
",
1617051735.3329065,,"9578744, 0.00, -0.02, 25.03, 26.76
",
1617051735.3329065,,"9581672, -0.02, -0.08, 25.03, 26.76
",
1617051735.3329065,,"9584632, 0.00, -0.07, 25.03, 26.76
",
1617051735.3329065,,"9587560, -0.05, -0.03, 25.02, 26.95
",
1617051735.3441393,,"9590528, 0.00, -0.02, 25.02, 26.95
",
1617051735.3441393,,"9593452, -0.02, -0.05, 25.02, 26.95
",
1617051735.3441393,,"9596424, -0.03, -0.03, 25.02, 26.81
",
1617051735.354169,,"9599396, -0.02, -0.03, 25.02, 26.81
",
1617051735.354169,,"9602368, -0.02, -0.03, 25.02, 26.81
",
1617051735.354169,,"9605336, -0.02, -0.03, 24.98, 26.84
",
1617051735.3621778,,"9608308, 0.02, -0.03, 24.98, 26.84
",
1617051735.3621778,,"9611256, 0.02, -0.05, 24.98, 26.84
",
1617051735.3621778,,"9614212, -0.03, -0.02, 25.02, 26.84
",
1617051735.3722863,,"9617176, 0.00, -0.08, 25.02, 26.84
",
1617051735.3733215,,"9620100, 0.00, 0.00, 25.02, 26.84
",
1617051735.3733215,,"9622988, -0.02, -0.07, 24.98, 26.67
",
1617051735.3733215,,"9625960, -0.02, -0.03, 24.98, 26.67
",
1617051735.3833284,,"9628932, -0.02, -0.05, 24.98, 26.67
",
1617051735.3833284,,"9631892, -0.05, -0.07, 25.00, 26.88
",
1617051735.3833284,,"9634860, -0.03, -0.07, 25.00, 26.88
",
1617051735.3833284,,"9637816, -0.03, -0.07, 25.00, 26.88
",
1617051735.3933277,,"9640780, -0.02, -0.08, 25.02, 26.74
",
1617051735.3933277,,"9643752, 0.00, -0.03, 25.02, 26.74
",
1617051735.3933277,,"9646676, 0.02, -0.03, 25.02, 26.74
",
1617051735.403328,,"9649628, -0.02, -0.03, 25.02, 27.02
",
1617051735.403328,,"9652592, -0.02, -0.03, 25.02, 27.02
",
1617051735.403328,,"9655556, 0.00, 0.00, 25.02, 27.02
",
1617051735.413328,,"9658440, 0.00, -0.05, 25.02, 26.70
",
1617051735.413328,,"9661356, 0.00, -0.05, 25.02, 26.70
",
1617051735.413328,,"9664280, 0.02, -0.03, 25.02, 26.70
",
1617051735.413328,,"9667232, -0.02, 0.00, 25.01, 26.80
",
1617051735.4233282,,"9670164, -0.02, -0.07, 25.01, 26.80
",
1617051735.4233282,,"9673132, -0.02, -0.02, 25.01, 26.80
",
1617051735.4233282,,"9676100, 0.00, -0.03, 25.02, 27.01
",
1617051735.4333282,,"9679028, 0.00, -0.03, 25.02, 27.01
",
1617051735.4333282,,"9681952, -0.02, -0.08, 25.02, 27.01
",
1617051735.4333282,,"9684908, 0.02, -0.03, 25.04, 26.83
",
1617051735.4333282,,"9687860, 0.00, -0.05, 25.04, 26.83
",
1617051735.4433286,,"9690784, -0.03, -0.07, 25.04, 26.83
",
1617051735.4433286,,"9693752, 0.00, 0.00, 25.03, 26.80
",
1617051735.4433286,,"9696640, -0.03, -0.05, 25.03, 26.80
",
1617051735.4533284,,"9699608, 0.00, -0.10, 25.03, 26.80
",
1617051735.4533284,,"9702536, -0.03, -0.07, 25.04, 26.74
",
1617051735.4533284,,"9705508, -0.02, -0.05, 25.04, 26.74
",
1617051735.4623377,,"9708468, 0.03, -0.03, 25.04, 26.74
",
1617051735.4623377,,"9711420, -0.03, -0.02, 25.04, 26.78
",
1617051735.4623377,,"9714388, -0.02, -0.05, 25.04, 26.78
",
1617051735.4623377,,"9717356, -0.03, -0.05, 25.04, 26.78
",
1617051735.472345,,"9720324, -0.02, -0.02, 25.05, 26.66
",
