Time,Tag,Flow,EIT
1617054594.5720074,,"11029236, 0.02, -0.03, 25.09, 25.35
",
1617054594.5750127,,"11032240, 0.02, -0.02, 25.09, 25.35
",
1617054594.5779965,,"11035244, 0.00, -0.03, 25.09, 25.21
",
1617054594.5809827,,"11038216, -0.02, -0.03, 25.11, 25.21
",
1617054594.5839753,,"11041248, -0.02, 0.02, 25.11, 25.21
",
1617054594.586972,,"11044268, 0.02, -0.02, 25.11, 25.17
",
1617054594.5902562,,"11047280, -0.02, -0.05, 25.09, 25.17
",
1617054594.5929673,,"11050300, -0.02, -0.05, 25.09, 25.17
",
1617054594.595945,,"11053316, 0.02, -0.03, 25.09, 25.36
",
1617054594.5989358,,"11056324, -0.02, -0.03, 25.09, 25.36
",
1617054594.601928,,"11059344, -0.02, 0.02, 25.09, 25.36
",
1617054594.6049204,,"11062352, 0.02, -0.02, 25.09, 25.28
",
1617054594.6079133,,"11065356, 0.00, -0.02, 25.15, 25.28
",
1617054594.6109037,,"11068328, 0.02, -0.05, 25.15, 25.28
",
1617054594.613896,,"11071340, 0.00, -0.03, 25.15, 25.26
",
1617054594.6168878,,"11074320, 0.00, -0.05, 25.09, 25.26
",
1617054594.61988,,"11077296, 0.02, -0.02, 25.09, 25.26
",
1617054594.622872,,"11080296, -0.02, -0.05, 25.09, 25.15
",
1617054594.6258729,,"11083312, -0.02, -0.05, 25.04, 25.15
",
1617054594.6288564,,"11086332, 0.00, -0.05, 25.04, 25.15
",
1617054594.631848,,"11089308, 0.00, -0.02, 25.04, 25.30
",
1617054594.6348398,,"11092284, 0.00, -0.02, 25.12, 25.30
",
1617054594.6378322,,"11095264, 0.00, 0.00, 25.12, 25.30
",
1617054594.6408238,,"11098208, -0.02, -0.05, 25.12, 25.26
",
1617054594.6438158,,"11101232, 0.00, -0.03, 25.11, 25.26
",
1617054594.6468081,,"11104208, 0.00, 0.00, 25.11, 25.26
",
1617054594.6498003,,"11107152, 0.00, -0.03, 25.11, 25.20
",
1617054594.6528616,,"11110136, -0.03, -0.05, 25.09, 25.20
",
1617054594.6558537,,"11113156, 0.02, -0.02, 25.09, 25.20
",
1617054594.6588454,,"11116160, -0.03, -0.03, 25.09, 25.22
",
1617054594.661838,,"11119176, 0.00, -0.02, 25.09, 25.22
",
1617054594.6648307,,"11122152, 0.00, -0.03, 25.09, 25.25
",
1617054594.6678216,,"11125124, 0.02, -0.03, 25.09, 25.25
",
1617054594.6708145,,"11128128, -0.02, 0.00, 25.10, 25.25
",
1617054594.6738057,,"11131112, 0.02, -0.07, 25.10, 25.47
",
1617054594.6767988,,"11134128, 0.03, -0.05, 25.10, 25.47
",
1617054594.67979,,"11137140, -0.02, -0.02, 25.09, 25.47
",
1617054594.682782,,"11140156, -0.02, 0.00, 25.09, 25.21
",
1617054594.6857755,,"11143132, 0.00, 0.00, 25.09, 25.21
",
1617054594.6887941,,"11146068, -0.02, -0.02, 25.08, 25.21
",
1617054594.691758,,"11149088, 0.00, -0.03, 25.08, 25.28
",
1617054594.6947496,,"11152060, 0.00, -0.02, 25.08, 25.28
",
1617054594.6977432,,"11155028, -0.02, 0.00, 25.06, 25.28
",
1617054594.7007337,,"11158012, -0.02, -0.05, 25.06, 25.24
",
1617054594.7037263,,"11161028, 0.00, -0.02, 25.06, 25.24
",
1617054594.706718,,"11164004, 0.00, -0.03, 25.11, 25.24
",
1617054594.7097101,,"11166988, -0.02, 0.00, 25.11, 25.27
",
1617054594.7127023,,"11169980, 0.02, -0.03, 25.11, 25.27
",
1617054594.7156942,,"11172992, 0.02, -0.02, 25.10, 25.27
",
1617054594.7186859,,"11176004, 0.00, -0.07, 25.10, 25.42
",
1617054594.721678,,"11178972, 0.02, -0.03, 25.10, 25.42
",
1617054594.7246702,,"11181984, 0.00, -0.05, 25.10, 25.21
",
1617054594.7276764,,"11184968, 0.02, 0.00, 25.10, 25.21
",
1617054594.7306542,,"11187944, 0.00, 0.02, 25.10, 25.21
",
1617054594.7336462,,"11190920, 0.00, -0.08, 25.10, 25.39
",
1617054594.7366385,,"11193900, 0.00, -0.02, 25.10, 25.39
",
1617054594.7396314,,"11196880, 0.00, -0.05, 25.10, 25.39
",
1617054594.7426236,,"11199860, -0.03, 0.00, 25.10, 25.29
",
1617054594.7456157,,"11202848, -0.03, -0.03, 25.10, 25.29
",
1617054594.748608,,"11205868, -0.02, -0.02, 25.10, 25.29
",
1617054594.7516003,,"11208892, -0.02, -0.05, 25.11, 25.29
",
1617054594.7545922,,"11211916, 0.03, -0.03, 25.11, 25.29
",
1617054594.7575843,,"11214932, 0.00, -0.03, 25.11, 25.29
",
1617054594.760576,,"11217904, 0.02, -0.05, 25.09, 25.30
",
1617054594.7635682,,"11220908, 0.00, 0.00, 25.09, 25.30
",
1617054594.7665603,,"11223844, 0.00, -0.03, 25.09, 25.30
",
1617054594.7695525,,"11226816, 0.00, -0.05, 25.07, 25.46
",
1617054594.7725446,,"11229792, 0.03, -0.07, 25.07, 25.46
",
1617054594.7755363,,"11232796, 0.02, -0.03, 25.07, 25.46
",
1617054594.7785296,,"11235800, -0.02, -0.07, 25.10, 25.26
",
1617054594.7815325,,"11238824, 0.00, -0.07, 25.10, 25.26
",
1617054594.7845125,,"11241804, 0.02, -0.03, 25.10, 25.26
",
1617054594.7875383,,"11244816, 0.00, 0.00, 25.09, 25.34
",
1617054594.790495,,"11247752, -0.02, -0.08, 25.09, 25.34
",
1617054594.793487,,"11250768, -0.02, -0.03, 25.09, 25.34
",
1617054594.7964811,,"11253788, -0.03, -0.07, 25.06, 25.23
",
1617054594.7994711,,"11256796, -0.02, -0.07, 25.06, 25.23
",
1617054594.8024633,,"11259816, 0.00, -0.05, 25.06, 25.36
",
1617054594.8054557,,"11262792, 0.02, -0.03, 25.09, 25.36
",
1617054594.8084476,,"11265800, -0.02, -0.03, 25.09, 25.36
",
1617054594.8114529,,"11268812, 0.00, 0.00, 25.09, 25.29
",
1617054594.8144321,,"11271748, -0.02, -0.03, 25.12, 25.29
",
1617054594.8174233,,"11274772, -0.02, -0.02, 25.12, 25.29
",
1617054594.8204157,,"11277792, -0.02, -0.08, 25.12, 25.28
",
1617054594.823407,,"11280816, -0.02, -0.02, 25.08, 25.28
",
1617054594.8264258,,"11283828, 0.00, -0.02, 25.08, 25.28
",
1617054594.8293917,,"11286800, -0.02, -0.03, 25.08, 25.22
",
1617054594.832384,,"11289808, -0.02, -0.03, 25.11, 25.22
",
1617054594.8353755,,"11292832, 0.02, -0.03, 25.11, 25.22
",
1617054594.838368,,"11295848, 0.00, -0.03, 25.11, 25.25
",
1617054594.8413596,,"11298828, 0.00, -0.03, 25.10, 25.25
",
1617054594.844352,,"11301800, -0.02, -0.02, 25.10, 25.25
",
1617054594.8473437,,"11304820, -0.03, 0.00, 25.10, 25.19
",
1617054594.8503358,,"11307808, 0.00, -0.05, 25.10, 25.19
",
1617054594.853328,,"11310788, 0.02, -0.02, 25.10, 25.19
",
1617054594.85632,,"11313796, 0.02, -0.07, 25.10, 25.18
",
1617054594.8593118,,"11316808, 0.02, 0.00, 25.09, 25.18
",
1617054594.862304,,"11319772, -0.05, -0.03, 25.09, 25.18
",
1617054594.8652964,,"11322792, -0.02, -0.07, 25.09, 25.29
",
1617054594.8682885,,"11325808, 0.00, 0.00, 25.06, 25.29
",
1617054594.8712802,,"11328744, 0.00, -0.03, 25.06, 25.29
",
1617054594.8742723,,"11331716, 0.00, -0.08, 25.06, 25.19
",
1617054594.8762677,,"11334692, 0.00, -0.02, 25.09, 25.19
",
1617054594.879259,,"11337656, 0.02, -0.05, 25.09, 25.19
",
1617054594.8822653,,"11340660, 0.00, -0.03, 25.09, 25.30
",
1617054594.88379,,"11343636, -0.03, -0.02, 25.11, 25.30
",
1617054594.88379,,"11346660, 0.02, -0.03, 25.11, 25.25
",
1617054594.88379,,"11349672, 0.00, 0.02, 25.11, 25.25
",
1617054594.893791,,"11352648, 0.02, -0.07, 25.10, 25.25
",
1617054594.893791,,"11355656, 0.00, -0.03, 25.10, 25.33
",
1617054594.893791,,"11358636, 0.00, -0.08, 25.10, 25.33
",
1617054594.9037912,,"11361620, -0.05, -0.03, 25.08, 25.33
",
1617054594.9037912,,"11364640, -0.02, -0.03, 25.08, 25.23
",
1617054594.9037912,,"11367656, -0.02, -0.03, 25.08, 25.23
",
1617054594.9037912,,"11370676, 0.03, -0.03, 25.10, 25.23
",
1617054594.913792,,"11373688, 0.02, -0.03, 25.10, 25.30
",
1617054594.913792,,"11376700, -0.02, -0.02, 25.10, 25.30
",
1617054594.913792,,"11379720, -0.02, -0.02, 25.09, 25.30
",
1617054594.9237914,,"11382728, 0.00, -0.02, 25.09, 25.29
",
1617054594.9237914,,"11385700, 0.02, 0.00, 25.09, 25.29
",
1617054594.9237914,,"11388668, -0.02, -0.03, 25.05, 25.29
",
1617054594.9337914,,"11391684, -0.02, -0.03, 25.05, 25.37
",
1617054594.9337914,,"11394704, 0.02, -0.07, 25.05, 25.37
",
1617054594.9337914,,"11397708, 0.00, -0.02, 25.08, 25.37
",
1617054594.9337914,,"11400680, 0.00, -0.05, 25.08, 25.38
",
1617054594.9437933,,"11403652, 0.00, -0.03, 25.08, 25.38
",
1617054594.9437933,,"11406624, -0.03, -0.08, 25.06, 25.38
",
1617054594.9437933,,"11409644, 0.03, -0.05, 25.06, 25.31
",
1617054594.9537926,,"11412652, 0.02, -0.02, 25.06, 25.31
",
