Time,Tag,Flow,EIT
1617055072.8867214,,"6220604, 0.03, -0.05, 25.21, 25.50
",
1617055072.8897128,,"6223564, 0.00, -0.02, 25.21, 25.50
",
1617055072.892705,,"6226492, -0.02, -0.08, 25.21, 25.50
",
1617055072.8956964,,"6229460, -0.02, -0.03, 25.21, 25.50
",
1617055072.898689,,"6232428, -0.03, -0.05, 25.21, 25.50
",
1617055072.9006834,,"6235396, -0.02, -0.03, 25.21, 25.60
",
1617055072.9036756,,"6238360, 0.00, -0.07, 25.19, 25.60
",
1617055072.906667,,"6241288, 0.00, -0.08, 25.19, 25.60
",
1617055072.9096673,,"6244208, -0.03, -0.10, 25.19, 25.56
",
1617055072.9126518,,"6247188, 0.00, -0.03, 25.23, 25.56
",
1617055072.9156437,,"6250116, -0.02, -0.05, 25.23, 25.56
",
1617055072.9186363,,"6253092, 0.00, -0.03, 25.23, 25.50
",
1617055072.921628,,"6256020, 0.00, -0.03, 25.22, 25.50
",
1617055072.9246194,,"6258944, 0.02, -0.03, 25.22, 25.50
",
1617055072.927611,,"6261904, -0.02, -0.02, 25.22, 25.53
",
1617055072.9306264,,"6264880, -0.02, -0.07, 25.18, 25.53
",
1617055072.9336188,,"6267848, 0.00, 0.00, 25.18, 25.53
",
1617055072.936588,,"6270740, -0.02, -0.08, 25.18, 25.59
",
1617055072.9395802,,"6273716, -0.02, -0.07, 25.21, 25.59
",
1617055072.9425719,,"6276688, -0.03, -0.05, 25.21, 25.59
",
1617055072.9455638,,"6279664, 0.00, -0.10, 25.21, 25.50
",
1617055072.9485552,,"6282600, 0.00, -0.07, 25.23, 25.50
",
1617055072.9515483,,"6285528, 0.02, -0.02, 25.23, 25.50
",
1617055072.9545476,,"6288484, 0.00, -0.05, 25.23, 25.67
",
1617055072.9565344,,"6291404, -0.02, -0.07, 25.23, 25.67
",
1617055072.9595265,,"6294380, 0.00, -0.02, 25.23, 25.67
",
1617055072.9625185,,"6297312, -0.02, -0.05, 25.23, 25.61
",
1617055072.9655108,,"6300288, -0.03, -0.05, 25.19, 25.61
",
1617055072.9685025,,"6303264, 0.00, -0.05, 25.19, 25.61
",
1617055072.9714947,,"6306196, 0.00, -0.08, 25.19, 25.48
",
1617055072.974487,,"6309124, 0.00, -0.07, 25.27, 25.48
",
1617055072.9774792,,"6312052, 0.03, -0.05, 25.27, 25.48
",
1617055072.9804704,,"6315000, 0.02, -0.05, 25.27, 25.37
",
