Time,Tag,Flow
1618530054.7200375,,"31094996, -0.05, -0.02, 24.84, 25.04
"
1618530054.7227445,,"31098016, -0.05, -0.02, 24.84, 25.04
"
1618530054.725702,,"31101036, -0.03, -0.02, 24.82, 25.03
"
1618530054.7286968,,"31104060, -0.05, -0.02, 24.82, 25.03
"
1618530054.7317157,,"31107068, -0.02, -0.02, 24.82, 25.03
"
1618530054.7347076,,"31110088, -0.05, -0.05, 24.82, 25.05
"
1618530054.7377086,,"31113108, 0.02, 0.00, 24.82, 25.05
"
1618530054.7406917,,"31116080, -0.05, -0.02, 24.82, 25.08
"
1618530054.74366,,"31119096, -0.03, 0.00, 24.84, 25.08
"
1618530054.7466753,,"31122080, -0.07, 0.00, 24.84, 25.08
"
1618530054.7496696,,"31125060, -0.05, 0.00, 24.84, 25.03
"
1618530054.7526536,,"31128044, -0.05, 0.00, 24.85, 25.03
"
1618530054.7556465,,"31131028, -0.03, -0.02, 24.85, 25.03
"
1618530054.7586384,,"31134048, 0.00, -0.03, 24.85, 25.00
"
1618530054.7616303,,"31137020, -0.05, -0.03, 24.80, 25.00
"
1618530054.7646227,,"31140040, 0.00, -0.02, 24.80, 25.08
"
1618530054.7675927,,"31143012, -0.07, -0.03, 24.80, 25.08
"
1618530054.770584,,"31146028, 0.02, -0.02, 24.84, 25.08
"
1618530054.7735765,,"31149024, -0.03, -0.02, 24.84, 25.06
"
1618530054.7765687,,"31152040, -0.05, -0.02, 24.84, 25.06
"
1618530054.77956,,"31155056, -0.05, -0.03, 24.81, 25.06
"
1618530054.7825522,,"31158076, -0.08, 0.00, 24.81, 25.10
"
1618530054.7855444,,"31161068, -0.03, -0.05, 24.81, 25.10
"
1618530054.7885363,,"31164092, -0.05, -0.03, 24.84, 25.10
"
1618530054.791529,,"31167116, -0.03, -0.03, 24.84, 25.00
"
1618530054.7945206,,"31170132, -0.03, 0.00, 24.84, 25.00
"
1618530054.7975128,,"31173116, -0.03, -0.03, 24.82, 25.04
"
1618530054.8005052,,"31176136, -0.03, 0.02, 24.82, 25.04
"
1618530054.8034952,,"31179148, -0.03, 0.00, 24.82, 25.04
"
1618530054.8064876,,"31182132, -0.05, 0.00, 24.83, 25.06
"
1618530054.8094795,,"31185116, -0.02, 0.00, 24.83, 25.06
"
1618530054.8124716,,"31188100, -0.02, 0.00, 24.83, 25.06
"
1618530054.8154638,,"31191084, -0.03, 0.00, 24.84, 25.06
"
1618530054.8184557,,"31194056, -0.05, -0.02, 24.84, 25.06
"
1618530054.8214478,,"31197076, -0.03, -0.02, 24.84, 25.03
"
1618530054.8244503,,"31200092, -0.03, -0.02, 24.83, 25.03
"
1618530054.827434,,"31203112, -0.02, -0.03, 24.83, 25.03
"
1618530054.8304281,,"31206132, -0.02, 0.00, 24.83, 25.04
"
1618530054.8334174,,"31209116, -0.05, 0.00, 24.84, 25.04
"
1618530054.8364103,,"31212100, -0.07, -0.02, 24.84, 25.04
"
1618530054.8394017,,"31215116, -0.05, -0.02, 24.84, 25.06
"
1618530054.842394,,"31218132, -0.05, -0.03, 24.85, 25.06
"
1618530054.8453858,,"31221152, -0.07, 0.02, 24.85, 25.06
"
1618530054.8483777,,"31224164, -0.05, 0.00, 24.85, 25.06
"
1618530054.85137,,"31227148, -0.08, -0.02, 24.83, 25.06
"
1618530054.854362,,"31230156, -0.02, 0.02, 24.83, 25.05
"
1618530054.8573537,,"31233172, -0.05, -0.02, 24.83, 25.05
"
1618530054.8603466,,"31236192, -0.03, -0.02, 24.81, 25.05
"
1618530054.8633378,,"31239208, -0.05, 0.00, 24.81, 25.05
"
1618530054.86633,,"31242184, -0.03, -0.03, 24.81, 25.05
"
1618530054.8693218,,"31245204, -0.03, -0.02, 24.83, 25.07
"
1618530054.8723142,,"31248220, -0.02, -0.03, 24.83, 25.07
"
1618530054.8753066,,"31251240, -0.02, 0.02, 24.83, 25.07
"
1618530054.8782985,,"31254252, -0.02, -0.02, 24.86, 25.06
"
1618530054.8812902,,"31257268, -0.03, -0.03, 24.86, 25.06
"
1618530054.884282,,"31260288, -0.03, -0.03, 24.86, 25.06
"
1618530054.8872736,,"31263304, -0.05, -0.02, 24.84, 25.04
"
1618530054.8902748,,"31266324, 0.00, 0.00, 24.84, 25.04
"
1618530054.8932567,,"31269260, -0.05, 0.00, 24.84, 25.06
"
