Time,Tag,Flow
1618535914.8486493,,"53421224, -0.03, 0.02, 24.73, 25.00
"
1618535914.8515024,,"53424236, -0.03, 0.02, 24.73, 25.00
"
1618535914.854493,,"53427248, 0.02, -0.03, 24.73, 24.97
"
1618535914.8574917,,"53430248, -0.03, -0.02, 24.71, 24.97
"
1618535914.8604777,,"53433272, -0.03, 0.00, 24.71, 24.97
"
1618535914.8634698,,"53436264, -0.03, -0.02, 24.71, 24.96
"
1618535914.8664613,,"53439288, -0.03, -0.02, 24.70, 24.96
"
1618535914.8694534,,"53442308, -0.03, -0.02, 24.70, 25.01
"
1618535914.872445,,"53445328, -0.05, -0.03, 24.70, 25.01
"
1618535914.8754375,,"53448348, 0.00, 0.00, 24.68, 25.01
"
1618535914.8784297,,"53451284, -0.02, 0.00, 24.68, 25.00
"
1618535914.8814228,,"53454264, 0.00, -0.05, 24.68, 25.00
"
1618535914.8844132,,"53457236, 0.00, -0.03, 24.73, 25.00
"
1618535914.8874075,,"53460208, -0.02, 0.00, 24.73, 24.98
"
1618535914.8903995,,"53463196, 0.00, -0.02, 24.73, 24.98
"
1618535914.8933911,,"53466172, -0.05, 0.03, 24.69, 24.98
"
1618535914.896382,,"53469180, 0.00, 0.00, 24.69, 24.98
"
1618535914.8993742,,"53472120, -0.05, 0.00, 24.69, 24.98
"
1618535914.9023788,,"53475108, -0.03, 0.00, 24.69, 24.98
"
1618535914.905371,,"53478092, 0.00, 0.02, 24.69, 24.98
"
1618535914.90835,,"53481064, 0.00, 0.00, 24.69, 24.98
"
1618535914.9103444,,"53484004, -0.02, -0.02, 24.74, 25.00
"
1618535914.9133368,,"53487020, 0.00, -0.02, 24.74, 25.00
"
1618535914.9163294,,"53489992, 0.00, -0.02, 24.74, 25.00
"
1618535914.9193213,,"53492964, 0.00, -0.05, 24.68, 25.00
"
1618535914.9223123,,"53495936, -0.02, 0.00, 24.68, 25.00
"
1618535914.9253047,,"53498916, -0.03, 0.00, 24.68, 25.00
"
1618535914.9282966,,"53501888, -0.03, -0.02, 24.70, 25.00
"
1618535914.9312882,,"53504904, 0.00, 0.02, 24.70, 25.00
"
1618535914.9342804,,"53507872, -0.02, -0.02, 24.70, 25.00
"
1618535914.9372747,,"53510884, 0.00, -0.05, 24.73, 24.98
"
1618535914.940265,,"53513864, 0.00, 0.02, 24.73, 24.98
"
1618535914.9432569,,"53516836, -0.02, -0.03, 24.73, 24.99
"
1618535914.9462492,,"53519856, 0.00, -0.02, 24.71, 24.99
"
1618535914.9492412,,"53522836, -0.02, 0.00, 24.71, 24.99
"
1618535914.9522378,,"53525824, -0.02, -0.02, 24.71, 25.00
"
1618535914.9552271,,"53528840, -0.02, 0.00, 24.69, 25.00
"
1618535914.9582188,,"53531824, -0.03, -0.02, 24.69, 25.00
"
1618535914.961209,,"53534840, -0.02, -0.03, 24.69, 25.00
"
1618535914.9642015,,"53537840, -0.05, 0.00, 24.71, 25.00
"
1618535914.9671946,,"53540804, -0.02, -0.02, 24.71, 25.00
"
1618535914.970187,,"53543808, -0.03, -0.07, 24.71, 25.02
"
1618535914.9731786,,"53546828, 0.00, 0.00, 24.73, 25.02
"
1618535914.976171,,"53549768, -0.03, 0.00, 24.73, 24.97
"
1618535914.9791622,,"53552756, -0.03, 0.02, 24.73, 24.97
"
1618535914.982155,,"53555776, -0.03, -0.02, 24.68, 24.97
"
1618535914.9851463,,"53558796, -0.02, -0.03, 24.68, 25.00
"
1618535914.988138,,"53561812, -0.02, -0.05, 24.68, 25.00
"
1618535914.99113,,"53564828, 0.00, 0.02, 24.72, 25.00
"
1618535914.9941375,,"53567796, -0.03, 0.02, 24.72, 25.00
"
1618535914.997114,,"53570796, 0.00, 0.02, 24.72, 25.00
"
1618535915.0001063,,"53573752, -0.02, -0.02, 24.68, 25.00
"
1618535915.003097,,"53576756, -0.05, -0.02, 24.68, 25.00
"
1618535915.0060894,,"53579764, -0.02, -0.02, 24.68, 25.00
"
1618535915.0090933,,"53582780, -0.05, -0.02, 24.68, 25.00
"
1618535915.0120742,,"53585792, -0.05, 0.02, 24.68, 25.00
"
1618535915.0150661,,"53588804, 0.00, 0.00, 24.68, 25.00
"
1618535915.018058,,"53591740, -0.05, -0.03, 24.70, 24.98
"
1618535915.0210493,,"53594764, 0.00, -0.02, 24.70, 24.98
"
1618535915.024042,,"53597740, 0.00, 0.00, 24.70, 24.98
"
1618535915.0270336,,"53600684, -0.05, -0.05, 24.70, 25.00
"
1618535915.0300257,,"53603700, -0.03, 0.00, 24.70, 25.00
"
1618535915.0330179,,"53606680, -0.03, -0.02, 24.70, 25.00
"
1618535915.03601,,"53609684, -0.02, -0.02, 24.70, 25.00
"
1618535915.039002,,"53612700, 0.00, -0.05, 24.70, 25.00
"
1618535915.041994,,"53615672, -0.02, -0.02, 24.70, 25.00
"
1618535915.0449913,,"53618668, -0.05, -0.02, 24.71, 25.00
"
1618535915.047978,,"53621672, -0.03, -0.03, 24.71, 25.00
"
1618535915.05097,,"53624676, -0.02, -0.03, 24.71, 24.97
"
1618535915.0539627,,"53627704, -0.03, 0.00, 24.72, 24.97
"
1618535915.0569558,,"53630692, -0.02, 0.00, 24.72, 24.97
"
1618535915.059958,,"53633680, -0.02, -0.03, 24.72, 24.97
"
1618535915.062939,,"53636700, 0.00, -0.02, 24.67, 24.97
"
1618535915.0659301,,"53639680, 0.00, 0.00, 24.67, 24.98
"
1618535915.0689223,,"53642624, -0.03, -0.05, 24.67, 24.98
"
1618535915.071914,,"53645644, -0.03, 0.02, 24.69, 24.98
"
1618535915.0749063,,"53648660, -0.03, -0.02, 24.69, 25.00
"
1618535915.0778983,,"53651664, -0.02, -0.02, 24.69, 25.00
"
1618535915.0808904,,"53654680, -0.02, -0.02, 24.72, 25.00
"
1618535915.0838828,,"53657700, -0.05, -0.02, 24.72, 25.01
"
1618535915.0868738,,"53660720, 0.02, -0.05, 24.72, 25.01
"
1618535915.0898664,,"53663720, -0.05, -0.05, 24.69, 24.95
"
1618535915.092861,,"53666740, -0.03, 0.00, 24.69, 24.95
"
1618535915.0958502,,"53669728, 0.00, 0.00, 24.69, 24.95
"
1618535915.0988429,,"53672668, -0.02, -0.02, 24.71, 25.00
"
1618535915.1018348,,"53675676, 0.00, 0.00, 24.71, 25.00
"
1618535915.1048274,,"53678600, -0.03, -0.03, 24.71, 25.00
"
1618535915.1078186,,"53681604, 0.00, 0.00, 24.73, 25.01
"
1618535915.1108105,,"53684548, 0.00, -0.02, 24.73, 25.01
"
1618535915.1138027,,"53687524, 0.00, 0.00, 24.73, 25.01
"
1618535915.1167955,,"53690464, 0.00, 0.00, 24.71, 24.98
"
1618535915.1197877,,"53693400, -0.03, 0.02, 24.71, 24.98
"
1618535915.122779,,"53696420, 0.00, -0.02, 24.71, 24.98
"
1618535915.1257713,,"53699400, -0.03, 0.00, 24.71, 25.00
"
1618535915.1287627,,"53702368, -0.03, 0.02, 24.71, 25.00
"
1618535915.1317546,,"53705372, -0.05, 0.00, 24.71, 25.00
"
1618535915.1347468,,"53708340, -0.02, -0.02, 24.70, 24.97
"
1618535915.1377392,,"53711364, -0.05, 0.00, 24.70, 24.97
"
1618535915.1407309,,"53714348, -0.02, -0.02, 24.70, 25.02
"
1618535915.1437228,,"53717368, -0.03, -0.08, 24.69, 25.02
"
1618535915.1467147,,"53720388, -0.02, -0.05, 24.69, 25.02
"
1618535915.1497068,,"53723404, -0.03, -0.02, 24.69, 25.00
"
1618535915.152704,,"53726408, -0.02, 0.02, 24.71, 25.00
"
1618535915.1556904,,"53729424, -0.02, -0.03, 24.71, 25.00
"
1618535915.1586826,,"53732440, -0.05, -0.02, 24.71, 24.99
"
1618535915.161675,,"53735464, -0.02, 0.00, 24.69, 24.99
"
1618535915.1646667,,"53738440, -0.02, 0.02, 24.69, 25.01
"
1618535915.167659,,"53741456, -0.03, -0.02, 24.69, 25.01
"
1618535915.1706507,,"53744472, -0.03, 0.02, 24.70, 25.01
"
1618535915.1736424,,"53747488, -0.07, 0.00, 24.70, 24.94
"
1618535915.1766348,,"53750476, -0.05, -0.03, 24.70, 24.94
"
1618535915.1796267,,"53753496, -0.03, -0.02, 24.71, 24.94
"
1618535915.1826186,,"53756520, -0.05, -0.02, 24.71, 25.00
"
1618535915.1856117,,"53759528, -0.03, -0.05, 24.71, 25.00
"
1618535915.1886027,,"53762536, -0.03, -0.02, 24.71, 24.99
"
1618535915.1915958,,"53765556, -0.02, -0.05, 24.71, 24.99
"
1618535915.194587,,"53768576, 0.00, 0.00, 24.71, 24.99
"
1618535915.1975787,,"53771520, -0.05, -0.02, 24.67, 24.98
"
1618535915.2005713,,"53774544, -0.02, -0.02, 24.67, 24.98
"
1618535915.2035627,,"53777568, -0.03, -0.02, 24.67, 24.98
"
1618535915.2065551,,"53780588, -0.03, -0.02, 24.69, 25.00
"
1618535915.2095475,,"53783588, -0.05, 0.03, 24.69, 25.00
"
1618535915.2125397,,"53786576, 0.00, 0.00, 24.69, 24.98
"
1618535915.215532,,"53789516, -0.05, 0.02, 24.70, 24.98
"
1618535915.218523,,"53792532, -0.02, 0.02, 24.70, 24.98
"
1618535915.221516,,"53795548, 0.00, 0.03, 24.70, 24.98
"
1618535915.224507,,"53798520, -0.03, -0.02, 24.70, 24.98
"
1618535915.2274992,,"53801540, -0.03, -0.03, 24.70, 24.98
"
1618535915.2304919,,"53804560, -0.03, 0.03, 24.70, 25.01
"
1618535915.2334833,,"53807576, -0.03, 0.00, 24.73, 25.01
"
1618535915.2364767,,"53810560, -0.03, 0.02, 24.73, 25.01
"
1618535915.2390614,,"53813576, -0.03, -0.02, 24.73, 24.99
"
1618535915.2390614,,"53816596, -0.07, -0.03, 24.69, 24.99
"
1618535915.2390614,,"53819608, -0.02, 0.00, 24.69, 25.00
"
1618535915.2390614,,"53822588, -0.03, -0.02, 24.69, 25.00
"
1618535915.249061,,"53825604, -0.03, 0.02, 24.67, 25.00
"
1618535915.249061,,"53828608, -0.02, 0.00, 24.67, 24.98
"
1618535915.249061,,"53831592, 0.00, 0.03, 24.67, 24.98
"
1618535915.2590618,,"53834564, -0.07, 0.00, 24.71, 24.98
"
1618535915.2590618,,"53837552, -0.02, 0.00, 24.71, 25.00
"
1618535915.2590618,,"53840536, -0.02, 0.02, 24.71, 25.00
"
1618535915.2690635,,"53843548, -0.02, -0.02, 24.71, 24.98
"
1618535915.2690635,,"53846568, -0.02, -0.02, 24.71, 24.98
"
1618535915.2690635,,"53849588, 0.02, 0.00, 24.71, 24.98
"
1618535915.2755857,,"53852564, 0.00, 0.00, 24.72, 24.99
"
1618535915.2755857,,"53855504, 0.00, 0.02, 24.72, 24.99
"
1618535915.2755857,,"53858484, 0.00, 0.00, 24.72, 24.99
"
1618535915.285591,,"53861424, -0.03, -0.05, 24.68, 25.00
"
1618535915.285591,,"53864432, -0.02, 0.00, 24.68, 25.00
"
1618535915.285591,,"53867412, -0.02, -0.02, 24.68, 25.00
"
1618535915.2955909,,"53870424, -0.05, -0.02, 24.69, 24.99
"
1618535915.2955909,,"53873444, -0.05, 0.00, 24.69, 24.99
"
1618535915.2955909,,"53876428, 0.00, 0.02, 24.69, 24.99
"
1618535915.2955909,,"53879400, -0.02, -0.02, 24.71, 24.99
"
1618535915.3056004,,"53882420, -0.05, -0.03, 24.71, 24.99
"
1618535915.3056004,,"53885444, -0.03, 0.00, 24.71, 24.98
"
1618535915.3056004,,"53888432, -0.03, -0.02, 24.68, 24.98
"
1618535915.315593,,"53891452, -0.02, 0.00, 24.68, 24.98
"
1618535915.315593,,"53894436, -0.02, 0.02, 24.68, 25.02
"
1618535915.315593,,"53897448, -0.05, -0.02, 24.69, 25.02
"
1618535915.325592,,"53900468, 0.00, -0.03, 24.69, 25.02
"
1618535915.32776,,"53903440, -0.03, -0.03, 24.69, 25.02
"
1618535915.32776,,"53906460, -0.02, -0.02, 24.71, 25.02
"
1618535915.32776,,"53909472, -0.02, -0.02, 24.71, 24.98
"
1618535915.3377619,,"53912492, -0.03, 0.02, 24.71, 24.98
"
1618535915.3377619,,"53915512, -0.02, 0.00, 24.71, 24.98
"
1618535915.3377619,,"53918496, -0.03, 0.00, 24.71, 24.98
"
1618535915.3377619,,"53921484, -0.02, 0.00, 24.71, 24.98
"
1618535915.3488297,,"53924472, -0.03, 0.00, 24.69, 24.98
"
1618535915.3488297,,"53927456, -0.02, 0.00, 24.69, 25.01
"
1618535915.3488297,,"53930440, -0.02, 0.05, 24.69, 25.01
"
1618535915.358833,,"53933452, -0.05, 0.00, 24.72, 24.99
"
1618535915.358833,,"53936440, -0.07, 0.00, 24.72, 24.99
"
1618535915.358833,,"53939424, -0.03, -0.05, 24.72, 24.99
"
1618535915.358833,,"53942452, -0.05, 0.00, 24.72, 24.98
"
1618535915.3688335,,"53945440, -0.03, -0.02, 24.72, 24.98
"
1618535915.3688335,,"53948460, 0.00, 0.03, 24.72, 24.98
"
1618535915.375844,,"53951428, -0.07, -0.02, 24.68, 24.98
"
1618535915.375844,,"53954448, -0.03, -0.03, 24.68, 24.98
"
1618535915.375844,,"53957468, -0.02, 0.00, 24.68, 24.98
"
1618535915.385849,,"53960456, -0.03, 0.00, 24.69, 25.00
"
1618535915.385849,,"53963436, -0.02, -0.02, 24.69, 25.00
"
1618535915.385849,,"53966448, -0.03, 0.02, 24.69, 24.99
"
1618535915.385849,,"53969464, -0.03, 0.00, 24.70, 24.99
"
1618535915.39585,,"53972448, -0.03, 0.00, 24.70, 24.99
"
1618535915.39585,,"53975436, -0.02, 0.00, 24.70, 24.96
"
1618535915.39585,,"53978420, -0.05, -0.03, 24.69, 24.96
"
1618535915.40585,,"53981444, -0.03, -0.02, 24.69, 24.96
"
1618535915.40585,,"53984468, -0.02, 0.00, 24.69, 24.98
"
1618535915.40585,,"53987456, -0.02, 0.00, 24.68, 24.98
"
1618535915.41585,,"53990440, -0.03, -0.02, 24.68, 25.00
"
1618535915.4182248,,"53993448, -0.03, -0.02, 24.68, 25.00
"
1618535915.4212165,,"53996464, 0.00, 0.00, 24.71, 25.00
"
1618535915.424208,,"53999404, -0.02, -0.02, 24.71, 25.01
"
1618535915.4271998,,"54002424, -0.02, -0.02, 24.71, 25.01
"
1618535915.4301922,,"54005444, -0.05, -0.05, 24.72, 25.01
"
1618535915.433184,,"54008464, -0.02, 0.00, 24.72, 25.00
"
1618535915.4359102,,"54011432, -0.05, 0.00, 24.72, 25.00
"
1618535915.4389014,,"54014404, -0.05, -0.05, 24.71, 25.00
"
1618535915.4418948,,"54017408, -0.02, -0.03, 24.71, 25.00
"
1618535915.4448855,,"54020428, -0.05, -0.02, 24.71, 25.00
"
1618535915.448875,,"54023444, -0.03, 0.00, 24.72, 25.00
"
1618535915.451638,,"54026432, -0.03, 0.02, 24.72, 25.00
"
1618535915.45463,,"54029444, -0.03, -0.02, 24.72, 25.00
"
1618535915.4576206,,"54032460, -0.03, 0.00, 24.68, 24.99
"
1618535915.4606125,,"54035440, -0.07, -0.02, 24.68, 24.99
"
1618535915.4636056,,"54038460, -0.03, -0.02, 24.68, 24.99
"
1618535915.4665968,,"54041480, -0.03, -0.02, 24.72, 24.96
"
1618535915.469591,,"54044504, -0.02, -0.02, 24.72, 24.96
"
1618535915.4725811,,"54047528, 0.02, -0.02, 24.72, 25.01
"
1618535915.475573,,"54050536, -0.02, 0.00, 24.70, 25.01
"
1618535915.4785652,,"54053520, -0.02, 0.02, 24.70, 25.01
"
1618535915.481557,,"54056532, 0.00, -0.05, 24.70, 24.98
"
1618535915.4845798,,"54059512, -0.02, 0.00, 24.69, 24.98
"
1618535915.4845798,,"54062500, -0.03, -0.02, 24.69, 24.98
"
1618535915.4845798,,"54065520, 0.00, -0.03, 24.69, 24.95
"
1618535915.4845798,,"54068500, -0.03, 0.03, 24.71, 24.95
"
1618535915.4945836,,"54071508, -0.03, 0.02, 24.71, 25.01
"
1618535915.4945836,,"54074528, -0.02, -0.03, 24.71, 25.01
"
1618535915.502304,,"54077552, -0.03, 0.00, 24.68, 25.01
"
1618535915.5052872,,"54080532, -0.02, 0.00, 24.68, 24.98
"
1618535915.5082781,,"54083508, -0.05, 0.00, 24.68, 24.98
"
1618535915.5112715,,"54086492, -0.02, 0.02, 24.72, 24.98
"
1618535915.5142624,,"54089508, -0.02, -0.02, 24.72, 25.01
"
1618535915.5172663,,"54092528, -0.02, -0.03, 24.72, 25.01
"
1618535915.5202465,,"54095548, -0.03, 0.00, 24.71, 24.98
"
1618535915.5232387,,"54098536, -0.02, 0.00, 24.71, 24.98
"
1618535915.5262315,,"54101520, -0.02, -0.03, 24.71, 24.98
"
1618535915.5292232,,"54104544, 0.00, -0.03, 24.71, 24.99
"
1618535915.532215,,"54107524, 0.02, -0.02, 24.71, 24.99
"
1618535915.5347922,,"54110532, -0.02, 0.00, 24.71, 24.99
"
1618535915.5347922,,"54113520, -0.02, -0.03, 24.67, 24.97
"
1618535915.5347922,,"54116548, 0.00, -0.02, 24.67, 24.97
"
1618535915.5347922,,"54119528, 0.07, 0.00, 24.67, 24.97
"
1618535915.5447936,,"54122492, -0.02, -0.02, 24.73, 25.01
"
1618535915.5447936,,"54125512, -0.03, 0.02, 24.73, 25.01
"
1618535915.5534801,,"54128528, -0.03, 0.00, 24.73, 25.00
"
1618535915.556472,,"54131512, -0.05, -0.02, 24.71, 25.00
"
1618535915.5594637,,"54134528, -0.03, 0.00, 24.71, 25.00
"
1618535915.5624683,,"54137512, -0.02, -0.02, 24.71, 25.00
"
1618535915.5654473,,"54140516, -0.02, 0.02, 24.69, 25.00
"
1618535915.56844,,"54143512, -0.02, 0.00, 24.69, 25.00
"
1618535915.5714319,,"54146480, -0.02, 0.00, 24.69, 24.98
"
1618535915.574425,,"54149464, -0.02, -0.02, 24.69, 24.98
"
1618535915.5774164,,"54152484, 0.00, 0.00, 24.69, 24.98
"
1618535915.5804234,,"54155424, -0.02, -0.03, 24.69, 24.99
"
1618535915.5834007,,"54158448, -0.05, 0.00, 24.71, 24.99
"
1618535915.5848289,,"54161436, -0.03, -0.03, 24.71, 25.00
"
1618535915.5848289,,"54164448, 0.02, 0.00, 24.71, 25.00
"
1618535915.5848289,,"54167416, -0.02, 0.00, 24.71, 25.00
"
1618535915.5948293,,"54170400, -0.03, -0.03, 24.71, 24.99
"
1618535915.5948293,,"54173424, -0.05, 0.03, 24.71, 24.99
"
1618535915.5948293,,"54176444, -0.03, 0.02, 24.71, 24.99
"
1618535915.5948293,,"54179460, -0.05, 0.00, 24.71, 25.00
"
1618535915.604829,,"54182444, 0.00, -0.02, 24.71, 25.00
"
1618535915.604829,,"54185416, 0.00, -0.02, 24.71, 24.99
"
1618535915.604829,,"54188396, 0.00, -0.02, 24.71, 24.99
"
1618535915.614835,,"54191376, 0.00, 0.00, 24.71, 24.99
"
1618535915.614835,,"54194320, -0.03, -0.03, 24.75, 24.98
"
1618535915.614835,,"54197344, -0.03, -0.02, 24.75, 24.98
"
1618535915.6248307,,"54200364, -0.03, -0.02, 24.75, 24.98
"
1618535915.6248307,,"54203376, -0.02, -0.05, 24.69, 24.96
"
1618535915.6248307,,"54206396, -0.03, 0.03, 24.69, 24.96
"
1618535915.6248307,,"54209416, -0.02, 0.02, 24.69, 24.96
"
1618535915.6348298,,"54212432, -0.03, 0.02, 24.71, 25.00
"
1618535915.6348298,,"54215432, -0.03, 0.00, 24.71, 25.00
"
1618535915.6348298,,"54218400, 0.00, 0.02, 24.71, 24.99
"
1618535915.6448307,,"54221376, -0.02, -0.02, 24.69, 24.99
"
1618535915.6448307,,"54224396, -0.03, 0.03, 24.69, 24.99
"
1618535915.6448307,,"54227412, -0.02, 0.00, 24.69, 24.99
"
1618535915.6548312,,"54230396, -0.02, -0.02, 24.69, 24.99
"
1618535915.6548312,,"54233420, -0.02, 0.03, 24.69, 24.99
"
1618535915.6548312,,"54236436, 0.00, -0.02, 24.69, 24.98
"
