Time,Tag,Flow
1618788092.0147402,,"181480976, -0.02, -0.03, 24.75, 25.01
"
1618788092.0220864,,"181484044, -0.03, 0.00, 24.75, 25.01
"
1618788092.025102,,"181487080, -0.03, -0.03, 24.77, 25.01
"
1618788092.0280907,,"181490156, -0.02, 0.00, 24.77, 25.01
"
1618788092.0310543,,"181493192, -0.02, 0.00, 24.77, 25.08
"
1618788092.0340462,,"181496224, -0.05, 0.02, 24.75, 25.08
"
1618788092.038041,,"181499288, -0.05, -0.02, 24.75, 25.08
"
1618788092.0410502,,"181502356, -0.02, -0.02, 24.75, 25.04
"
1618788092.0440295,,"181505428, -0.07, 0.00, 24.75, 25.04
"
1618788092.0470116,,"181508460, -0.07, 0.00, 24.75, 25.08
"
1618788092.0500054,,"181511496, -0.03, -0.03, 24.75, 25.08
"
1618788092.053006,,"181514564, -0.03, 0.00, 24.77, 25.08
"
1618788092.055987,,"181517596, -0.02, -0.03, 24.77, 25.08
"
1618788092.05898,,"181520668, -0.03, 0.03, 24.77, 25.08
"
1618788092.061973,,"181523732, -0.03, 0.00, 24.79, 25.08
"
1618788092.0649643,,"181526764, -0.02, -0.03, 24.79, 25.08
"
1618788092.0679567,,"181529824, -0.03, -0.03, 24.79, 25.08
"
1618788092.0709486,,"181532896, -0.03, -0.02, 24.77, 25.02
"
1618788092.0739403,,"181535960, -0.03, 0.00, 24.77, 25.02
"
1618788092.0769327,,"181538996, 0.00, -0.05, 24.77, 25.02
"
1618788092.0799234,,"181542024, -0.02, -0.02, 24.75, 25.04
"
1618788092.082916,,"181545092, -0.05, -0.02, 24.75, 25.04
"
1618788092.0859077,,"181548164, -0.03, -0.03, 24.75, 25.04
"
1618788092.0889,,"181551232, -0.05, 0.02, 24.76, 25.04
"
1618788092.091892,,"181554300, -0.03, 0.00, 24.76, 25.04
"
1618788092.0949168,,"181557332, -0.03, 0.00, 24.76, 25.04
"
1618788092.0988882,,"181560368, -0.03, 0.00, 24.75, 25.04
"
1618788092.1018884,,"181563404, -0.05, 0.02, 24.75, 25.04
"
1618788092.1048806,,"181566460, -0.07, 0.00, 24.75, 25.04
"
1618788092.1078746,,"181569496, -0.03, 0.02, 24.76, 25.04
"
1618788092.110861,,"181572560, -0.03, -0.02, 24.76, 25.04
"
1618788092.1138341,,"181575628, 0.00, -0.03, 24.76, 25.04
"
1618788092.1168528,,"181578656, -0.02, -0.02, 24.78, 25.04
"
1618788092.1198378,,"181581724, -0.05, -0.05, 24.78, 25.04
"
1618788092.1228297,,"181584796, -0.03, 0.00, 24.78, 25.04
"
1618788092.125802,,"181587828, -0.03, -0.03, 24.75, 25.06
"
1618788092.1287968,,"181590900, -0.03, -0.02, 24.75, 25.06
"
1618788092.1318233,,"181593972, 0.00, -0.02, 24.75, 25.06
"
1618788092.1348126,,"181597000, 0.00, -0.03, 24.75, 25.06
"
1618788092.137806,,"181600028, -0.03, -0.02, 24.75, 25.06
"
1618788092.140796,,"181603096, -0.03, 0.00, 24.75, 25.04
"
1618788092.1437564,,"181606128, -0.05, 0.00, 24.72, 25.04
"
1618788092.1467695,,"181609168, -0.05, 0.00, 24.72, 25.04
"
1618788092.1497617,,"181612200, -0.03, -0.05, 24.72, 25.04
"
1618788092.1527514,,"181615276, -0.07, 0.05, 24.73, 25.04
"
1618788092.15672,,"181618344, -0.07, 0.00, 24.73, 25.05
"
1618788092.1597126,,"181621380, 0.00, -0.02, 24.73, 25.05
"
1618788092.1627054,,"181624408, -0.03, 0.00, 24.75, 25.05
"
1618788092.1657195,,"181627440, -0.03, -0.03, 24.75, 25.04
"
1618788092.1687148,,"181630512, -0.03, -0.02, 24.75, 25.04
"
1618788092.1716998,,"181633584, -0.02, 0.02, 24.80, 25.06
"
1618788092.1746917,,"181636648, 0.02, 0.00, 24.80, 25.06
"
1618788092.1753883,,"181639668, -0.03, 0.03, 24.80, 25.06
"
1618788092.1753883,,"181642732, -0.02, -0.02, 24.75, 25.04
"
1618788092.1753883,,"181645800, -0.03, -0.02, 24.75, 25.04
"
1618788092.1853893,,"181648872, 0.00, -0.02, 24.75, 25.06
"
1618788092.1853893,,"181651896, -0.05, -0.02, 24.76, 25.06
"
1618788092.1853893,,"181654968, -0.05, 0.00, 24.76, 25.06
"
1618788092.1953897,,"181658004, -0.02, 0.00, 24.76, 25.05
"
1618788092.1953897,,"181661036, -0.03, 0.00, 24.77, 25.05
"
1618788092.1953897,,"181664072, -0.02, -0.03, 24.77, 25.05
"
1618788092.2054062,,"181667140, -0.05, -0.05, 24.77, 25.06
"
1618788092.2054062,,"181670212, -0.07, -0.05, 24.77, 25.06
"
1618788092.2054062,,"181673284, -0.03, 0.02, 24.77, 25.04
"
1618788092.2054062,,"181676352, -0.05, -0.02, 24.77, 25.04
"
1618788092.2153893,,"181679424, -0.05, 0.00, 24.75, 25.04
"
1618788092.2153893,,"181682456, -0.03, 0.00, 24.75, 25.04
"
1618788092.2153893,,"181685492, -0.05, -0.02, 24.75, 25.04
"
1618788092.2264676,,"181688564, -0.05, 0.00, 24.75, 25.06
"
1618788092.2264676,,"181691604, -0.02, -0.03, 24.75, 25.06
"
1618788092.2264676,,"181694680, -0.02, 0.00, 24.75, 25.06
"
1618788092.2264676,,"181697716, 0.00, -0.02, 24.77, 25.07
"
1618788092.2359738,,"181700744, -0.03, -0.02, 24.77, 25.07
"
1618788092.2359738,,"181703812, -0.03, -0.05, 24.77, 25.06
"
1618788092.2359738,,"181706884, -0.05, -0.03, 24.77, 25.06
"
1618788092.2459807,,"181709956, -0.08, 0.00, 24.77, 25.06
"
1618788092.2459807,,"181712992, 0.00, -0.02, 24.77, 25.03
"
1618788092.2459807,,"181716020, -0.03, 0.00, 24.76, 25.03
"
1618788092.255979,,"181719056, -0.03, 0.00, 24.76, 25.03
"
1618788092.255979,,"181722084, -0.03, -0.02, 24.76, 25.02
"
1618788092.255979,,"181725156, -0.02, 0.00, 24.79, 25.02
"
1618788092.2659793,,"181728188, -0.03, -0.02, 24.79, 25.02
"
1618788092.268224,,"181731260, -0.07, -0.07, 24.79, 25.02
"
1618788092.268224,,"181734332, -0.07, 0.02, 24.78, 25.02
"
1618788092.268224,,"181737396, -0.02, 0.03, 24.78, 25.04
"
1618788092.278229,,"181740464, 0.02, 0.03, 24.78, 25.04
"
1618788092.278229,,"181743516, -0.10, -0.03, 24.75, 25.04
"
1618788092.278229,,"181746596, -0.10, -0.05, 24.75, 25.04
"
1618788092.278229,,"181749672, -0.03, -0.02, 24.75, 25.04
"
1618788092.2882276,,"181752740, 0.02, 0.02, 24.77, 25.01
"
1618788092.2882276,,"181755796, 0.00, 0.00, 24.77, 25.01
"
1618788092.2882276,,"181758792, -0.05, -0.07, 24.77, 25.04
"
1618788092.2982407,,"181761864, -0.05, -0.05, 24.79, 25.04
"
1618788092.2982407,,"181764936, -0.03, 0.00, 24.79, 25.04
"
1618788092.2982407,,"181767968, -0.02, 0.02, 24.79, 25.06
"
1618788092.308247,,"181771032, 0.00, 0.02, 24.75, 25.06
"
1618788092.308247,,"181774052, -0.05, -0.07, 24.75, 25.06
"
1618788092.308247,,"181777120, -0.07, -0.08, 24.75, 25.04
"
