Time,Tag,Flow
1618788137.5826933,,"227184176, -0.02, -0.02, 24.88, 25.10
"
1618788137.592909,,"227187248, -0.02, 0.00, 24.89, 25.10
"
1618788137.592909,,"227190288, 0.00, -0.02, 24.89, 25.10
"
1618788137.592909,,"227193320, -0.03, 0.00, 24.89, 25.10
"
1618788137.592909,,"227196360, -0.02, 0.00, 24.92, 25.14
"
1618788137.6028953,,"227199404, -0.05, -0.02, 24.92, 25.14
"
1618788137.6028953,,"227202484, -0.03, -0.02, 24.92, 25.14
"
1618788137.6028953,,"227205560, -0.03, -0.03, 24.90, 25.08
"
1618788137.6128957,,"227208624, -0.05, -0.02, 24.90, 25.08
"
1618788137.6128957,,"227211692, -0.03, 0.00, 24.90, 25.10
"
1618788137.6128957,,"227214732, -0.05, 0.00, 24.90, 25.10
"
1618788137.6228962,,"227217772, -0.02, 0.02, 24.90, 25.10
"
1618788137.6228962,,"227220840, -0.07, 0.00, 24.90, 25.09
"
1618788137.6228962,,"227223872, -0.05, -0.02, 24.88, 25.09
"
1618788137.6228962,,"227226944, -0.05, -0.03, 24.88, 25.09
"
1618788137.6328983,,"227230008, 0.00, -0.02, 24.88, 25.12
"
1618788137.6328983,,"227233040, -0.03, -0.02, 24.86, 25.12
"
1618788137.6328983,,"227236116, -0.03, 0.00, 24.86, 25.07
"
1618788137.6428962,,"227239152, 0.00, -0.03, 24.86, 25.07
"
1618788137.6428962,,"227242180, -0.07, -0.03, 24.92, 25.07
"
1618788137.6428962,,"227245256, -0.02, -0.03, 24.92, 25.11
"
1618788137.6528964,,"227248336, -0.05, 0.00, 24.92, 25.11
"
1618788137.6528964,,"227251380, -0.03, -0.03, 24.90, 25.09
"
1618788137.6528964,,"227254448, -0.03, 0.00, 24.90, 25.09
"
1618788137.662897,,"227257480, -0.03, -0.02, 24.90, 25.09
"
1618788137.662897,,"227260548, -0.02, -0.05, 24.92, 25.09
"
1618788137.662897,,"227263616, -0.03, -0.02, 24.92, 25.09
"
1618788137.662897,,"227266688, -0.05, -0.02, 24.92, 25.09
"
1618788137.6728978,,"227269756, -0.03, -0.02, 24.92, 25.10
"
1618788137.6728978,,"227272832, -0.03, -0.03, 24.92, 25.10
"
1618788137.6728978,,"227275908, -0.03, 0.00, 24.92, 25.09
"
1618788137.6828988,,"227278944, -0.05, 0.00, 24.90, 25.09
"
1618788137.6828988,,"227281976, 0.00, -0.02, 24.90, 25.09
"
1618788137.6828988,,"227285000, -0.03, 0.00, 24.90, 25.12
"
1618788137.692899,,"227288032, -0.05, 0.02, 24.88, 25.12
"
1618788137.692899,,"227291104, -0.07, 0.00, 24.88, 25.11
"
1618788137.692899,,"227294144, -0.02, -0.05, 24.88, 25.11
"
1618788137.7029052,,"227297224, -0.02, 0.00, 24.90, 25.11
"
1618788137.7029052,,"227300264, -0.05, -0.05, 24.90, 25.07
"
1618788137.7029052,,"227303336, -0.02, 0.03, 24.90, 25.07
"
1618788137.7029052,,"227306400, -0.05, -0.03, 24.90, 25.07
"
1618788137.7128973,,"227309472, -0.03, -0.03, 24.90, 25.12
"
1618788137.7128973,,"227312548, -0.05, 0.00, 24.90, 25.12
"
1618788137.7128973,,"227315592, -0.03, -0.02, 24.90, 25.11
"
1618788137.7241359,,"227318672, -0.03, 0.00, 24.90, 25.11
"
1618788137.7271283,,"227321712, -0.05, 0.03, 24.90, 25.11
"
1618788137.7301197,,"227324788, -0.03, 0.00, 24.94, 25.13
"
1618788137.7331488,,"227327832, -0.02, -0.02, 24.94, 25.13
"
1618788137.7361374,,"227330912, -0.02, -0.03, 24.94, 25.09
"
1618788137.7391324,,"227333980, -0.02, 0.02, 24.89, 25.09
"
1618788137.7421215,,"227337040, -0.05, 0.00, 24.89, 25.09
"
1618788137.7451165,,"227340072, -0.03, 0.00, 24.89, 25.12
"
1618788137.7481055,,"227343116, -0.03, 0.05, 24.89, 25.12
"
1618788137.7510948,,"227346188, -0.02, 0.02, 24.89, 25.12
"
1618788137.754076,,"227349260, -0.02, 0.02, 24.89, 25.07
"
1618788137.757067,,"227352320, -0.05, -0.02, 24.92, 25.07
"
1618788137.76004,,"227355392, -0.03, -0.02, 24.92, 25.11
"
1618788137.7630343,,"227358472, 0.00, -0.03, 24.92, 25.11
"
1618788137.7670236,,"227361508, -0.05, 0.00, 24.90, 25.11
"
1618788137.770016,,"227364548, -0.02, -0.02, 24.90, 25.11
"
1618788137.7730076,,"227367624, -0.03, -0.02, 24.90, 25.11
"
1618788137.7759995,,"227370700, -0.03, -0.02, 24.94, 25.11
"
1618788137.7789924,,"227373780, -0.03, 0.00, 24.94, 25.11
"
1618788137.7819846,,"227376820, -0.03, -0.03, 24.94, 25.11
"
1618788137.7849755,,"227379900, -0.03, -0.03, 24.92, 25.13
"
1618788137.787968,,"227382976, -0.03, -0.03, 24.92, 25.13
"
1618788137.79096,,"227386056, -0.02, 0.00, 24.92, 25.09
"
1618788137.7939525,,"227389088, -0.05, -0.02, 24.91, 25.09
"
1618788137.7969441,,"227392160, -0.07, 0.00, 24.91, 25.09
"
1618788137.7999365,,"227395196, -0.02, 0.00, 24.91, 25.07
"
1618788137.8029284,,"227398232, -0.07, 0.00, 24.89, 25.07
"
1618788137.8059504,,"227401268, -0.03, -0.02, 24.89, 25.10
"
1618788137.808911,,"227404344, -0.05, -0.02, 24.89, 25.10
"
1618788137.8119276,,"227407420, -0.03, 0.02, 24.88, 25.10
"
1618788137.8158946,,"227410488, -0.03, 0.00, 24.88, 25.11
"
1618788137.8188941,,"227413528, -0.02, -0.02, 24.88, 25.11
"
1618788137.8218765,,"227416604, -0.02, 0.00, 24.90, 25.10
"
1618788137.8248682,,"227419644, -0.02, -0.03, 24.90, 25.10
"
1618788137.827883,,"227422716, -0.05, 0.00, 24.90, 25.10
"
1618788137.8308747,,"227425756, -0.03, -0.05, 24.89, 25.08
"
1618788137.833867,,"227428824, -0.07, 0.00, 24.89, 25.08
"
1618788137.8368556,,"227431856, -0.02, 0.00, 24.89, 25.10
"
1618788137.839848,,"227434896, -0.02, -0.02, 24.87, 25.10
"
1618788137.8428206,,"227437968, -0.05, -0.02, 24.87, 25.10
"
1618788137.8458407,,"227441044, -0.02, 0.02, 24.87, 25.07
"
1618788137.8488276,,"227444104, -0.03, 0.00, 24.88, 25.07
"
1618788137.8518193,,"227447136, -0.03, 0.00, 24.88, 25.12
"
1618788137.8548124,,"227450180, -0.03, 0.03, 24.88, 25.12
"
1618788137.8577867,,"227453252, -0.05, -0.05, 24.89, 25.12
"
1618788137.860773,,"227456328, -0.03, -0.02, 24.89, 25.10
"
1618788137.8637657,,"227459400, -0.02, -0.03, 24.89, 25.10
"
1618788137.866757,,"227462476, -0.02, 0.00, 24.92, 25.09
"
1618788137.8707464,,"227465508, -0.02, -0.03, 24.92, 25.09
"
1618788137.8737466,,"227468576, -0.02, 0.00, 24.92, 25.09
"
1618788137.8767602,,"227471612, -0.05, 0.00, 24.89, 25.06
"
1618788137.8797228,,"227474636, -0.03, 0.02, 24.89, 25.06
"
1618788137.8827348,,"227477704, -0.07, 0.00, 24.89, 25.06
"
1618788137.8857265,,"227480740, -0.05, -0.02, 24.92, 25.12
"
1618788137.8887172,,"227483816, -0.02, -0.02, 24.92, 25.12
"
1618788137.8917108,,"227486892, 0.02, -0.05, 24.92, 25.11
"
1618788137.894683,,"227489960, -0.03, -0.02, 24.91, 25.11
"
1618788137.897694,,"227493040, -0.03, 0.00, 24.91, 25.11
"
1618788137.900686,,"227496084, -0.03, -0.03, 24.91, 25.08
"
1618788137.9036784,,"227499152, -0.02, 0.02, 24.91, 25.08
"
1618788137.90667,,"227502220, -0.05, -0.02, 24.91, 25.09
"
1618788137.9096625,,"227505292, -0.05, -0.02, 24.91, 25.09
"
1618788137.9126348,,"227508360, -0.05, 0.02, 24.90, 25.09
"
1618788137.915627,,"227511424, -0.03, -0.05, 24.90, 25.11
"
1618788137.9196162,,"227514504, -0.03, -0.07, 24.90, 25.11
"
1618788137.9226105,,"227517584, -0.02, -0.02, 24.89, 25.11
"
1618788137.9256005,,"227520660, 0.00, 0.00, 24.89, 25.13
"
1618788137.928593,,"227523656, -0.03, -0.02, 24.89, 25.13
"
1618788137.931585,,"227526732, -0.08, 0.02, 24.86, 25.09
"
1618788137.9346097,,"227529796, -0.03, 0.02, 24.86, 25.09
"
1618788137.9375885,,"227532860, -0.02, -0.03, 24.86, 25.09
"
1618788137.9405904,,"227535928, -0.03, 0.00, 24.90, 25.11
"
1618788137.9435532,,"227538972, -0.03, 0.03, 24.90, 25.11
"
1618788137.9465747,,"227542044, -0.02, 0.02, 24.90, 25.11
"
1618788137.9495666,,"227545116, -0.03, -0.02, 24.87, 25.07
"
1618788137.952559,,"227548184, 0.00, 0.02, 24.87, 25.07
"
1618788137.9555397,,"227551196, -0.02, 0.00, 24.87, 25.08
"
1618788137.9585135,,"227554228, -0.07, -0.02, 24.93, 25.08
"
1618788137.961506,,"227557300, -0.02, -0.02, 24.93, 25.08
"
1618788137.9644973,,"227560368, -0.03, -0.02, 24.93, 25.07
"
1618788137.9674892,,"227563440, -0.05, 0.00, 24.94, 25.07
"
1618788137.9704816,,"227566476, -0.03, 0.02, 24.94, 25.10
"
1618788137.9744844,,"227569544, -0.03, -0.03, 24.94, 25.10
"
1618788137.977462,,"227572620, -0.05, -0.02, 24.92, 25.10
"
1618788137.9804542,,"227575700, -0.05, -0.05, 24.92, 25.10
"
1618788137.9834466,,"227578776, -0.03, -0.03, 24.92, 25.10
"
1618788137.986438,,"227581852, -0.03, 0.00, 24.90, 25.10
"
1618788137.9894304,,"227584892, -0.02, -0.03, 24.90, 25.11
"
1618788137.9924226,,"227587968, -0.02, 0.02, 24.90, 25.11
"
1618788137.995415,,"227591040, -0.02, -0.02, 24.89, 25.06
"
1618788137.9984066,,"227594108, -0.02, -0.02, 24.89, 25.06
"
1618788138.0013988,,"227597176, -0.03, -0.02, 24.89, 25.06
"
1618788138.004391,,"227600248, -0.07, -0.03, 24.88, 25.11
"
1618788138.007396,,"227603324, -0.03, -0.02, 24.88, 25.11
"
1618788138.010375,,"227606400, -0.05, -0.03, 24.88, 25.11
"
1618788138.0133667,,"227609476, -0.05, 0.00, 24.89, 25.13
"
1618788138.0173557,,"227612520, -0.02, 0.00, 24.89, 25.13
"
1618788138.020348,,"227615560, -0.07, -0.03, 24.89, 25.11
"
1618788138.0233405,,"227618636, -0.05, 0.00, 24.92, 25.11
"
1618788138.026333,,"227621680, 0.00, 0.00, 24.92, 25.11
"
1618788138.0293257,,"227624680, 0.02, -0.02, 24.92, 25.10
"
1618788138.0323184,,"227627744, -0.03, 0.00, 24.90, 25.10
"
1618788138.0353096,,"227630784, -0.05, 0.00, 24.90, 25.10
"
1618788138.0373921,,"227633824, -0.03, 0.03, 24.90, 25.10
"
1618788138.0373921,,"227636896, -0.03, 0.00, 24.92, 25.10
"
1618788138.0373921,,"227639936, 0.00, -0.02, 24.92, 25.06
"
1618788138.047392,,"227642964, -0.03, -0.02, 24.92, 25.06
"
1618788138.047392,,"227646032, -0.02, 0.00, 24.89, 25.06
"
1618788138.047392,,"227649068, -0.02, 0.02, 24.89, 25.09
"
1618788138.047392,,"227652128, -0.03, -0.03, 24.89, 25.09
"
1618788138.057392,,"227655196, -0.03, 0.02, 24.94, 25.09
"
1618788138.057392,,"227658264, -0.02, -0.02, 24.94, 25.09
"
1618788138.057392,,"227661332, -0.02, -0.03, 24.94, 25.09
"
1618788138.0673926,,"227664400, -0.03, -0.02, 24.92, 25.11
"
1618788138.0673926,,"227667480, 0.00, 0.00, 24.92, 25.11
"
1618788138.0673926,,"227670480, 0.00, 0.00, 24.92, 25.10
"
1618788138.077393,,"227673476, -0.05, -0.02, 24.92, 25.10
"
1618788138.077393,,"227676556, -0.07, -0.02, 24.92, 25.10
"
1618788138.077393,,"227679632, 0.00, -0.03, 24.92, 25.11
"
1618788138.077393,,"227682672, -0.02, 0.00, 24.90, 25.11
"
1618788138.087393,,"227685712, -0.05, -0.02, 24.90, 25.09
"
1618788138.087393,,"227688784, -0.02, -0.02, 24.90, 25.09
"
1618788138.087393,,"227691852, -0.03, 0.00, 24.88, 25.09
"
1618788138.0973935,,"227694884, -0.02, -0.05, 24.88, 25.09
"
1618788138.0973935,,"227697952, -0.07, -0.02, 24.88, 25.09
"
1618788138.1044004,,"227701020, -0.03, 0.00, 24.90, 25.09
"
1618788138.1044004,,"227704052, -0.05, -0.03, 24.90, 25.12
"
1618788138.1044004,,"227707128, -0.03, -0.02, 24.90, 25.12
"
1618788138.1144042,,"227710208, 0.00, -0.02, 24.92, 25.10
"
1618788138.1144042,,"227713232, -0.02, 0.00, 24.92, 25.10
"
1618788138.1144042,,"227716272, -0.02, 0.00, 24.92, 25.10
"
1618788138.1144042,,"227719316, -0.03, -0.05, 24.89, 25.09
"
1618788138.1244042,,"227722384, -0.03, 0.03, 24.89, 25.09
"
1618788138.1244042,,"227725452, -0.03, -0.03, 24.89, 25.11
"
1618788138.1244042,,"227728528, -0.03, -0.03, 24.90, 25.11
"
1618788138.1344078,,"227731608, -0.02, 0.00, 24.90, 25.11
"
