Time,Tag,Flow
1618887236.8809633,,"8205000, -0.0667, 0.0333, 24.92, 24.98
"
1618887236.8859477,,"8210000, 0.0000, -0.0667, 24.92, 24.97
"
1618887236.8909338,,"8215004, 0.0667, 0.0167, 24.93, 24.97
"
1618887236.8959208,,"8220004, -0.0833, -0.0167, 24.93, 25.01
"
1618887236.900907,,"8225008, -0.0333, -0.0500, 24.88, 24.99
"
1618887236.9058945,,"8230004, -0.0667, 0.0000, 24.91, 24.98
"
1618887236.9108815,,"8235000, 0.0000, -0.0333, 24.91, 24.98
"
1618887236.9158697,,"8240000, 0.0000, 0.0000, 24.96, 24.99
"
1618887236.9208558,,"8245008, -0.0333, -0.0167, 24.94, 24.98
"
1618887236.9258423,,"8250000, -0.0500, -0.0500, 24.89, 24.98
"
1618887236.9308286,,"8255004, 0.0000, -0.1000, 24.89, 25.00
"
1618887236.9358153,,"8260004, -0.0667, 0.0167, 24.93, 24.97
"
1618887236.9408023,,"8265004, 0.0667, 0.0000, 24.90, 24.97
"
1618887236.9457889,,"8270004, -0.0500, 0.0000, 24.95, 24.97
"
1618887236.9507754,,"8275004, -0.0167, 0.0167, 24.95, 24.98
"
1618887236.9557621,,"8280008, 0.0500, -0.0167, 24.92, 25.00
"
1618887236.9607494,,"8285000, 0.0167, 0.0333, 24.90, 25.00
"
1618887236.9657364,,"8290004, -0.0500, -0.0333, 24.90, 24.96
"
1618887236.9707236,,"8295008, 0.0000, 0.0167, 24.94, 24.96
"
1618887236.9757102,,"8300000, -0.0333, -0.0500, 24.90, 24.96
"
1618887236.980697,,"8305000, -0.0833, 0.0000, 24.92, 25.02
"
1618887236.985684,,"8310004, 0.0000, 0.0000, 24.92, 24.96
"
1618887236.9906712,,"8315008, -0.0167, -0.0500, 24.93, 24.96
"
1618887236.995658,,"8320004, 0.0000, -0.0500, 24.94, 24.96
"
1618887237.0006447,,"8325000, -0.0333, -0.0500, 24.89, 25.00
"
1618887237.0056314,,"8330004, 0.0167, 0.0000, 24.89, 25.00
"
1618887237.0106182,,"8335008, 0.0167, -0.0667, 24.92, 25.00
"
1618887237.015605,,"8340004, -0.0333, -0.0667, 24.92, 24.98
"
1618887237.0205915,,"8345008, 0.0167, -0.0167, 24.92, 24.98
"
1618887237.0255792,,"8350000, 0.0500, 0.0167, 24.90, 24.97
"
1618887237.030566,,"8355008, -0.0333, 0.0667, 24.92, 24.97
"
1618887237.0355527,,"8360000, 0.0000, 0.0167, 24.92, 24.97
"
1618887237.0405395,,"8365004, -0.0667, -0.1167, 24.92, 24.96
"
1618887237.0455253,,"8370000, 0.0333, -0.0667, 24.94, 24.96
"
1618887237.0505123,,"8375000, -0.0500, -0.0333, 24.93, 24.98
"
1618887237.0554993,,"8380008, -0.0833, 0.0000, 24.93, 24.97
"
1618887237.0604863,,"8385004, -0.0167, 0.0000, 24.93, 24.96
"
1618887237.0654736,,"8390000, -0.0500, -0.0167, 24.94, 24.96
"
1618887237.07046,,"8395008, 0.0167, -0.0167, 24.93, 25.02
"
1618887237.0754468,,"8400004, -0.0167, -0.0167, 24.93, 24.99
"
