Time,Tag,Flow
1618887387.4416304,,"14285000, -0.0167, -0.0167, 24.98, 25.09
"
1618887387.4475894,,"14290000, -0.0500, 0.0000, 25.00, 25.09
"
1618887387.4516068,,"14295008, 0.0333, -0.0833, 25.03, 25.10
"
1618887387.456594,,"14300004, 0.0000, -0.0333, 25.02, 25.08
"
1618887387.4615707,,"14305000, 0.0500, -0.0333, 25.02, 25.08
"
1618887387.4675376,,"14310000, 0.0000, -0.0333, 25.02, 25.09
"
1618887387.471545,,"14315000, -0.0167, -0.0667, 24.98, 25.05
"
1618887387.476513,,"14320004, 0.0000, -0.0167, 24.98, 25.07
"
1618887387.4814994,,"14325004, 0.0167, -0.0167, 25.04, 25.07
"
1618887387.4864867,,"14330000, 0.0000, -0.0333, 25.02, 25.11
"
1618887387.4914727,,"14335004, 0.0333, -0.0333, 25.03, 25.12
"
1618887387.4964595,,"14340000, -0.0167, 0.0000, 25.03, 25.12
"
1618887387.5014756,,"14345008, 0.0500, 0.0000, 25.00, 25.05
"
1618887387.5064633,,"14350004, -0.0167, -0.0167, 25.00, 25.08
"
1618887387.5114386,,"14355000, 0.0000, 0.0167, 25.02, 25.10
"
1618887387.5164092,,"14360004, 0.0167, -0.0333, 25.02, 25.10
"
1618887387.5213954,,"14365008, 0.0333, 0.0167, 25.03, 25.04
"
1618887387.5263803,,"14370004, -0.1000, -0.0500, 25.02, 25.09
"
1618887387.531367,,"14375000, 0.0000, -0.0500, 25.02, 25.09
"
1618887387.536354,,"14380000, 0.0333, -0.0167, 25.03, 25.07
"
1618887387.5413404,,"14385000, -0.0167, -0.0333, 25.03, 25.05
"
1618887387.5463278,,"14390004, 0.0000, -0.0167, 25.02, 25.11
"
1618887387.5513482,,"14395000, -0.0500, 0.0000, 25.02, 25.11
"
1618887387.55633,,"14400000, 0.0000, 0.0167, 25.02, 25.07
"
1618887387.5612874,,"14405000, 0.0833, -0.0833, 25.02, 25.11
"
1618887387.5662935,,"14410000, 0.0000, 0.0167, 25.00, 25.11
"
1618887387.571283,,"14415004, 0.0000, -0.0333, 25.00, 25.07
"
1618887387.5762675,,"14420000, 0.0167, 0.0500, 25.02, 25.06
"
1618887387.5812352,,"14425000, -0.0500, -0.0167, 25.01, 25.07
"
1618887387.5862222,,"14430004, 0.0167, -0.0667, 25.01, 25.07
"
1618887387.5912333,,"14435004, -0.0667, 0.0167, 25.02, 25.06
"
1618887387.5962203,,"14440004, -0.0167, 0.0000, 25.03, 25.07
"
1618887387.6012118,,"14445004, 0.0167, -0.0500, 25.01, 25.07
"
1618887387.6061924,,"14450004, 0.0333, -0.0167, 25.01, 25.06
"
1618887387.6111557,,"14455008, -0.0500, 0.0000, 25.02, 25.08
"
1618887387.616167,,"14460000, 0.0333, -0.0333, 25.03, 25.08
"
1618887387.6211536,,"14465000, -0.0500, -0.0333, 25.01, 25.08
"
1618887387.6261406,,"14470004, 0.0000, 0.0000, 25.01, 25.09
"
1618887387.6311224,,"14475000, 0.0000, -0.0833, 25.04, 25.07
"
1618887387.6360898,,"14480008, -0.0333, 0.0167, 25.04, 25.07
"
1618887387.6410768,,"14485004, 0.0500, -0.0167, 25.04, 25.09
"
1618887387.646063,,"14490004, 0.0333, -0.0167, 25.02, 25.07
"
1618887387.6510496,,"14495004, 0.0000, -0.0333, 25.01, 25.07
"
1618887387.6560366,,"14500012, -0.0167, -0.0500, 25.05, 25.12
"
1618887387.6610243,,"14505000, -0.0167, -0.0500, 25.05, 25.10
"
1618887387.6660345,,"14510008, -0.0167, 0.0167, 25.00, 25.08
"
1618887387.6709993,,"14515004, 0.0500, -0.0500, 25.01, 25.08
"
1618887387.6760013,,"14520004, -0.0167, 0.0000, 25.05, 25.08
"
1618887387.6809726,,"14525008, -0.0667, -0.0167, 25.05, 25.04
"
1618887387.6859581,,"14530008, -0.0167, -0.0500, 25.04, 25.04
"
1618887387.6909668,,"14535000, 0.0167, 0.0000, 25.00, 25.10
"
1618887387.695931,,"14540008, -0.0667, 0.0167, 25.00, 25.05
"
1618887387.700937,,"14545004, -0.0333, 0.0000, 25.01, 25.06
"
1618887387.7059238,,"14550008, -0.0167, -0.0167, 25.06, 25.06
"
1618887387.7108912,,"14555004, -0.0333, 0.0167, 25.00, 25.05
"
1618887387.7158785,,"14560004, 0.0000, -0.0167, 25.00, 25.07
"
1618887387.7208872,,"14565004, -0.0167, -0.0167, 25.01, 25.07
"
1618887387.7258527,,"14570008, 0.0000, -0.0667, 25.01, 25.09
"
1618887387.7308397,,"14575004, -0.0333, -0.0500, 25.00, 25.07
"
1618887387.735826,,"14580000, -0.0167, -0.0333, 25.00, 25.08
"
1618887387.7408123,,"14585008, -0.0167, 0.0000, 25.04, 25.08
"
1618887387.7457988,,"14590004, 0.0000, -0.0333, 25.04, 25.06
"
1618887387.7507858,,"14595004, 0.0000, -0.0667, 25.04, 25.06
"
1618887387.7558057,,"14600008, -0.0333, -0.0500, 25.00, 25.06
"
1618887387.7607923,,"14605004, 0.0833, -0.0333, 25.07, 25.06
"
1618887387.7657802,,"14610004, -0.0167, -0.0833, 25.03, 25.08
"
1618887387.7707515,,"14615008, 0.0167, -0.0500, 25.03, 25.08
"
1618887387.775599,,"14620000, 0.0000, -0.0333, 25.01, 25.08
"
1618887387.775599,,"14625008, -0.0833, -0.0333, 25.02, 25.04
"
1618887387.7856,,"14630000, 0.0500, -0.0167, 25.01, 25.07
"
1618887387.7856,,"14635004, -0.0333, -0.0333, 25.01, 25.07
"
1618887387.7956314,,"14640000, -0.0333, -0.0333, 25.06, 25.07
"
1618887387.7956314,,"14645004, -0.0333, -0.0333, 25.01, 25.05
"
1618887387.80587,,"14650008, 0.0500, -0.0500, 25.01, 25.07
"
1618887387.806876,,"14655000, 0.0167, 0.0000, 25.03, 25.07
"
1618887387.806876,,"14660004, -0.0333, 0.0000, 25.02, 25.06
"
1618887387.8168786,,"14665004, -0.0167, -0.0167, 25.00, 25.05
"
1618887387.8168786,,"14670004, -0.0500, -0.0333, 25.00, 25.05
"
1618887387.8268971,,"14675004, -0.0167, -0.0500, 25.02, 25.07
"
1618887387.8268971,,"14680008, 0.0167, 0.0333, 25.02, 25.04
"
1618887387.8368802,,"14685008, 0.0167, -0.0333, 25.00, 25.04
"
1618887387.8368802,,"14690000, 0.0167, -0.0500, 25.00, 25.07
"
1618887387.8468819,,"14695008, 0.0167, 0.0000, 25.00, 25.10
"
1618887387.8468819,,"14700008, 0.0000, -0.0500, 25.00, 25.04
"
1618887387.8568974,,"14705008, 0.0667, -0.0667, 25.00, 25.04
"
1618887387.8568974,,"14710004, -0.0167, -0.0167, 25.00, 25.06
"
1618887387.8668833,,"14715004, 0.0167, -0.0500, 25.02, 25.08
"
1618887387.8668833,,"14720008, -0.0167, -0.0333, 25.00, 25.08
"
1618887387.87688,,"14725004, 0.0167, -0.0333, 25.00, 25.09
"
1618887387.87688,,"14730008, 0.0167, -0.1000, 25.00, 25.05
"
1618887387.886885,,"14735004, 0.0500, -0.0167, 25.02, 25.08
"
1618887387.886885,,"14740008, -0.0167, 0.0333, 25.04, 25.08
"
1618887387.8968806,,"14745008, 0.0000, 0.0000, 25.04, 25.10
"
1618887387.8968806,,"14750004, -0.0667, 0.0500, 25.03, 25.07
"
1618887387.9068818,,"14755004, -0.0500, 0.0667, 25.00, 25.07
"
1618887387.9068818,,"14760008, 0.0000, -0.0167, 25.00, 25.08
"
1618887387.9168823,,"14765000, 0.0333, 0.0000, 25.01, 25.07
"
1618887387.9168823,,"14770000, 0.0000, 0.0000, 25.02, 25.09
"
1618887387.926882,,"14775008, -0.0333, -0.0167, 25.03, 25.09
"
1618887387.926882,,"14780000, 0.0167, 0.0167, 25.03, 25.08
"
1618887387.936882,,"14785008, 0.0333, -0.0667, 25.01, 25.09
"
1618887387.936882,,"14790000, 0.0167, 0.0333, 25.02, 25.09
"
1618887387.9468837,,"14795008, -0.0167, -0.0333, 25.04, 25.05
"
1618887387.9468837,,"14800000, -0.0333, -0.0167, 25.04, 25.09
"
1618887387.956884,,"14805000, 0.0667, 0.0000, 25.01, 25.07
"
1618887387.956884,,"14810000, 0.0000, -0.0167, 25.05, 25.07
"
1618887387.9668827,,"14815008, 0.0833, 0.0000, 25.05, 25.06
"
1618887387.9668827,,"14820000, -0.0167, 0.0000, 25.00, 25.13
"
1618887387.9768834,,"14825004, 0.0167, -0.0333, 25.02, 25.13
"
1618887387.9768834,,"14830000, 0.0000, -0.0333, 24.99, 25.06
"
1618887387.9868834,,"14835000, -0.0500, -0.0667, 24.99, 25.05
"
1618887387.9868834,,"14840008, -0.0333, 0.0000, 25.02, 25.09
"
1618887387.996891,,"14845000, 0.0500, 0.0333, 25.03, 25.09
"
1618887387.996891,,"14850008, -0.0333, -0.0833, 25.02, 25.10
"
1618887388.0079644,,"14855000, 0.0167, -0.0167, 25.02, 25.08
"
1618887388.0079644,,"14860004, -0.0500, -0.0500, 24.99, 25.08
"
1618887388.017967,,"14865008, 0.0500, 0.0167, 25.02, 25.06
"
1618887388.017967,,"14870004, 0.0667, 0.0167, 25.02, 25.06
"
1618887388.0279677,,"14875000, 0.0000, 0.0000, 24.98, 25.06
"
1618887388.0279677,,"14880000, -0.0333, -0.0500, 25.02, 25.09
"
1618887388.037987,,"14885004, 0.0000, 0.0000, 25.02, 25.08
"
1618887388.037987,,"14890000, 0.0000, -0.0333, 25.02, 25.09
"
1618887388.0479686,,"14895004, -0.0333, -0.0333, 25.02, 25.09
"
1618887388.0479686,,"14900008, 0.0000, -0.0833, 25.00, 25.09
"
1618887388.056976,,"14905008, -0.0167, -0.0333, 25.00, 25.07
"
