Time,Tag,Flow
1618887806.4779332,,"63840004, 0.0000, 0.0000, 25.39, 25.35
"
1618887806.4829476,,"63845000, 0.0167, -0.0167, 25.42, 25.35
"
1618887806.487935,,"63850008, 0.0167, -0.0833, 25.39, 25.35
"
1618887806.4928932,,"63855000, 0.0000, 0.0167, 25.42, 25.35
"
1618887806.4978793,,"63860004, 0.0000, -0.0500, 25.42, 25.36
"
1618887806.502867,,"63865000, 0.0000, -0.0667, 25.39, 25.36
"
1618887806.507853,,"63870004, 0.0000, 0.0000, 25.43, 25.38
"
1618887806.5128393,,"63875000, -0.0500, -0.0667, 25.41, 25.35
"
1618887806.5178263,,"63880000, -0.0167, -0.0167, 25.41, 25.38
"
1618887806.522813,,"63885004, -0.0167, -0.0500, 25.42, 25.38
"
1618887806.5278225,,"63890008, 0.0500, -0.0333, 25.44, 25.36
"
1618887806.5328057,,"63895004, 0.0500, -0.0667, 25.44, 25.37
"
1618887806.537798,,"63900008, 0.0333, 0.0167, 25.37, 25.37
"
1618887806.5427604,,"63905004, -0.0167, -0.0500, 25.42, 25.36
"
1618887806.5477471,,"63910000, 0.0167, -0.0167, 25.39, 25.36
"
1618887806.5527337,,"63915000, -0.1000, -0.0167, 25.39, 25.36
"
1618887806.5577207,,"63920000, 0.0333, -0.0333, 25.43, 25.36
"
1618887806.562707,,"63925004, -0.0167, -0.0167, 25.42, 25.38
"
1618887806.5677178,,"63930004, -0.0167, -0.0333, 25.41, 25.36
"
1618887806.5727005,,"63935000, 0.0333, -0.1000, 25.41, 25.36
"
1618887806.5776682,,"63940000, -0.0500, -0.0667, 25.43, 25.36
"
1618887806.5826538,,"63945004, -0.0500, -0.0167, 25.43, 25.35
"
1618887806.5876405,,"63950008, 0.0667, 0.0667, 25.43, 25.34
"
1618887806.592628,,"63955000, -0.0167, -0.0167, 25.43, 25.34
"
1618887806.5976138,,"63960008, 0.0000, 0.0000, 25.40, 25.37
"
1618887806.6026344,,"63965000, -0.0333, -0.0500, 25.39, 25.36
"
1618887806.607588,,"63970004, 0.0167, -0.0167, 25.39, 25.36
"
1618887806.6125748,,"63975008, -0.0167, -0.0333, 25.41, 25.37
"
1618887806.6175616,,"63980004, -0.0167, 0.0167, 25.43, 25.36
"
1618887806.6225479,,"63985004, 0.0667, 0.0333, 25.38, 25.36
"
1618887806.6275356,,"63990004, -0.0500, -0.0500, 25.38, 25.39
"
1618887806.6325212,,"63995000, 0.0500, -0.0167, 25.40, 25.35
"
1618887806.6375089,,"64000000, -0.0333, -0.0167, 25.42, 25.40
"
1618887806.6424963,,"64005008, -0.0167, -0.0333, 25.42, 25.40
"
1618887806.6474817,,"64010004, 0.0000, -0.0500, 25.37, 25.36
"
1618887806.6524973,,"64015000, 0.0500, 0.0000, 25.41, 25.35
"
1618887806.6574557,,"64020004, 0.0167, -0.0333, 25.41, 25.35
"
1618887806.6624424,,"64025004, -0.1000, -0.0167, 25.41, 25.38
"
1618887806.667428,,"64030000, 0.0000, -0.0500, 25.42, 25.39
"
1618887806.6724155,,"64035004, 0.0000, 0.0167, 25.41, 25.34
"
1618887806.678338,,"64040000, 0.0000, -0.0333, 25.41, 25.34
"
